date,Real Lower Band,Real Upper Band,Real Middle Band
2020-01-08 10:30:00,297.8975,298.7663,298.3319
2020-01-08 10:31:00,297.9851,298.7122,298.3486
2020-01-08 10:32:00,297.9893,298.7147,298.352
2020-01-08 10:33:00,298.004,298.6871,298.3455
2020-01-08 10:34:00,298.0044,298.6807,298.3425
2020-01-08 10:35:00,298.0032,298.6756,298.3394
2020-01-08 10:36:00,297.9954,298.6713,298.3333
2020-01-08 10:37:00,298.0054,298.6665,298.3359
2020-01-08 10:38:00,297.9993,298.6676,298.3334
2020-01-08 10:39:00,297.9907,298.6659,298.3283
2020-01-08 10:40:00,297.9955,298.6637,298.3296
2020-01-08 10:41:00,297.9895,298.6631,298.3263
2020-01-08 10:42:00,297.9755,298.6637,298.3196
2020-01-08 10:43:00,297.9682,298.6566,298.3124
2020-01-08 10:44:00,297.9555,298.656,298.3058
2020-01-08 10:45:00,297.9355,298.647,298.2913
2020-01-08 10:46:00,297.9134,298.6554,298.2844
2020-01-08 10:47:00,297.9125,298.656,298.2843
2020-01-08 10:48:00,297.8947,298.6624,298.2785
2020-01-08 10:49:00,297.8473,298.6894,298.2683
2020-01-08 10:50:00,297.8129,298.7096,298.2613
2020-01-08 10:51:00,297.7746,298.7299,298.2523
2020-01-08 10:52:00,297.7527,298.7415,298.2471
2020-01-08 10:53:00,297.7349,298.7503,298.2426
2020-01-08 10:54:00,297.7288,298.7527,298.2408
2020-01-08 10:55:00,297.7125,298.7557,298.2341
2020-01-08 10:56:00,297.6914,298.7551,298.2233
2020-01-08 10:57:00,297.6647,298.7571,298.2109
2020-01-08 10:58:00,297.6516,298.7576,298.2046
2020-01-08 10:59:00,297.6394,298.7575,298.1984
2020-01-08 11:00:00,297.6179,298.7576,298.1878
2020-01-08 11:01:00,297.5985,298.7523,298.1754
2020-01-08 11:02:00,297.5685,298.754,298.1613
2020-01-08 11:03:00,297.5504,298.7417,298.1461
2020-01-08 11:04:00,297.5305,298.7357,298.1331
2020-01-08 11:05:00,297.5211,298.7255,298.1233
2020-01-08 11:06:00,297.5147,298.7239,298.1193
2020-01-08 11:07:00,297.509,298.7166,298.1128
2020-01-08 11:08:00,297.5065,298.7054,298.106
2020-01-08 11:09:00,297.5081,298.6914,298.0998
2020-01-08 11:10:00,297.5074,298.6875,298.0974
2020-01-08 11:11:00,297.5061,298.6831,298.0946
2020-01-08 11:12:00,297.5056,298.6815,298.0936
2020-01-08 11:13:00,297.5086,298.6655,298.0871
2020-01-08 11:14:00,297.5098,298.6553,298.0825
2020-01-08 11:17:00,297.5144,298.645,298.0797
2020-01-08 11:18:00,297.5259,298.624,298.075
2020-01-08 11:19:00,297.5249,298.6263,298.0756
2020-01-08 11:21:00,297.5265,298.6231,298.0748
2020-01-08 11:22:00,297.5286,298.6174,298.073
2020-01-08 11:23:00,297.5378,298.5976,298.0677
2020-01-08 11:24:00,297.5391,298.5943,298.0667
2020-01-08 11:25:00,297.5378,298.6015,298.0696
2020-01-08 11:26:00,297.5378,298.6018,298.0698
2020-01-08 11:27:00,297.5389,298.5983,298.0686
2020-01-08 11:28:00,297.5391,298.5938,298.0664
2020-01-08 11:29:00,297.5309,298.612,298.0715
2020-01-08 11:30:00,297.498,298.6663,298.0821
2020-01-08 11:31:00,297.4635,298.7238,298.0936
2020-01-08 11:32:00,297.4566,298.7387,298.0976
2020-01-08 11:33:00,297.4559,298.7404,298.0981
2020-01-08 11:34:00,297.4483,298.7566,298.1024
2020-01-08 11:35:00,297.4453,298.764,298.1046
2020-01-08 11:36:00,297.4307,298.7918,298.1113
2020-01-08 11:37:00,297.4079,298.8359,298.1219
2020-01-08 11:38:00,297.374,298.8991,298.1365
2020-01-08 11:41:00,297.2821,299.0493,298.1657
2020-01-08 11:42:00,297.1953,299.1969,298.1961
2020-01-08 11:43:00,297.1218,299.3337,298.2277
2020-01-08 11:44:00,297.0681,299.4483,298.2582
2020-01-08 11:45:00,297.0236,299.5522,298.2879
2020-01-08 11:46:00,296.993,299.6378,298.3154
2020-01-08 11:47:00,296.979,299.7056,298.3423
2020-01-08 11:48:00,296.9647,299.7727,298.3687
2020-01-08 11:49:00,296.9492,299.8479,298.3985
2020-01-08 11:50:00,296.9424,299.923,298.4327
2020-01-08 11:51:00,296.9371,299.9954,298.4662
2020-01-08 11:52:00,296.9294,300.0747,298.5021
2020-01-08 11:53:00,296.9248,300.15,298.5374
2020-01-08 11:54:00,296.9397,300.2162,298.5779
2020-01-08 11:55:00,296.95,300.291,298.6205
2020-01-08 11:56:00,296.9704,300.3536,298.662
2020-01-08 11:57:00,296.9949,300.4044,298.6997
2020-01-08 11:58:00,297.0186,300.4568,298.7377
2020-01-08 11:59:00,297.0367,300.5106,298.7737
2020-01-08 12:00:00,297.0588,300.5632,298.811
2020-01-08 12:01:00,297.0797,300.6274,298.8535
2020-01-08 12:02:00,297.1057,300.6935,298.8996
2020-01-08 12:03:00,297.1231,300.7644,298.9438
2020-01-08 12:04:00,297.1426,300.8346,298.9886
2020-01-08 12:05:00,297.1727,300.9018,299.0373
2020-01-08 12:06:00,297.1991,300.9798,299.0894
2020-01-08 12:07:00,297.2456,301.0395,299.1426
2020-01-08 12:08:00,297.2868,301.1057,299.1963
