date,MACD_Signal,MACD_Hist,MACD
2020-01-08 10:04:00,-0.0185,0.0518,0.0333
2020-01-08 10:05:00,-0.0076,0.0436,0.036
2020-01-08 10:06:00,-0.003,0.0184,0.0153
2020-01-08 10:07:00,0.0002,0.0131,0.0133
2020-01-08 10:08:00,0.0038,0.0142,0.018
2020-01-08 10:09:00,0.0084,0.0183,0.0267
2020-01-08 10:10:00,0.0101,0.0067,0.0168
2020-01-08 10:11:00,0.0096,-0.0016,0.008
2020-01-08 10:12:00,0.007,-0.0107,-0.0037
2020-01-08 10:13:00,0.0078,0.0033,0.0111
2020-01-08 10:14:00,0.0092,0.0054,0.0146
2020-01-08 10:15:00,0.013,0.0153,0.0283
2020-01-08 10:16:00,0.0207,0.0308,0.0515
2020-01-08 10:17:00,0.0256,0.0196,0.0452
2020-01-08 10:18:00,0.0298,0.017,0.0469
2020-01-08 10:19:00,0.0323,0.0098,0.0421
2020-01-08 10:20:00,0.0362,0.0158,0.052
2020-01-08 10:21:00,0.0377,0.0058,0.0434
2020-01-08 10:22:00,0.0337,-0.016,0.0177
2020-01-08 10:23:00,0.0281,-0.0222,0.0059
2020-01-08 10:24:00,0.0232,-0.0198,0.0034
2020-01-08 10:25:00,0.0175,-0.0226,-0.0051
2020-01-08 10:26:00,0.0115,-0.0239,-0.0124
2020-01-08 10:27:00,0.0066,-0.0198,-0.0132
2020-01-08 10:28:00,0.0029,-0.015,-0.0121
2020-01-08 10:29:00,0.001,-0.0073,-0.0063
2020-01-08 10:30:00,0.0014,0.0016,0.0031
2020-01-08 10:31:00,0.0024,0.004,0.0064
2020-01-08 10:32:00,0.0039,0.0059,0.0098
2020-01-08 10:33:00,0.0057,0.0073,0.0131
2020-01-08 10:34:00,0.0062,0.0021,0.0083
2020-01-08 10:35:00,0.0051,-0.0046,0.0005
2020-01-08 10:36:00,0.0003,-0.0194,-0.0191
2020-01-08 10:37:00,-0.0059,-0.0247,-0.0306
2020-01-08 10:38:00,-0.0132,-0.029,-0.0422
2020-01-08 10:39:00,-0.021,-0.0314,-0.0524
2020-01-08 10:40:00,-0.0283,-0.0291,-0.0574
2020-01-08 10:41:00,-0.0346,-0.0252,-0.0598
2020-01-08 10:42:00,-0.042,-0.0295,-0.0714
2020-01-08 10:43:00,-0.0484,-0.0258,-0.0742
2020-01-08 10:44:00,-0.0549,-0.0261,-0.081
2020-01-08 10:45:00,-0.0642,-0.0372,-0.1014
2020-01-08 10:46:00,-0.0738,-0.0384,-0.1122
2020-01-08 10:47:00,-0.0829,-0.0365,-0.1194
2020-01-08 10:48:00,-0.0906,-0.0307,-0.1213
2020-01-08 10:49:00,-0.1017,-0.0444,-0.1462
2020-01-08 10:50:00,-0.1136,-0.0476,-0.1612
2020-01-08 10:51:00,-0.1255,-0.0476,-0.1731
2020-01-08 10:52:00,-0.1351,-0.0382,-0.1733
2020-01-08 10:53:00,-0.1417,-0.0265,-0.1682
2020-01-08 10:54:00,-0.1434,-0.007,-0.1504
2020-01-08 10:55:00,-0.1423,0.0044,-0.1379
2020-01-08 10:56:00,-0.1403,0.0082,-0.1322
2020-01-08 10:57:00,-0.1389,0.0056,-0.1333
2020-01-08 10:58:00,-0.1348,0.0165,-0.1183
2020-01-08 10:59:00,-0.1287,0.0243,-0.1044
2020-01-08 11:00:00,-0.1238,0.0195,-0.1043
2020-01-08 11:01:00,-0.1197,0.0166,-0.1031
2020-01-08 11:02:00,-0.1183,0.0055,-0.1129
2020-01-08 11:03:00,-0.1171,0.005,-0.1121
2020-01-08 11:04:00,-0.1157,0.0055,-0.1102
2020-01-08 11:05:00,-0.1113,0.0175,-0.0939
2020-01-08 11:06:00,-0.1039,0.0295,-0.0744
2020-01-08 11:07:00,-0.0944,0.0384,-0.056
2020-01-08 11:08:00,-0.0827,0.0466,-0.0361
2020-01-08 11:09:00,-0.0685,0.0567,-0.0118
2020-01-08 11:10:00,-0.0529,0.0624,0.0094
2020-01-08 11:11:00,-0.0378,0.0606,0.0228
2020-01-08 11:12:00,-0.0229,0.0596,0.0367
2020-01-08 11:13:00,-0.0093,0.0544,0.045
2020-01-08 11:14:00,0.0031,0.0495,0.0525
