date,Real Middle Band,Real Lower Band,Real Upper Band
2020-01-13 10:30:00,312.3928,311.694,313.0916
2020-01-13 10:31:00,312.3858,311.6743,313.0972
2020-01-13 10:32:00,312.3806,311.6522,313.109
2020-01-13 10:33:00,312.3708,311.6277,313.114
2020-01-13 10:34:00,312.3548,311.6029,313.1068
2020-01-13 10:35:00,312.334,311.5777,313.0903
2020-01-13 10:36:00,312.3102,311.5605,313.0598
2020-01-13 10:37:00,312.2868,311.5589,313.0148
2020-01-13 10:38:00,312.2688,311.5541,312.9835
2020-01-13 10:39:00,312.2511,311.5423,312.96
2020-01-13 10:40:00,312.2344,311.5188,312.9501
2020-01-13 10:41:00,312.2266,311.4981,312.9551
2020-01-13 10:42:00,312.2147,311.4728,312.9566
2020-01-13 10:43:00,312.202,311.4379,312.9661
2020-01-13 10:44:00,312.1852,311.4015,312.9688
2020-01-13 10:45:00,312.1645,311.3575,312.9715
2020-01-13 10:46:00,312.1373,311.3148,312.9598
2020-01-13 10:47:00,312.1141,311.2924,312.9358
2020-01-13 10:48:00,312.0912,311.2676,312.9149
2020-01-13 10:49:00,312.0751,311.2563,312.8939
2020-01-13 10:50:00,312.0583,311.2565,312.8602
2020-01-13 10:51:00,312.0424,311.2483,312.8365
2020-01-13 10:52:00,312.0361,311.2436,312.8286
2020-01-13 10:53:00,312.0272,311.2425,312.812
2020-01-13 10:54:00,312.023,311.2409,312.8051
2020-01-13 10:55:00,312.0186,311.2389,312.7982
2020-01-13 10:56:00,312.0097,311.2402,312.7793
2020-01-13 10:57:00,311.9981,311.2498,312.7464
2020-01-13 10:58:00,311.9856,311.2668,312.7043
2020-01-13 10:59:00,311.9699,311.2982,312.6416
2020-01-13 11:04:00,311.9514,311.3258,312.5769
2020-01-13 11:05:00,311.9349,311.3567,312.5131
2020-01-13 11:06:00,311.9172,311.3801,312.4544
2020-01-13 11:07:00,311.9074,311.3815,312.4332
2020-01-13 11:08:00,311.894,311.3849,312.4031
