date,SlowD,SlowK
2020-01-13 09:39:00,56.2081,76.6841
2020-01-13 09:40:00,75.682,87.7251
2020-01-13 09:41:00,74.8897,60.2599
2020-01-13 09:42:00,60.1831,32.5644
2020-01-13 09:43:00,36.4787,16.6117
2020-01-13 09:44:00,22.751,19.0768
2020-01-13 09:45:00,29.3662,52.4102
2020-01-13 09:46:00,46.1391,66.9303
2020-01-13 09:47:00,70.0478,90.8029
2020-01-13 09:48:00,79.0709,79.4794
2020-01-13 09:49:00,82.6243,77.5905
2020-01-13 09:50:00,75.0244,68.0032
2020-01-13 09:51:00,69.3305,62.3976
2020-01-13 09:52:00,62.8236,58.0699
2020-01-13 09:53:00,56.2939,48.4143
2020-01-13 09:54:00,47.8919,37.1914
2020-01-13 09:55:00,45.6944,51.4775
2020-01-13 09:56:00,53.5056,71.8479
2020-01-13 09:57:00,72.9747,95.5986
2020-01-13 09:58:00,85.9225,90.321
2020-01-13 09:59:00,89.1486,81.526
2020-01-13 10:00:00,80.8163,70.6019
2020-01-13 10:01:00,76.0025,75.8795
2020-01-13 10:02:00,75.9937,81.4998
2020-01-13 10:03:00,81.298,86.5147
2020-01-13 10:04:00,80.3204,72.9468
2020-01-13 10:05:00,75.2105,66.1699
2020-01-13 10:06:00,63.2897,50.7523
2020-01-13 10:07:00,50.8735,35.6983
2020-01-13 10:08:00,35.7001,20.6498
2020-01-13 10:09:00,26.3055,22.5684
2020-01-13 10:10:00,27.1124,38.1189
2020-01-13 10:11:00,37.0459,50.4505
2020-01-13 10:12:00,47.3302,53.4211
2020-01-13 10:13:00,47.8368,39.6388
2020-01-13 10:14:00,40.6764,28.9692
2020-01-13 10:15:00,30.4433,22.722
2020-01-13 10:16:00,28.8177,34.7619
2020-01-13 10:17:00,35.1531,47.9755
2020-01-13 10:18:00,46.4333,56.5624
2020-01-13 10:19:00,47.5269,38.0428
2020-01-13 10:20:00,38.8606,21.9767
2020-01-13 10:21:00,24.0136,12.0213
2020-01-13 10:22:00,16.8551,16.5672
2020-01-13 10:23:00,17.4286,23.6973
2020-01-13 10:24:00,26.0437,37.8667
2020-01-13 10:25:00,42.0711,64.6495
2020-01-13 10:26:00,61.3811,81.6271
2020-01-13 10:27:00,80.7035,95.8338
2020-01-13 10:28:00,89.9961,92.5275
2020-01-13 10:29:00,93.8489,93.1854
2020-01-13 10:30:00,84.6591,68.2644
2020-01-13 10:31:00,72.7864,56.9095
2020-01-13 10:32:00,50.8522,27.3827
2020-01-13 10:33:00,38.4152,30.9536
2020-01-13 10:34:00,27.1314,23.058
2020-01-13 10:35:00,25.9064,23.7075
2020-01-13 10:36:00,24.2012,25.8381
2020-01-13 10:37:00,27.3317,32.4496
