date,Aroon Down,Aroon Up
2020-01-08 10:31:00,1.6667,3.3333
2020-01-08 10:32:00,0.0,1.6667
2020-01-08 10:33:00,8.3333,0.0
2020-01-08 10:34:00,6.6667,70.0
2020-01-08 10:35:00,5.0,68.3333
2020-01-08 10:36:00,3.3333,66.6667
2020-01-08 10:37:00,1.6667,65.0
2020-01-08 10:38:00,0.0,63.3333
2020-01-08 10:39:00,15.0,61.6667
2020-01-08 10:40:00,13.3333,60.0
2020-01-08 10:41:00,11.6667,58.3333
2020-01-08 10:42:00,10.0,56.6667
2020-01-08 10:43:00,8.3333,55.0
2020-01-08 10:44:00,6.6667,53.3333
2020-01-08 10:45:00,100.0,51.6667
2020-01-08 10:46:00,100.0,50.0
2020-01-08 10:47:00,98.3333,48.3333
2020-01-08 10:48:00,96.6667,46.6667
2020-01-08 10:49:00,100.0,45.0
2020-01-08 10:50:00,100.0,43.3333
2020-01-08 10:51:00,98.3333,41.6667
2020-01-08 10:52:00,96.6667,40.0
2020-01-08 10:53:00,95.0,38.3333
2020-01-08 10:54:00,93.3333,36.6667
2020-01-08 10:55:00,91.6667,35.0
2020-01-08 10:56:00,90.0,33.3333
2020-01-08 10:57:00,88.3333,31.6667
2020-01-08 10:58:00,86.6667,30.0
2020-01-08 10:59:00,85.0,28.3333
2020-01-08 11:00:00,83.3333,26.6667
2020-01-08 11:01:00,81.6667,25.0
2020-01-08 11:02:00,80.0,23.3333
2020-01-08 11:03:00,78.3333,21.6667
2020-01-08 11:04:00,76.6667,20.0
2020-01-08 11:05:00,75.0,18.3333
2020-01-08 11:06:00,73.3333,16.6667
2020-01-08 11:07:00,71.6667,15.0
2020-01-08 11:08:00,70.0,13.3333
2020-01-08 11:09:00,68.3333,11.6667
2020-01-08 11:10:00,66.6667,10.0
2020-01-08 11:11:00,65.0,8.3333
2020-01-08 11:12:00,63.3333,6.6667
2020-01-08 11:13:00,61.6667,5.0
2020-01-08 11:14:00,60.0,3.3333
2020-01-08 11:17:00,58.3333,1.6667
2020-01-08 11:18:00,56.6667,0.0
2020-01-08 11:19:00,55.0,0.0
2020-01-08 11:21:00,53.3333,25.0
2020-01-08 11:22:00,51.6667,23.3333
2020-01-08 11:23:00,50.0,21.6667
2020-01-08 11:24:00,48.3333,20.0
2020-01-08 11:25:00,46.6667,18.3333
2020-01-08 11:26:00,45.0,16.6667
2020-01-08 11:27:00,43.3333,15.0
2020-01-08 11:28:00,41.6667,13.3333
2020-01-08 11:29:00,40.0,11.6667
2020-01-08 11:30:00,38.3333,100.0
2020-01-08 11:31:00,36.6667,98.3333
2020-01-08 11:32:00,35.0,96.6667
2020-01-08 11:33:00,33.3333,95.0
2020-01-08 11:34:00,31.6667,93.3333
2020-01-08 11:35:00,30.0,91.6667
2020-01-08 11:36:00,28.3333,90.0
2020-01-08 11:37:00,26.6667,88.3333
2020-01-08 11:38:00,25.0,86.6667
2020-01-08 11:41:00,23.3333,100.0
2020-01-08 11:42:00,21.6667,100.0
2020-01-08 11:43:00,20.0,100.0
2020-01-08 11:44:00,18.3333,98.3333
2020-01-08 11:45:00,16.6667,96.6667
2020-01-08 11:46:00,15.0,95.0
2020-01-08 11:47:00,13.3333,93.3333
2020-01-08 11:48:00,11.6667,91.6667
2020-01-08 11:49:00,10.0,90.0
2020-01-08 11:50:00,8.3333,88.3333
2020-01-08 11:51:00,6.6667,86.6667
2020-01-08 11:52:00,5.0,85.0
2020-01-08 11:53:00,3.3333,83.3333
2020-01-08 11:54:00,1.6667,81.6667
2020-01-08 11:55:00,0.0,80.0
2020-01-08 11:56:00,18.3333,78.3333
2020-01-08 11:57:00,16.6667,76.6667
2020-01-08 11:58:00,15.0,75.0
2020-01-08 11:59:00,13.3333,73.3333
2020-01-08 12:00:00,11.6667,71.6667
2020-01-08 12:01:00,10.0,100.0
2020-01-08 12:02:00,8.3333,100.0
2020-01-08 12:03:00,6.6667,98.3333
2020-01-08 12:04:00,5.0,96.6667
2020-01-08 12:05:00,3.3333,95.0
2020-01-08 12:06:00,1.6667,100.0
2020-01-08 12:07:00,0.0,100.0
2020-01-08 12:08:00,1.6667,100.0
2020-01-08 12:09:00,0.0,100.0
2020-01-08 12:10:00,0.0,100.0
2020-01-08 12:11:00,0.0,100.0
2020-01-08 12:12:00,0.0,100.0
2020-01-08 12:13:00,0.0,98.3333
2020-01-08 12:14:00,0.0,96.6667
2020-01-08 12:15:00,26.6667,95.0
2020-01-08 12:16:00,25.0,100.0
2020-01-08 12:17:00,23.3333,98.3333
2020-01-08 12:18:00,21.6667,100.0
2020-01-08 12:19:00,20.0,100.0
2020-01-08 12:20:00,18.3333,100.0
2020-01-08 12:21:00,16.6667,100.0
2020-01-08 12:22:00,15.0,100.0
2020-01-08 12:23:00,13.3333,100.0
2020-01-08 12:24:00,11.6667,100.0
2020-01-08 12:25:00,10.0,100.0
2020-01-08 12:26:00,8.3333,98.3333
2020-01-08 12:27:00,6.6667,96.6667
2020-01-08 12:28:00,5.0,100.0
2020-01-08 12:29:00,3.3333,100.0
2020-01-08 12:30:00,1.6667,100.0
2020-01-08 12:31:00,0.0,100.0
2020-01-08 12:32:00,6.6667,100.0
2020-01-08 12:33:00,5.0,100.0
2020-01-08 12:34:00,3.3333,100.0
2020-01-08 12:35:00,1.6667,98.3333
2020-01-08 12:36:00,0.0,96.6667
2020-01-08 12:37:00,1.6667,95.0
2020-01-08 12:38:00,0.0,93.3333
2020-01-08 12:39:00,0.0,91.6667
2020-01-08 12:40:00,0.0,90.0
2020-01-08 12:41:00,11.6667,88.3333
2020-01-08 12:42:00,10.0,86.6667
2020-01-08 12:43:00,8.3333,85.0
2020-01-08 12:44:00,6.6667,83.3333
2020-01-08 12:45:00,5.0,81.6667
2020-01-08 12:46:00,3.3333,80.0
2020-01-08 12:47:00,1.6667,78.3333
2020-01-08 12:48:00,0.0,76.6667
2020-01-08 12:49:00,0.0,75.0
2020-01-08 12:50:00,0.0,73.3333
2020-01-08 12:51:00,0.0,71.6667
2020-01-08 12:52:00,10.0,70.0
2020-01-08 12:53:00,8.3333,68.3333
2020-01-08 12:54:00,6.6667,66.6667
2020-01-08 12:55:00,5.0,65.0
