date,SlowD,SlowK
2020-01-08 09:39:00,41.1098,39.0478
2020-01-08 09:40:00,41.8972,47.3811
2020-01-08 09:41:00,46.0608,51.7535
2020-01-08 09:42:00,50.8805,53.5068
2020-01-08 09:43:00,59.1112,72.0732
2020-01-08 09:44:00,67.2128,76.0583
2020-01-08 09:45:00,77.8004,85.2697
2020-01-08 09:46:00,73.2326,58.3699
2020-01-08 09:47:00,58.991,33.3333
2020-01-08 09:48:00,35.5761,15.025
2020-01-08 09:49:00,25.5189,28.1982
2020-01-08 09:50:00,26.3747,35.901
2020-01-08 09:51:00,34.891,40.5738
2020-01-08 09:52:00,37.6286,36.4111
2020-01-08 09:53:00,36.7331,33.2145
2020-01-08 09:54:00,29.5451,19.0098
2020-01-08 09:55:00,30.3002,38.6764
2020-01-08 09:56:00,41.7299,67.5035
2020-01-08 09:57:00,66.5921,93.5963
2020-01-08 09:58:00,81.4314,83.1944
2020-01-08 09:59:00,81.2888,67.0758
2020-01-08 10:00:00,69.6742,58.7523
2020-01-08 10:01:00,64.2576,66.9446
2020-01-08 10:02:00,65.5985,71.0985
2020-01-08 10:03:00,72.1734,78.4773
2020-01-08 10:04:00,72.8146,68.868
2020-01-08 10:05:00,68.6519,58.6105
2020-01-08 10:06:00,51.8159,27.9692
2020-01-08 10:07:00,36.7781,23.7545
2020-01-08 10:08:00,27.203,29.8853
2020-01-08 10:09:00,38.2547,61.1242
2020-01-08 10:10:00,50.9411,61.8137
2020-01-08 10:11:00,60.0036,57.073
2020-01-08 10:12:00,50.7409,33.3359
2020-01-08 10:13:00,47.3734,51.7113
2020-01-08 10:14:00,48.275,59.7779
2020-01-08 10:15:00,64.0837,80.7618
2020-01-08 10:16:00,73.2833,79.3102
2020-01-08 10:17:00,76.906,70.646
2020-01-08 10:18:00,68.0136,54.0845
2020-01-08 10:19:00,51.1868,28.8299
2020-01-08 10:20:00,39.8911,36.7588
2020-01-08 10:21:00,31.4882,28.8758
2020-01-08 10:22:00,33.398,34.5595
2020-01-08 10:23:00,31.3642,30.6575
2020-01-08 10:24:00,37.3121,46.7193
2020-01-08 10:25:00,43.1954,52.2096
2020-01-08 10:26:00,52.2518,57.8264
2020-01-08 10:27:00,56.8762,60.5926
2020-01-08 10:28:00,60.5287,63.1672
2020-01-08 10:29:00,63.275,66.0653
2020-01-08 10:30:00,66.3649,69.8623
2020-01-08 10:31:00,69.6482,73.0171
2020-01-08 10:32:00,70.2339,67.8223
2020-01-08 10:33:00,65.2545,54.9243
2020-01-08 10:34:00,54.632,41.1494
2020-01-08 10:35:00,41.0011,26.9296
2020-01-08 10:36:00,28.2767,16.7511
2020-01-08 10:37:00,19.4897,14.7884
2020-01-08 10:38:00,15.8934,16.1408
2020-01-08 10:39:00,17.0573,20.2428
2020-01-08 10:40:00,21.264,27.4084
