date,MACD_Signal,MACD_Hist,MACD
2020-01-13 10:04:00,0.0306,-0.0205,0.0101
2020-01-13 10:05:00,0.024,-0.0266,-0.0027
2020-01-13 10:06:00,0.0137,-0.041,-0.0273
2020-01-13 10:07:00,-0.0028,-0.066,-0.0688
2020-01-13 10:08:00,-0.0205,-0.0708,-0.0913
2020-01-13 10:09:00,-0.0385,-0.0718,-0.1103
2020-01-13 10:10:00,-0.0575,-0.076,-0.1335
2020-01-13 10:11:00,-0.0749,-0.0697,-0.1445
2020-01-13 10:12:00,-0.09,-0.0607,-0.1507
2020-01-13 10:13:00,-0.1007,-0.0428,-0.1435
2020-01-13 10:14:00,-0.1095,-0.0348,-0.1443
2020-01-13 10:15:00,-0.1173,-0.0314,-0.1487
2020-01-13 10:16:00,-0.1217,-0.0176,-0.1394
2020-01-13 10:17:00,-0.1217,0.0,-0.1217
2020-01-13 10:18:00,-0.1177,0.016,-0.1017
2020-01-13 10:19:00,-0.1156,0.0085,-0.1071
2020-01-13 10:20:00,-0.1154,0.0007,-0.1147
2020-01-13 10:21:00,-0.1191,-0.0149,-0.134
2020-01-13 10:22:00,-0.1235,-0.0176,-0.1412
2020-01-13 10:23:00,-0.1258,-0.009,-0.1348
2020-01-13 10:24:00,-0.1242,0.0063,-0.1179
2020-01-13 10:25:00,-0.1204,0.0154,-0.105
2020-01-13 10:26:00,-0.1164,0.0157,-0.1008
2020-01-13 10:27:00,-0.1131,0.0135,-0.0995
2020-01-13 10:28:00,-0.1106,0.01,-0.1006
2020-01-13 10:29:00,-0.1085,0.0082,-0.1003
2020-01-13 10:30:00,-0.1079,0.0025,-0.1054
2020-01-13 10:31:00,-0.1086,-0.0027,-0.1113
2020-01-13 10:32:00,-0.1133,-0.019,-0.1323
2020-01-13 10:33:00,-0.1175,-0.0165,-0.134
2020-01-13 10:34:00,-0.1211,-0.0147,-0.1358
2020-01-13 10:35:00,-0.1256,-0.018,-0.1436
2020-01-13 10:36:00,-0.1304,-0.0193,-0.1497
2020-01-13 10:37:00,-0.1332,-0.0108,-0.144
2020-01-13 10:38:00,-0.1325,0.0026,-0.1299
2020-01-13 10:39:00,-0.1308,0.0068,-0.124
2020-01-13 10:40:00,-0.1301,0.0028,-0.1273
2020-01-13 10:41:00,-0.1293,0.0033,-0.126
2020-01-13 10:42:00,-0.1288,0.0018,-0.1271
2020-01-13 10:43:00,-0.1309,-0.0082,-0.139
2020-01-13 10:44:00,-0.1346,-0.015,-0.1497
2020-01-13 10:45:00,-0.1411,-0.0258,-0.1669
2020-01-13 10:46:00,-0.1503,-0.037,-0.1873
2020-01-13 10:47:00,-0.1571,-0.0269,-0.184
2020-01-13 10:48:00,-0.1621,-0.02,-0.1821
2020-01-13 10:49:00,-0.1612,0.0034,-0.1578
2020-01-13 10:50:00,-0.1546,0.0264,-0.1281
2020-01-13 10:51:00,-0.146,0.0345,-0.1115
2020-01-13 10:52:00,-0.1325,0.0538,-0.0788
2020-01-13 10:53:00,-0.1158,0.0667,-0.0492
2020-01-13 10:54:00,-0.0965,0.0775,-0.0189
2020-01-13 10:55:00,-0.0766,0.0796,0.003
