date,SlowK,SlowD
2020-01-13 09:39:00,59.2686,81.2842
2020-01-13 09:40:00,27.925,57.9224
2020-01-13 09:41:00,6.0282,31.0739
2020-01-13 09:42:00,6.8504,13.6012
2020-01-13 09:43:00,10.3195,7.7327
2020-01-13 09:44:00,26.2516,14.4738
2020-01-13 09:45:00,42.542,26.371
2020-01-13 09:46:00,72.4063,47.0666
2020-01-13 09:47:00,88.8542,67.9342
2020-01-13 09:48:00,95.2364,85.499
2020-01-13 09:49:00,73.0152,85.702
2020-01-13 09:50:00,66.3118,78.1878
2020-01-13 09:51:00,48.0803,62.4691
2020-01-13 09:52:00,40.3579,51.5833
2020-01-13 09:53:00,28.8057,39.0813
2020-01-13 09:54:00,23.4111,30.8582
2020-01-13 09:55:00,26.4962,26.2377
2020-01-13 09:56:00,37.2876,29.065
2020-01-13 09:57:00,64.7239,42.8359
2020-01-13 09:58:00,91.5672,64.5262
2020-01-13 09:59:00,96.1256,84.1389
2020-01-13 10:00:00,87.5986,91.7638
2020-01-13 10:01:00,75.4511,86.3918
2020-01-13 10:02:00,56.669,73.2396
2020-01-13 10:03:00,35.3107,55.8103
2020-01-13 10:04:00,21.8932,37.9576
2020-01-13 10:05:00,21.5904,26.2648
2020-01-13 10:06:00,25.6518,23.0451
2020-01-13 10:07:00,21.8721,23.0381
2020-01-13 10:08:00,22.7038,23.4092
2020-01-13 10:09:00,24.8726,23.1495
2020-01-13 10:10:00,29.1246,25.567
2020-01-13 10:11:00,36.7452,30.2475
2020-01-13 10:12:00,47.9967,37.9555
2020-01-13 10:13:00,69.3476,51.3632
2020-01-13 10:14:00,72.6289,63.3244
2020-01-13 10:15:00,65.1834,69.0533
2020-01-13 10:16:00,60.8101,66.2075
2020-01-13 10:17:00,63.6877,63.2271
2020-01-13 10:18:00,78.7476,67.7485
2020-01-13 10:19:00,63.0691,68.5015
2020-01-13 10:20:00,40.5978,60.8048
2020-01-13 10:21:00,16.4561,40.041
2020-01-13 10:22:00,15.2654,24.1064
2020-01-13 10:23:00,29.1302,20.2839
2020-01-13 10:24:00,55.2257,33.2071
2020-01-13 10:25:00,75.9702,53.4421
2020-01-13 10:26:00,79.8631,70.353
2020-01-13 10:27:00,61.5861,72.4731
2020-01-13 10:28:00,38.4625,59.9706
2020-01-13 10:29:00,25.4286,41.8258
2020-01-13 10:30:00,13.2075,25.6996
2020-01-13 10:31:00,8.5324,15.7229
2020-01-13 10:32:00,3.8028,8.5142
2020-01-13 10:33:00,20.4634,10.9329
2020-01-13 10:34:00,34.4376,19.5679
