date,Real Middle Band,Real Upper Band,Real Lower Band
2020-01-13 10:30:00,48.6325,48.8928,48.3722
2020-01-13 10:31:00,48.6341,48.8959,48.3724
2020-01-13 10:32:00,48.635,48.8966,48.3734
2020-01-13 10:33:00,48.6378,48.8981,48.3775
2020-01-13 10:34:00,48.6428,48.894,48.3916
2020-01-13 10:35:00,48.6493,48.88,48.4186
2020-01-13 10:36:00,48.6534,48.8771,48.4298
2020-01-13 10:37:00,48.657,48.8747,48.4394
2020-01-13 10:38:00,48.6594,48.8756,48.4432
2020-01-13 10:39:00,48.6609,48.875,48.4468
2020-01-13 10:40:00,48.6624,48.874,48.4507
2020-01-13 10:41:00,48.6644,48.8713,48.4575
2020-01-13 10:42:00,48.6673,48.8642,48.4705
2020-01-13 10:43:00,48.6698,48.8584,48.4812
2020-01-13 10:44:00,48.6729,48.8498,48.496
2020-01-13 10:45:00,48.6732,48.8491,48.4973
2020-01-13 10:46:00,48.6736,48.848,48.4992
2020-01-13 10:47:00,48.6745,48.8465,48.5025
2020-01-13 10:48:00,48.6759,48.8434,48.5085
2020-01-13 10:49:00,48.6778,48.8407,48.5149
2020-01-13 10:50:00,48.6787,48.8396,48.5177
2020-01-13 10:51:00,48.6805,48.8375,48.5236
2020-01-13 10:52:00,48.6824,48.8357,48.529
2020-01-13 10:53:00,48.6836,48.834,48.5332
2020-01-13 10:54:00,48.6858,48.8315,48.54
2020-01-13 10:55:00,48.6867,48.8309,48.5424
2020-01-13 10:56:00,48.6851,48.8295,48.5406
2020-01-13 10:57:00,48.6839,48.8288,48.539
2020-01-13 10:58:00,48.6833,48.8282,48.5383
2020-01-13 10:59:00,48.6823,48.8281,48.5364
2020-01-13 11:01:00,48.6807,48.829,48.5323
2020-01-13 11:02:00,48.6771,48.827,48.5272
2020-01-13 11:03:00,48.6723,48.8196,48.525
2020-01-13 11:04:00,48.6674,48.8146,48.5202
2020-01-13 11:05:00,48.6629,48.8109,48.515
2020-01-13 11:06:00,48.6569,48.8081,48.5057
2020-01-13 11:07:00,48.6521,48.8045,48.4997
2020-01-13 11:08:00,48.6476,48.8017,48.4934
2020-01-13 11:09:00,48.6442,48.8004,48.488
2020-01-13 11:10:00,48.6398,48.8009,48.4786
2020-01-13 11:11:00,48.634,48.8,48.468
2020-01-13 11:12:00,48.6286,48.7972,48.46
2020-01-13 11:13:00,48.6231,48.7982,48.448
2020-01-13 11:14:00,48.6168,48.8014,48.4323
2020-01-13 11:15:00,48.6104,48.8055,48.4153
2020-01-13 11:16:00,48.6053,48.8051,48.4056
2020-01-13 11:17:00,48.6002,48.8015,48.3989
2020-01-13 11:18:00,48.5943,48.799,48.3896
2020-01-13 11:19:00,48.5888,48.7969,48.3807
2020-01-13 11:20:00,48.5851,48.7958,48.3745
2020-01-13 11:21:00,48.5817,48.794,48.3694
2020-01-13 11:22:00,48.5793,48.7949,48.3636
2020-01-13 11:23:00,48.5758,48.7977,48.354
2020-01-13 11:24:00,48.5709,48.7994,48.3425
2020-01-13 11:25:00,48.5672,48.799,48.3353
2020-01-13 11:26:00,48.5617,48.7959,48.3275
2020-01-13 11:27:00,48.556,48.7911,48.321
2020-01-13 11:28:00,48.5499,48.7847,48.3151
2020-01-13 11:29:00,48.5428,48.7781,48.3074
2020-01-13 11:30:00,48.5364,48.7669,48.3059
2020-01-13 11:31:00,48.5316,48.7586,48.3045
2020-01-13 11:32:00,48.5274,48.7481,48.3067
2020-01-13 11:33:00,48.5244,48.7432,48.3056
2020-01-13 11:34:00,48.5202,48.7359,48.3045
2020-01-13 11:35:00,48.5162,48.7291,48.3034
2020-01-13 11:36:00,48.5128,48.7235,48.3021
2020-01-13 11:37:00,48.509,48.7157,48.3023
2020-01-13 11:38:00,48.5057,48.7083,48.303
2020-01-13 11:39:00,48.5024,48.699,48.3059
2020-01-13 11:40:00,48.5002,48.6939,48.3064
2020-01-13 11:41:00,48.4977,48.689,48.3064
2020-01-13 11:42:00,48.4955,48.685,48.306
2020-01-13 11:43:00,48.4936,48.6819,48.3053
2020-01-13 11:44:00,48.4917,48.6788,48.3046
2020-01-13 11:45:00,48.4891,48.675,48.3032
2020-01-13 11:46:00,48.4876,48.6729,48.3022
2020-01-13 11:47:00,48.4864,48.6718,48.301
2020-01-13 11:48:00,48.4841,48.6677,48.3005
2020-01-13 11:49:00,48.4824,48.6643,48.3005
2020-01-13 11:50:00,48.4796,48.6575,48.3017
2020-01-13 11:51:00,48.4762,48.651,48.3015
2020-01-13 11:52:00,48.4722,48.6418,48.3026
2020-01-13 11:53:00,48.4679,48.6313,48.3045
2020-01-13 11:54:00,48.4635,48.6234,48.3035
2020-01-13 11:55:00,48.4585,48.6109,48.3061
2020-01-13 11:56:00,48.4539,48.5987,48.3091
2020-01-13 11:57:00,48.4495,48.5882,48.3108
2020-01-13 11:58:00,48.445,48.5766,48.3134
2020-01-13 11:59:00,48.4405,48.5603,48.3207
2020-01-13 12:00:00,48.4375,48.5478,48.3272
2020-01-13 12:01:00,48.4354,48.5397,48.3311
2020-01-13 12:02:00,48.4341,48.5342,48.3339
2020-01-13 12:03:00,48.4326,48.5283,48.3368
2020-01-13 12:04:00,48.4315,48.5245,48.3385
2020-01-13 12:05:00,48.4303,48.5202,48.3403
2020-01-13 12:06:00,48.43,48.5197,48.3403
2020-01-13 12:07:00,48.4294,48.5176,48.3411
2020-01-13 12:08:00,48.4287,48.5155,48.342
2020-01-13 12:09:00,48.4281,48.5127,48.3435
2020-01-13 12:10:00,48.4284,48.5135,48.3432
2020-01-13 12:11:00,48.4299,48.5182,48.3416
2020-01-13 12:12:00,48.4319,48.5271,48.3367
2020-01-13 12:13:00,48.4344,48.5349,48.3339
2020-01-13 12:14:00,48.4376,48.5415,48.3338
2020-01-13 12:15:00,48.4419,48.5509,48.333
2020-01-13 12:16:00,48.4456,48.5644,48.3268
2020-01-13 12:17:00,48.4478,48.5704,48.3252
2020-01-13 12:18:00,48.4512,48.5785,48.3239
2020-01-13 12:19:00,48.4541,48.5841,48.3241
2020-01-13 12:20:00,48.4562,48.5892,48.3232
2020-01-13 12:21:00,48.4583,48.595,48.3215
2020-01-13 12:22:00,48.4607,48.6008,48.3206
2020-01-13 12:23:00,48.464,48.6053,48.3227
2020-01-13 12:24:00,48.4676,48.6081,48.3271
2020-01-13 12:25:00,48.4702,48.6116,48.3287
2020-01-13 12:26:00,48.4736,48.6156,48.3316
2020-01-13 12:27:00,48.477,48.6197,48.3343
2020-01-13 12:28:00,48.4807,48.6239,48.3376
2020-01-13 12:29:00,48.4853,48.6259,48.3446
