date,ADX
2020-06-10 11:31:00,10.342
2020-06-10 11:32:00,10.261
2020-06-10 11:33:00,10.1647
2020-06-10 11:34:00,10.0701
2020-06-10 11:35:00,9.977
2020-06-10 11:36:00,9.8769
2020-06-10 11:37:00,9.7442
2020-06-10 11:38:00,9.6138
2020-06-10 11:39:00,9.5021
2020-06-10 11:40:00,9.3922
2020-06-10 11:41:00,9.3008
2020-06-10 11:42:00,9.211
2020-06-10 11:43:00,9.1135
2020-06-10 11:44:00,8.9901
2020-06-10 11:45:00,8.8688
2020-06-10 11:46:00,8.7402
2020-06-10 11:47:00,8.6045
2020-06-10 11:48:00,8.4698
2020-06-10 11:49:00,8.3373
2020-06-10 11:50:00,8.2624
2020-06-10 11:51:00,8.2341
2020-06-10 11:52:00,8.2306
2020-06-10 11:53:00,8.1781
2020-06-10 11:54:00,8.1073
2020-06-10 11:55:00,8.0378
2020-06-10 11:56:00,7.9961
2020-06-10 11:57:00,7.9354
2020-06-10 11:58:00,7.8757
2020-06-10 11:59:00,7.7971
2020-06-10 12:00:00,7.7292
2020-06-10 12:01:00,7.6624
2020-06-10 12:02:00,7.5967
2020-06-10 12:03:00,7.5418
2020-06-10 12:04:00,7.4878
2020-06-10 12:05:00,7.4133
2020-06-10 12:06:00,7.3018
2020-06-10 12:07:00,7.1922
2020-06-10 12:08:00,7.0896
2020-06-10 12:09:00,6.9887
2020-06-10 12:10:00,6.9001
2020-06-10 12:11:00,6.8131
2020-06-10 12:12:00,6.7488
2020-06-10 12:13:00,6.6856
2020-06-10 12:14:00,6.7065
2020-06-10 12:15:00,6.7271
2020-06-10 12:16:00,6.6895
2020-06-10 12:17:00,6.6525
2020-06-10 12:18:00,6.6371
2020-06-10 12:19:00,6.6102
2020-06-10 12:20:00,6.5491
2020-06-10 12:21:00,6.4784
2020-06-10 12:22:00,6.4088
2020-06-10 12:23:00,6.3404
2020-06-10 12:24:00,6.2732
2020-06-10 12:25:00,6.2502
2020-06-10 12:26:00,6.2488
2020-06-10 12:27:00,6.2474
2020-06-10 12:28:00,6.2339
2020-06-10 12:29:00,6.1966
2020-06-10 12:30:00,6.1598
2020-06-10 12:31:00,6.1237
2020-06-10 12:32:00,6.0882
2020-06-10 12:33:00,6.0764
2020-06-10 12:34:00,6.0763
2020-06-10 12:35:00,6.0991
2020-06-10 12:36:00,6.1441
2020-06-10 12:37:00,6.2535
2020-06-10 12:38:00,6.3818
2020-06-10 12:39:00,6.5079
2020-06-10 12:40:00,6.6042
2020-06-10 12:41:00,6.645
2020-06-10 12:42:00,6.6906
2020-06-10 12:43:00,6.7895
2020-06-10 12:44:00,6.8868
2020-06-10 12:45:00,6.9824
2020-06-10 12:46:00,7.0764
2020-06-10 12:47:00,7.1689
2020-06-10 12:48:00,7.1629
