date,Real Middle Band,Real Upper Band,Real Lower Band
2020-06-15 16:00:00,4.5912,4.667,4.5154
2020-06-15 15:59:00,4.5917,4.6657,4.5177
2020-06-15 15:58:00,4.592,4.6649,4.5191
2020-06-15 15:57:00,4.5924,4.6642,4.5207
2020-06-15 15:56:00,4.5922,4.6645,4.5199
2020-06-15 15:55:00,4.5913,4.665,4.5175
2020-06-15 15:54:00,4.5904,4.6658,4.515
2020-06-15 15:53:00,4.5891,4.6658,4.5123
2020-06-15 15:52:00,4.5873,4.6664,4.5083
2020-06-15 15:51:00,4.5865,4.6661,4.5069
2020-06-15 15:50:00,4.5858,4.6656,4.506
2020-06-15 15:49:00,4.5853,4.6654,4.5053
2020-06-15 15:48:00,4.5843,4.6646,4.504
2020-06-15 15:47:00,4.5838,4.6641,4.5036
2020-06-15 15:46:00,4.5832,4.6632,4.5031
2020-06-15 15:45:00,4.5825,4.6621,4.5028
2020-06-15 15:44:00,4.582,4.6615,4.5024
2020-06-15 15:43:00,4.5814,4.661,4.5019
2020-06-15 15:42:00,4.5808,4.6607,4.5009
2020-06-15 15:41:00,4.5804,4.6602,4.5005
2020-06-15 15:40:00,4.5794,4.6589,4.4999
2020-06-15 15:39:00,4.5792,4.6585,4.4999
2020-06-15 15:38:00,4.5787,4.6578,4.4996
2020-06-15 15:37:00,4.5784,4.6573,4.4996
2020-06-15 15:36:00,4.5779,4.6568,4.4991
2020-06-15 15:35:00,4.5776,4.6565,4.4988
2020-06-15 15:34:00,4.5763,4.6537,4.4989
2020-06-15 15:33:00,4.5748,4.6506,4.499
2020-06-15 15:32:00,4.5733,4.6484,4.4983
2020-06-15 15:31:00,4.5717,4.6451,4.4982
2020-06-15 15:30:00,4.57,4.6417,4.4983
2020-06-15 15:29:00,4.5681,4.6367,4.4995
2020-06-15 15:28:00,4.5665,4.6332,4.4997
2020-06-15 15:27:00,4.565,4.6299,4.5
2020-06-15 15:26:00,4.564,4.6283,4.4998
2020-06-15 15:25:00,4.5631,4.6265,4.4996
2020-06-15 15:24:00,4.5628,4.6263,4.4994
2020-06-15 15:23:00,4.5622,4.6257,4.4987
2020-06-15 15:22:00,4.5615,4.6247,4.4984
2020-06-15 15:21:00,4.5613,4.6243,4.4982
2020-06-15 15:20:00,4.56,4.6209,4.4991
2020-06-15 15:19:00,4.5588,4.6184,4.4993
2020-06-15 15:18:00,4.5573,4.6141,4.5005
2020-06-15 15:17:00,4.5563,4.6114,4.5012
2020-06-15 15:16:00,4.5547,4.6067,4.5028
2020-06-15 15:15:00,4.5534,4.6026,4.5042
2020-06-15 15:14:00,4.5513,4.5901,4.5126
2020-06-15 15:13:00,4.5501,4.5817,4.5186
2020-06-15 15:12:00,4.55,4.5812,4.5188
2020-06-15 15:11:00,4.5495,4.5804,4.5186
