date,EMA
2020-06-10 09:39:00,5.139
2020-06-10 09:40:00,5.1147
2020-06-10 09:41:00,5.1315
2020-06-10 09:42:00,5.1223
2020-06-10 09:43:00,5.1134
2020-06-10 09:44:00,5.1059
2020-06-10 09:45:00,5.1002
2020-06-10 09:46:00,5.0335
2020-06-10 09:47:00,5.0174
2020-06-10 09:48:00,5.0002
2020-06-10 09:49:00,5.0081
2020-06-10 09:50:00,5.0108
2020-06-10 09:51:00,5.0328
2020-06-10 09:52:00,5.0438
2020-06-10 09:53:00,5.0567
2020-06-10 09:54:00,5.0841
2020-06-10 09:55:00,5.0943
2020-06-10 09:56:00,5.0911
2020-06-10 09:57:00,5.0931
2020-06-10 09:58:00,5.0768
2020-06-10 09:59:00,5.0753
2020-06-10 10:00:00,5.0786
2020-06-10 10:01:00,5.08
2020-06-10 10:02:00,5.0733
2020-06-10 10:03:00,5.0793
2020-06-10 10:04:00,5.0816
2020-06-10 10:05:00,5.0879
2020-06-10 10:06:00,5.0951
2020-06-10 10:07:00,5.1073
2020-06-10 10:08:00,5.1234
2020-06-10 10:09:00,5.163
2020-06-10 10:10:00,5.2057
2020-06-10 10:11:00,5.2315
2020-06-10 10:12:00,5.2423
2020-06-10 10:13:00,5.2572
2020-06-10 10:14:00,5.2749
2020-06-10 10:15:00,5.2605
2020-06-10 10:16:00,5.2637
2020-06-10 10:17:00,5.274
2020-06-10 10:18:00,5.2776
2020-06-10 10:19:00,5.287
2020-06-10 10:20:00,5.2899
2020-06-10 10:21:00,5.2988
2020-06-10 10:22:00,5.3191
2020-06-10 10:23:00,5.3493
2020-06-10 10:24:00,5.4005
2020-06-10 10:25:00,5.4475
2020-06-10 10:26:00,5.4792
2020-06-10 10:27:00,5.5352
2020-06-10 10:28:00,5.5677
2020-06-10 10:29:00,5.5971
2020-06-10 10:30:00,5.607
2020-06-10 10:31:00,5.621
2020-06-10 10:32:00,5.6052
2020-06-10 10:33:00,5.5834
2020-06-10 10:34:00,5.5497
2020-06-10 10:35:00,5.5364
2020-06-10 10:36:00,5.5394
2020-06-10 10:37:00,5.5095
2020-06-10 10:38:00,5.5008
2020-06-10 10:39:00,5.4939
2020-06-10 10:40:00,5.4679
2020-06-10 10:41:00,5.4595
2020-06-10 10:42:00,5.4462
2020-06-10 10:43:00,5.4537
2020-06-10 10:44:00,5.4518
2020-06-10 10:45:00,5.4447
2020-06-10 10:46:00,5.4392
2020-06-10 10:47:00,5.4372
2020-06-10 10:48:00,5.44
2020-06-10 10:49:00,5.4389
2020-06-10 10:50:00,5.4414
2020-06-10 10:51:00,5.4566
2020-06-10 10:52:00,5.4751
2020-06-10 10:53:00,5.5019
2020-06-10 10:54:00,5.5129
2020-06-10 10:55:00,5.5181
2020-06-10 10:56:00,5.483
2020-06-10 10:57:00,5.469
2020-06-10 10:58:00,5.4692
2020-06-10 10:59:00,5.4628
2020-06-10 11:00:00,5.4555
2020-06-10 11:01:00,5.4298
2020-06-10 11:02:00,5.4232
2020-06-10 11:03:00,5.4113
2020-06-10 11:04:00,5.4
2020-06-10 11:05:00,5.336
2020-06-10 11:06:00,5.3013
2020-06-10 11:07:00,5.2699
2020-06-10 11:08:00,5.2588
2020-06-10 11:09:00,5.2571
2020-06-10 11:10:00,5.2526
2020-06-10 11:11:00,5.2409
2020-06-10 11:12:00,5.2318
2020-06-10 11:13:00,5.2203
2020-06-10 11:14:00,5.2096
2020-06-10 11:15:00,5.192
2020-06-10 11:16:00,5.1826
2020-06-10 11:17:00,5.1798
2020-06-10 11:18:00,5.1799
2020-06-10 11:19:00,5.1799
2020-06-10 11:20:00,5.1977
2020-06-10 11:21:00,5.196
2020-06-10 11:22:00,5.1949
2020-06-10 11:23:00,5.1916
2020-06-10 11:24:00,5.1912
2020-06-10 11:25:00,5.1865
2020-06-10 11:26:00,5.1806
2020-06-10 11:27:00,5.165
2020-06-10 11:28:00,5.1563
2020-06-10 11:29:00,5.146
2020-06-10 11:30:00,5.1402
2020-06-10 11:31:00,5.1513
2020-06-10 11:32:00,5.171
2020-06-10 11:33:00,5.1774
2020-06-10 11:34:00,5.1869
2020-06-10 11:35:00,5.1898
2020-06-10 11:36:00,5.1921
2020-06-10 11:37:00,5.1849
2020-06-10 11:38:00,5.1793
2020-06-10 11:39:00,5.1795
2020-06-10 11:40:00,5.1785
2020-06-10 11:41:00,5.1766
2020-06-10 11:42:00,5.1752
2020-06-10 11:43:00,5.1696
2020-06-10 11:44:00,5.1619
2020-06-10 11:45:00,5.157
2020-06-10 11:46:00,5.1532
2020-06-10 11:47:00,5.1445
2020-06-10 11:48:00,5.139
2020-06-10 11:49:00,5.1281
2020-06-10 11:50:00,5.1063
2020-06-10 11:51:00,5.0853
2020-06-10 11:52:00,5.0619
2020-06-10 11:53:00,5.0503
2020-06-10 11:54:00,5.0569
2020-06-10 11:55:00,5.0598
2020-06-10 11:56:00,5.0532
2020-06-10 11:57:00,5.0503
2020-06-10 11:58:00,5.0435
2020-06-10 11:59:00,5.0383
2020-06-10 12:00:00,5.032
2020-06-10 12:01:00,5.0305
2020-06-10 12:02:00,5.0259
2020-06-10 12:03:00,5.0224
2020-06-10 12:04:00,5.0196
2020-06-10 12:05:00,5.0197
2020-06-10 12:06:00,5.0198
2020-06-10 12:07:00,5.0198
2020-06-10 12:08:00,5.0165
2020-06-10 12:09:00,5.0173
2020-06-10 12:10:00,5.0178
2020-06-10 12:11:00,5.0205
2020-06-10 12:12:00,5.0271
2020-06-10 12:13:00,5.03
2020-06-10 12:14:00,5.0489
2020-06-10 12:15:00,5.0593
2020-06-10 12:16:00,5.0606
2020-06-10 12:17:00,5.0638
2020-06-10 12:18:00,5.0696
2020-06-10 12:19:00,5.0686
2020-06-10 12:20:00,5.0622
2020-06-10 12:21:00,5.0439
2020-06-10 12:22:00,5.028
2020-06-10 12:23:00,5.0262
2020-06-10 12:24:00,5.0248
2020-06-10 12:25:00,5.0171
2020-06-10 12:26:00,5.0066
2020-06-10 12:27:00,4.9985
2020-06-10 12:28:00,4.9938
2020-06-10 12:29:00,4.9929
2020-06-10 12:30:00,4.9888
2020-06-10 12:31:00,4.9869
2020-06-10 12:32:00,4.9868
2020-06-10 12:33:00,4.982
2020-06-10 12:34:00,4.9771
2020-06-10 12:35:00,4.9677
2020-06-10 12:36:00,4.9571
2020-06-10 12:37:00,4.9355
2020-06-10 12:38:00,4.9121
2020-06-10 12:39:00,4.9072
2020-06-10 12:40:00,4.9067
2020-06-10 12:41:00,4.9163
2020-06-10 12:42:00,4.9149
2020-06-10 12:43:00,4.9005
2020-06-10 12:44:00,4.8959
2020-06-10 12:45:00,4.8902
2020-06-10 12:46:00,4.8835
2020-06-10 12:47:00,4.8771
2020-06-10 12:48:00,4.8833
2020-06-10 12:49:00,4.8937
2020-06-10 12:50:00,4.9029
2020-06-10 12:51:00,4.9071
2020-06-10 12:52:00,4.9121
2020-06-10 12:53:00,4.9205
2020-06-10 12:54:00,4.9226
2020-06-10 12:55:00,4.9215
2020-06-10 12:56:00,4.9179
2020-06-10 12:57:00,4.9139
2020-06-10 12:58:00,4.9108
2020-06-10 12:59:00,4.9028
2020-06-10 13:00:00,4.9067
2020-06-10 13:01:00,4.9096
2020-06-10 13:02:00,4.9097
2020-06-10 13:03:00,4.9009
2020-06-10 13:04:00,4.9051
2020-06-10 13:05:00,4.9106
2020-06-10 13:06:00,4.9135
2020-06-10 13:07:00,4.9171
2020-06-10 13:08:00,4.9233
2020-06-10 13:09:00,4.9248
2020-06-10 13:10:00,4.9251
2020-06-10 13:11:00,4.9245
2020-06-10 13:12:00,4.9202
2020-06-10 13:13:00,4.9201
2020-06-10 13:14:00,4.9179
2020-06-10 13:15:00,4.9161
2020-06-10 13:16:00,4.9137
2020-06-10 13:17:00,4.9106
2020-06-10 13:18:00,4.9083
2020-06-10 13:19:00,4.9087
2020-06-10 13:20:00,4.9067
2020-06-10 13:21:00,4.9097
2020-06-10 13:22:00,4.9098
2020-06-10 13:23:00,4.9054
2020-06-10 13:24:00,4.8986
2020-06-10 13:25:00,4.8901
2020-06-10 13:26:00,4.8856
2020-06-10 13:27:00,4.8844
2020-06-10 13:28:00,4.8767
2020-06-10 13:29:00,4.8774
2020-06-10 13:30:00,4.8747
2020-06-10 13:31:00,4.8758
2020-06-10 13:32:00,4.8757
2020-06-10 13:33:00,4.8755
2020-06-10 13:34:00,4.8732
2020-06-10 13:35:00,4.868
2020-06-10 13:36:00,4.8574
2020-06-10 13:37:00,4.8491
2020-06-10 13:38:00,4.8382
2020-06-10 13:39:00,4.8319
2020-06-10 13:40:00,4.8292
2020-06-10 13:41:00,4.8288
2020-06-10 13:42:00,4.829
2020-06-10 13:43:00,4.8314
2020-06-10 13:44:00,4.8289
2020-06-10 13:45:00,4.8269
2020-06-10 13:46:00,4.8333
2020-06-10 13:47:00,4.8392
2020-06-10 13:48:00,4.8482
2020-06-10 13:49:00,4.8609
2020-06-10 13:50:00,4.8662
2020-06-10 13:51:00,4.8637
2020-06-10 13:52:00,4.8651
2020-06-10 13:53:00,4.8562
2020-06-10 13:54:00,4.8459
2020-06-10 13:55:00,4.8357
2020-06-10 13:56:00,4.83
2020-06-10 13:57:00,4.8256
2020-06-10 13:58:00,4.8199
2020-06-10 13:59:00,4.8219
2020-06-10 14:00:00,4.8104
2020-06-10 14:01:00,4.7992
2020-06-10 14:02:00,4.7914
2020-06-10 14:03:00,4.7955
2020-06-10 14:04:00,4.7932
2020-06-10 14:05:00,4.7925
2020-06-10 14:06:00,4.7919
2020-06-10 14:07:00,4.787
2020-06-10 14:08:00,4.7832
2020-06-10 14:09:00,4.7705
2020-06-10 14:10:00,4.747
2020-06-10 14:11:00,4.7366
2020-06-10 14:12:00,4.7284
2020-06-10 14:13:00,4.7154
2020-06-10 14:14:00,4.7031
2020-06-10 14:15:00,4.6835
2020-06-10 14:16:00,4.6605
2020-06-10 14:17:00,4.656
2020-06-10 14:18:00,4.6469
2020-06-10 14:19:00,4.6364
2020-06-10 14:20:00,4.6074
2020-06-10 14:21:00,4.588
2020-06-10 14:22:00,4.5729
2020-06-10 14:23:00,4.5623
2020-06-10 14:24:00,4.5496
2020-06-10 14:25:00,4.5345
