date,MACD_Hist,MACD,MACD_Signal
2020-06-15 16:00:00,-0.0106,-0.0186,-0.0081
2020-06-15 15:59:00,-0.0092,-0.0146,-0.0054
2020-06-15 15:58:00,-0.0072,-0.0103,-0.0031
2020-06-15 15:57:00,-0.0041,-0.0054,-0.0013
2020-06-15 15:56:00,-0.0021,-0.0024,-0.0003
2020-06-15 15:55:00,-0.0018,-0.0016,0.0002
2020-06-15 15:54:00,-0.0001,0.0005,0.0007
2020-06-15 15:53:00,-0.0006,0.0001,0.0007
2020-06-15 15:52:00,-0.0018,-0.001,0.0008
2020-06-15 15:51:00,-0.0021,-0.0008,0.0013
2020-06-15 15:50:00,-0.0023,-0.0005,0.0018
2020-06-15 15:49:00,-0.0015,0.0009,0.0024
2020-06-15 15:48:00,-0.0021,0.0006,0.0028
2020-06-15 15:47:00,-0.002,0.0013,0.0033
2020-06-15 15:46:00,-0.0027,0.0011,0.0038
2020-06-15 15:45:00,-0.0042,0.0003,0.0045
2020-06-15 15:44:00,-0.0048,0.0008,0.0055
2020-06-15 15:43:00,-0.0053,0.0014,0.0067
2020-06-15 15:42:00,-0.0048,0.0032,0.008
2020-06-15 15:41:00,-0.0043,0.005,0.0093
2020-06-15 15:40:00,-0.0052,0.0051,0.0103
2020-06-15 15:39:00,-0.0054,0.0062,0.0116
2020-06-15 15:38:00,-0.0049,0.0081,0.013
2020-06-15 15:37:00,-0.0049,0.0093,0.0142
2020-06-15 15:36:00,-0.0026,0.0128,0.0154
2020-06-15 15:35:00,0.001,0.017,0.016
2020-06-15 15:34:00,0.0014,0.0172,0.0158
2020-06-15 15:33:00,0.0016,0.0171,0.0154
2020-06-15 15:32:00,0.0028,0.0179,0.015
2020-06-15 15:31:00,0.0031,0.0174,0.0143
2020-06-15 15:30:00,0.003,0.0166,0.0136
2020-06-15 15:29:00,0.0009,0.0137,0.0128
2020-06-15 15:28:00,-0.0007,0.0119,0.0126
2020-06-15 15:27:00,-0.0029,0.0099,0.0128
2020-06-15 15:26:00,-0.0037,0.0098,0.0135
2020-06-15 15:25:00,-0.0049,0.0095,0.0144
2020-06-15 15:24:00,-0.0031,0.0125,0.0156
2020-06-15 15:23:00,-0.0012,0.0153,0.0164
2020-06-15 15:22:00,0.0008,0.0175,0.0167
2020-06-15 15:21:00,0.0049,0.0215,0.0165
2020-06-15 15:20:00,0.006,0.0213,0.0153
2020-06-15 15:19:00,0.0082,0.022,0.0138
2020-06-15 15:18:00,0.0091,0.0208,0.0117
2020-06-15 15:17:00,0.0115,0.021,0.0095
2020-06-15 15:16:00,0.0123,0.0189,0.0066
2020-06-15 15:15:00,0.0135,0.017,0.0035
2020-06-15 15:14:00,0.0091,0.0092,0.0001
2020-06-15 15:13:00,0.0044,0.0022,-0.0021
2020-06-15 15:12:00,0.0036,0.0004,-0.0032
2020-06-15 15:11:00,0.0023,-0.0019,-0.0041
2020-06-15 15:10:00,0.0014,-0.0033,-0.0047
2020-06-15 15:09:00,0.0005,-0.0046,-0.0051
2020-06-15 15:08:00,0.0011,-0.0041,-0.0052
2020-06-15 15:07:00,0.0,-0.0054,-0.0054
2020-06-15 15:06:00,-0.0001,-0.0056,-0.0055
2020-06-15 15:05:00,-0.0007,-0.0062,-0.0054
2020-06-15 15:04:00,-0.0006,-0.0058,-0.0052
2020-06-15 15:03:00,-0.0012,-0.0063,-0.0051
2020-06-15 15:02:00,-0.001,-0.0058,-0.0048
2020-06-15 15:01:00,-0.0015,-0.0061,-0.0045
2020-06-15 15:00:00,-0.0012,-0.0054,-0.0042
2020-06-15 14:59:00,-0.0015,-0.0054,-0.0039
2020-06-15 14:58:00,-0.0019,-0.0053,-0.0035
2020-06-15 14:57:00,-0.0032,-0.0062,-0.003
2020-06-15 14:56:00,-0.0045,-0.0067,-0.0022
2020-06-15 14:55:00,-0.0051,-0.0062,-0.0011
2020-06-15 14:54:00,-0.0052,-0.005,0.0002
2020-06-15 14:53:00,-0.0049,-0.0034,0.0015
2020-06-15 14:52:00,-0.002,0.0007,0.0028
2020-06-15 14:51:00,-0.0014,0.0019,0.0033
2020-06-15 14:50:00,-0.0012,0.0024,0.0036
2020-06-15 14:49:00,-0.0009,0.003,0.0039
2020-06-15 14:48:00,0.0005,0.0047,0.0041
2020-06-15 14:47:00,0.0007,0.0047,0.004
2020-06-15 14:46:00,0.0009,0.0048,0.0038
2020-06-15 14:45:00,0.0009,0.0045,0.0036
2020-06-15 14:44:00,0.0009,0.0043,0.0034
2020-06-15 14:43:00,0.0009,0.0041,0.0031
2020-06-15 14:42:00,0.0028,0.0057,0.0029
