date,1. open,2. high,3. low,4. close,5. volume
2020-06-15 16:00:00,4.52,4.52,4.5,4.51,452715.0
2020-06-15 15:59:00,4.5299,4.53,4.5,4.52,398780.0
2020-06-15 15:58:00,4.5659,4.57,4.5,4.5266,513096.0
2020-06-15 15:57:00,4.59,4.59,4.56,4.56,156025.0
2020-06-15 15:56:00,4.5701,4.59,4.56,4.5898,136782.0
2020-06-15 15:55:00,4.615,4.62,4.56,4.58,234176.0
2020-06-15 15:54:00,4.61,4.62,4.61,4.6101,116814.0
2020-06-15 15:53:00,4.6037,4.64,4.6,4.6151,262083.0
2020-06-15 15:52:00,4.6,4.61,4.59,4.6002,116718.0
2020-06-15 15:51:00,4.595,4.6,4.59,4.6,86600.0
2020-06-15 15:50:00,4.6091,4.617,4.59,4.59,115340.0
2020-06-15 15:49:00,4.5901,4.62,4.59,4.61,69024.0
2020-06-15 15:48:00,4.61,4.61,4.59,4.5999,93010.0
2020-06-15 15:47:00,4.62,4.62,4.6,4.6098,88698.0
2020-06-15 15:46:00,4.605,4.62,4.6,4.615,53647.0
2020-06-15 15:45:00,4.605,4.62,4.6,4.6001,98449.0
2020-06-15 15:44:00,4.59,4.61,4.59,4.6,72518.0
2020-06-15 15:43:00,4.6,4.61,4.59,4.5901,70067.0
2020-06-15 15:42:00,4.615,4.62,4.58,4.595,87792.0
2020-06-15 15:41:00,4.605,4.62,4.6,4.615,44976.0
2020-06-15 15:40:00,4.595,4.62,4.58,4.605,87391.0
2020-06-15 15:39:00,4.605,4.61,4.58,4.6,99906.0
2020-06-15 15:38:00,4.5843,4.61,4.5799,4.6099,132304.0
2020-06-15 15:37:00,4.595,4.6,4.56,4.59,139441.0
2020-06-15 15:36:00,4.635,4.639,4.56,4.59,236032.0
2020-06-15 15:35:00,4.64,4.64,4.63,4.6385,57948.0
2020-06-15 15:34:00,4.625,4.64,4.62,4.64,77555.0
2020-06-15 15:33:00,4.64,4.65,4.62,4.6283,81962.0
2020-06-15 15:32:00,4.6301,4.65,4.63,4.64,79120.0
2020-06-15 15:31:00,4.655,4.66,4.63,4.64,241541.0
2020-06-15 15:30:00,4.635,4.66,4.63,4.655,218745.0
2020-06-15 15:29:00,4.6301,4.65,4.62,4.6352,151249.0
2020-06-15 15:28:00,4.61,4.64,4.6,4.6301,158482.0
2020-06-15 15:27:00,4.61,4.61,4.5908,4.6054,96384.0
2020-06-15 15:26:00,4.58,4.62,4.57,4.605,164196.0
