date,SMA
2020-06-10 09:39:00,5.139
2020-06-10 09:40:00,5.1425
2020-06-10 09:41:00,5.1337
2020-06-10 09:42:00,5.13
2020-06-10 09:43:00,5.1065
2020-06-10 09:44:00,5.1153
2020-06-10 09:45:00,5.109
2020-06-10 09:46:00,5.0678
2020-06-10 09:47:00,5.0392
2020-06-10 09:48:00,5.0279
2020-06-10 09:49:00,5.0087
2020-06-10 09:50:00,4.9999
2020-06-10 09:51:00,5.0034
2020-06-10 09:52:00,5.0036
2020-06-10 09:53:00,5.0064
2020-06-10 09:54:00,5.0539
2020-06-10 09:55:00,5.075
2020-06-10 09:56:00,5.0925
2020-06-10 09:57:00,5.1005
2020-06-10 09:58:00,5.1005
2020-06-10 09:59:00,5.0955
2020-06-10 10:00:00,5.0965
2020-06-10 10:01:00,5.0943
2020-06-10 10:02:00,5.0781
2020-06-10 10:03:00,5.0743
2020-06-10 10:04:00,5.0756
2020-06-10 10:05:00,5.0769
2020-06-10 10:06:00,5.0894
2020-06-10 10:07:00,5.0994
2020-06-10 10:08:00,5.1106
2020-06-10 10:09:00,5.1377
2020-06-10 10:10:00,5.1758
2020-06-10 10:11:00,5.2036
2020-06-10 10:12:00,5.2273
2020-06-10 10:13:00,5.2523
2020-06-10 10:14:00,5.2794
2020-06-10 10:15:00,5.2869
2020-06-10 10:16:00,5.2987
2020-06-10 10:17:00,5.2998
2020-06-10 10:18:00,5.2917
2020-06-10 10:19:00,5.2914
2020-06-10 10:20:00,5.2939
2020-06-10 10:21:00,5.2965
2020-06-10 10:22:00,5.3031
2020-06-10 10:23:00,5.3338
2020-06-10 10:24:00,5.3719
2020-06-10 10:25:00,5.4096
2020-06-10 10:26:00,5.4471
2020-06-10 10:27:00,5.4985
2020-06-10 10:28:00,5.5462
2020-06-10 10:29:00,5.5924
2020-06-10 10:30:00,5.6239
2020-06-10 10:31:00,5.6508
2020-06-10 10:32:00,5.647
2020-06-10 10:33:00,5.6339
2020-06-10 10:34:00,5.6141
2020-06-10 10:35:00,5.5839
2020-06-10 10:36:00,5.5675
2020-06-10 10:37:00,5.5307
2020-06-10 10:38:00,5.5092
2020-06-10 10:39:00,5.4842
2020-06-10 10:40:00,5.4625
2020-06-10 10:41:00,5.4529
2020-06-10 10:42:00,5.4489
2020-06-10 10:43:00,5.4477
2020-06-10 10:44:00,5.4346
2020-06-10 10:45:00,5.4364
2020-06-10 10:46:00,5.4302
2020-06-10 10:47:00,5.4252
2020-06-10 10:48:00,5.4344
2020-06-10 10:49:00,5.435
2020-06-10 10:50:00,5.4412
2020-06-10 10:51:00,5.445
2020-06-10 10:52:00,5.4569
2020-06-10 10:53:00,5.4788
2020-06-10 10:54:00,5.4953
2020-06-10 10:55:00,5.5086
2020-06-10 10:56:00,5.4973
2020-06-10 10:57:00,5.4954
2020-06-10 10:58:00,5.4979
2020-06-10 10:59:00,5.4892
2020-06-10 11:00:00,5.4755
2020-06-10 11:01:00,5.4435
2020-06-10 11:02:00,5.4246
2020-06-10 11:03:00,5.4038
2020-06-10 11:04:00,5.4038
2020-06-10 11:05:00,5.3653
2020-06-10 11:06:00,5.329
2020-06-10 11:07:00,5.294
2020-06-10 11:08:00,5.2677
2020-06-10 11:09:00,5.2566
2020-06-10 11:10:00,5.2362
2020-06-10 11:11:00,5.215
2020-06-10 11:12:00,5.195
2020-06-10 11:13:00,5.2035
2020-06-10 11:14:00,5.2025
2020-06-10 11:15:00,5.1988
2020-06-10 11:16:00,5.19
2020-06-10 11:17:00,5.1799
2020-06-10 11:18:00,5.1728
2020-06-10 11:19:00,5.1703
2020-06-10 11:20:00,5.1778
2020-06-10 11:21:00,5.179
2020-06-10 11:22:00,5.1814
2020-06-10 11:23:00,5.1876
2020-06-10 11:24:00,5.1926
2020-06-10 11:25:00,5.1926
2020-06-10 11:26:00,5.1901
2020-06-10 11:27:00,5.1814
2020-06-10 11:28:00,5.1647
2020-06-10 11:29:00,5.1547
2020-06-10 11:30:00,5.1458
2020-06-10 11:31:00,5.147
2020-06-10 11:32:00,5.1532
2020-06-10 11:33:00,5.157
2020-06-10 11:34:00,5.1645
2020-06-10 11:35:00,5.1757
2020-06-10 11:36:00,5.185
2020-06-10 11:37:00,5.1912
2020-06-10 11:38:00,5.1962
2020-06-10 11:39:00,5.1949
2020-06-10 11:40:00,5.1869
2020-06-10 11:41:00,5.1831
2020-06-10 11:42:00,5.1769
2020-06-10 11:43:00,5.1706
2020-06-10 11:44:00,5.1625
2020-06-10 11:45:00,5.16
2020-06-10 11:46:00,5.1576
2020-06-10 11:47:00,5.1493
2020-06-10 11:48:00,5.1424
2020-06-10 11:49:00,5.1324
2020-06-10 11:50:00,5.1148
2020-06-10 11:51:00,5.0975
2020-06-10 11:52:00,5.0782
