date,SlowK,SlowD
2020-06-15 16:00:00,16.6481,16.466
2020-06-15 15:59:00,12.9444,17.8333
2020-06-15 15:58:00,19.8055,24.9018
2020-06-15 15:57:00,20.75,31.1221
2020-06-15 15:56:00,34.1498,38.0276
2020-06-15 15:55:00,38.4664,39.7036
2020-06-15 15:54:00,41.4666,34.3629
2020-06-15 15:53:00,39.1777,31.6518
2020-06-15 15:52:00,22.4444,29.6666
2020-06-15 15:51:00,33.3333,40.5924
2020-06-15 15:50:00,33.2221,50.2034
2020-06-15 15:49:00,55.2219,61.7682
2020-06-15 15:48:00,62.1661,64.222
2020-06-15 15:47:00,67.9166,57.4444
2020-06-15 15:46:00,62.5833,47.3506
2020-06-15 15:45:00,41.8334,43.6642
2020-06-15 15:44:00,37.6352,50.418
2020-06-15 15:43:00,51.524,59.9428
2020-06-15 15:42:00,62.0948,61.5834
2020-06-15 15:41:00,66.2095,57.0749
2020-06-15 15:40:00,56.4458,49.3431
2020-06-15 15:39:00,48.5695,43.0743
2020-06-15 15:38:00,43.014,41.2827
2020-06-15 15:37:00,37.6393,39.9449
2020-06-15 15:36:00,43.1948,42.6671
2020-06-15 15:35:00,39.0005,45.8816
2020-06-15 15:34:00,45.8058,58.6826
2020-06-15 15:33:00,52.8386,70.8632
2020-06-15 15:32:00,77.4033,82.3394
2020-06-15 15:31:00,82.3477,83.5409
2020-06-15 15:30:00,87.2672,81.1817
2020-06-15 15:29:00,81.0079,69.2302
2020-06-15 15:28:00,75.2699,54.1006
2020-06-15 15:27:00,51.4129,38.4869
2020-06-15 15:26:00,35.6192,30.4233
2020-06-15 15:25:00,28.4287,31.4259
2020-06-15 15:24:00,27.2221,31.7876
2020-06-15 15:23:00,38.6269,35.5331
2020-06-15 15:22:00,29.5138,32.5729
2020-06-15 15:21:00,38.4585,37.4236
2020-06-15 15:20:00,29.7463,41.1089
2020-06-15 15:19:00,44.0658,54.7689
2020-06-15 15:18:00,49.5144,68.2854
2020-06-15 15:17:00,70.7265,81.4103
2020-06-15 15:16:00,84.6154,85.9829
2020-06-15 15:15:00,88.8889,84.537
2020-06-15 15:14:00,84.4444,85.3702
2020-06-15 15:13:00,80.2776,81.7592
2020-06-15 15:12:00,91.3887,80.926
2020-06-15 15:11:00,73.6112,73.7225
2020-06-15 15:10:00,77.778,79.7965
2020-06-15 15:09:00,69.7782,78.9816
2020-06-15 15:08:00,91.8334,79.7961
2020-06-15 15:07:00,75.3332,64.9535
2020-06-15 15:06:00,72.2218,55.5554
2020-06-15 15:05:00,47.3054,39.7871
2020-06-15 15:04:00,47.1389,35.1298
2020-06-15 15:03:00,24.917,30.5281
2020-06-15 15:02:00,33.3336,44.4168
2020-06-15 15:01:00,33.3336,57.7223
2020-06-15 15:00:00,66.5833,71.0276
2020-06-15 14:59:00,73.2499,65.8702
2020-06-15 14:58:00,73.2498,54.3979
2020-06-15 14:57:00,51.111,37.3702
2020-06-15 14:56:00,38.8331,24.0184
2020-06-15 14:55:00,22.1666,14.7406
2020-06-15 14:54:00,11.0555,13.796
2020-06-15 14:53:00,10.9997,16.5551
2020-06-15 14:52:00,19.3328,21.3836
2020-06-15 14:51:00,19.3328,27.3235
2020-06-15 14:50:00,25.4853,40.4855
2020-06-15 14:49:00,37.1522,52.546
2020-06-15 14:48:00,58.819,60.5842
2020-06-15 14:47:00,61.6669,56.0297
2020-06-15 14:46:00,61.2667,46.6093
2020-06-15 14:45:00,45.1556,33.0334
2020-06-15 14:44:00,33.4056,31.8427
2020-06-15 14:43:00,20.5391,37.3742
2020-06-15 14:42:00,41.5834,55.1353
2020-06-15 14:41:00,50.0001,65.3482
2020-06-15 14:40:00,73.8223,78.2554
2020-06-15 14:39:00,72.2221,84.1107
2020-06-15 14:38:00,88.7217,93.2773
2020-06-15 14:37:00,91.3883,91.4439
2020-06-15 14:36:00,99.7218,81.3143
2020-06-15 14:35:00,83.2217,61.0364
2020-06-15 14:34:00,60.9993,44.4067
2020-06-15 14:33:00,38.8881,34.5921
2020-06-15 14:32:00,33.3328,28.407
2020-06-15 14:31:00,31.5552,25.9812
2020-06-15 14:30:00,20.333,25.296
2020-06-15 14:29:00,26.0553,37.5738
2020-06-15 14:28:00,29.4996,45.8331
2020-06-15 14:27:00,57.1664,54.2777
2020-06-15 14:26:00,50.8332,52.6111
2020-06-15 14:25:00,54.8335,55.111
2020-06-15 14:24:00,52.1664,53.4719
2020-06-15 14:23:00,58.3331,46.633
2020-06-15 14:22:00,49.9162,36.6274
2020-06-15 14:21:00,31.6497,27.7886
2020-06-15 14:20:00,28.3164,25.0164
2020-06-15 14:19:00,23.3998,22.2442
2020-06-15 14:18:00,23.333,28.9108
2020-06-15 14:17:00,19.9996,40.0442
2020-06-15 14:16:00,43.3997,51.1998
2020-06-15 14:15:00,56.7331,48.8665
2020-06-15 14:14:00,53.4665,38.1998
2020-06-15 14:13:00,36.3999,33.7849
2020-06-15 14:12:00,24.7331,40.1215
2020-06-15 14:11:00,40.2218,53.1248
2020-06-15 14:10:00,55.4096,59.1133
2020-06-15 14:09:00,63.743,57.31
2020-06-15 14:08:00,58.1874,51.6178
2020-06-15 14:07:00,49.9995,53.3331
2020-06-15 14:06:00,46.6665,63.3111
2020-06-15 14:05:00,63.3333,71.8074
2020-06-15 14:04:00,79.9334,63.637
2020-06-15 14:03:00,72.1554,40.0789
2020-06-15 14:02:00,38.8221,19.7308
2020-06-15 14:01:00,9.2591,13.8271
2020-06-15 14:00:00,11.1111,23.2099
2020-06-15 13:59:00,21.1111,40.6174
2020-06-15 13:58:00,37.4075,60.0883
2020-06-15 13:57:00,63.3334,76.701
2020-06-15 13:56:00,79.5238,84.6719
2020-06-15 13:55:00,87.2459,89.6268
2020-06-15 13:54:00,87.2459,92.5449
2020-06-15 13:53:00,94.3887,95.463
2020-06-15 13:52:00,96.0001,93.8496
2020-06-15 13:51:00,96.0001,83.7732
2020-06-15 13:50:00,89.5487,69.3264
2020-06-15 13:49:00,65.7709,53.6248
2020-06-15 13:48:00,52.6595,49.5529
2020-06-15 13:47:00,42.444,50.5182
2020-06-15 13:46:00,53.5551,53.7777
2020-06-15 13:45:00,55.5555,47.7779
2020-06-15 13:44:00,52.2225,34.8149
2020-06-15 13:43:00,35.5558,22.1184
2020-06-15 13:42:00,16.6665,22.3663
2020-06-15 13:41:00,14.1329,35.2255
2020-06-15 13:40:00,36.2995,51.8108
2020-06-15 13:39:00,55.2442,62.5295
2020-06-15 13:38:00,63.8888,65.0629
2020-06-15 13:37:00,68.4555,59.6222
2020-06-15 13:36:00,62.8443,43.7667
2020-06-15 13:35:00,47.5667,27.4007
2020-06-15 13:34:00,20.8891,17.516
2020-06-15 13:33:00,13.7462,18.5887
2020-06-15 13:32:00,17.9127,21.6455
2020-06-15 13:31:00,24.1071,23.2995
2020-06-15 13:30:00,22.9166,25.1758
2020-06-15 13:29:00,22.8749,35.7823
2020-06-15 13:28:00,29.736,51.0462
2020-06-15 13:27:00,54.736,62.4583
2020-06-15 13:26:00,68.6668,58.8704
2020-06-15 13:25:00,63.9723,51.1362
2020-06-15 13:24:00,43.9722,49.1005
2020-06-15 13:23:00,45.464,57.6203
2020-06-15 13:22:00,57.8651,67.016
2020-06-15 13:21:00,69.5318,76.4498
2020-06-15 13:20:00,73.6509,78.1058
2020-06-15 13:19:00,86.1666,71.8888
2020-06-15 13:18:00,74.4999,53.1238
2020-06-15 13:17:00,54.9999,34.8508
2020-06-15 13:16:00,29.8716,24.4668
2020-06-15 13:15:00,19.6811,27.8047
2020-06-15 13:14:00,23.8478,41.0575
2020-06-15 13:13:00,39.8852,57.2395
2020-06-15 13:12:00,59.4394,65.5616
2020-06-15 13:11:00,72.3939,64.2333
2020-06-15 13:10:00,64.8515,50.102
2020-06-15 13:09:00,55.4545,34.7699
2020-06-15 13:08:00,29.9999,20.629
2020-06-15 13:07:00,18.8554,16.576
2020-06-15 13:06:00,13.0316,16.767
2020-06-15 13:05:00,17.8411,16.4073
2020-06-15 13:04:00,19.4284,21.1745
2020-06-15 13:03:00,11.9523,23.0317
2020-06-15 13:02:00,32.1428,27.3809
2020-06-15 13:01:00,25.0,20.3704
2020-06-15 13:00:00,25.0,18.3579
2020-06-15 12:59:00,11.1113,18.1973
2020-06-15 12:58:00,18.9625,18.9625
2020-06-15 12:57:00,24.5182,14.4936
2020-06-15 12:56:00,13.4069,6.3209
2020-06-15 12:55:00,5.5557,12.963
2020-06-15 12:54:00,0.0,27.6666
2020-06-15 12:53:00,33.3333,48.8518
2020-06-15 12:52:00,49.6666,53.1081
2020-06-15 12:51:00,63.5556,51.2534
2020-06-15 12:50:00,46.1022,44.3198
2020-06-15 12:49:00,44.1023,46.2441
2020-06-15 12:48:00,42.755,55.146
2020-06-15 12:47:00,51.875,68.4054
2020-06-15 12:46:00,70.8082,79.158
2020-06-15 12:45:00,82.533,83.6218
2020-06-15 12:44:00,84.1328,80.1491
2020-06-15 12:43:00,84.1996,69.654
2020-06-15 12:42:00,72.1148,50.8033
2020-06-15 12:41:00,52.6476,34.6982
2020-06-15 12:40:00,27.6476,24.2601
2020-06-15 12:39:00,23.7993,20.7664
2020-06-15 12:38:00,21.3333,24.1112
2020-06-15 12:37:00,17.1667,35.0558
2020-06-15 12:36:00,33.8336,47.3893
2020-06-15 12:35:00,54.1672,50.7505
2020-06-15 12:34:00,54.1672,50.1115
2020-06-15 12:33:00,43.9171,56.417
2020-06-15 12:32:00,52.2503,65.6669
2020-06-15 12:31:00,73.0837,65.4724
2020-06-15 12:30:00,71.6668,52.2223
2020-06-15 12:29:00,51.6667,38.7038
2020-06-15 12:28:00,33.3333,30.1854
2020-06-15 12:27:00,31.1114,25.5559
2020-06-15 12:26:00,26.1116,20.8568
2020-06-15 12:25:00,19.4448,15.0464
2020-06-15 12:24:00,17.0139,11.4583
2020-06-15 12:23:00,8.6804,11.0314
2020-06-15 12:22:00,8.6804,21.1602
2020-06-15 12:21:00,15.7333,42.4001
2020-06-15 12:20:00,39.0668,64.5403
2020-06-15 12:19:00,72.4001,76.2953
2020-06-15 12:18:00,82.1541,67.7889
2020-06-15 12:17:00,74.3318,49.4832
2020-06-15 12:16:00,46.8809,29.9895
2020-06-15 12:15:00,27.2368,21.852
2020-06-15 12:14:00,15.8507,25.026
2020-06-15 12:13:00,22.4686,40.1283
2020-06-15 12:12:00,36.7588,57.2706
2020-06-15 12:11:00,61.1576,71.5356
2020-06-15 12:10:00,73.8955,77.6994
2020-06-15 12:09:00,79.5538,81.2046
2020-06-15 12:08:00,79.649,81.1709
2020-06-15 12:07:00,84.411,78.2324
2020-06-15 12:06:00,79.4527,70.1804
2020-06-15 12:05:00,70.8336,61.5985
2020-06-15 12:04:00,60.2548,55.5722
2020-06-15 12:03:00,53.707,54.3761
2020-06-15 12:02:00,52.7547,56.1703
2020-06-15 12:01:00,56.6667,60.2661
2020-06-15 12:00:00,59.0895,63.2165
2020-06-15 11:59:00,65.042,67.5788
2020-06-15 11:58:00,65.5181,71.6235
2020-06-15 11:57:00,72.1763,77.4496
2020-06-15 11:56:00,77.1762,79.934
2020-06-15 11:55:00,82.9963,74.6407
2020-06-15 11:54:00,79.6296,61.2221
2020-06-15 11:53:00,61.2962,45.9628
2020-06-15 11:52:00,42.7406,35.3949
2020-06-15 11:51:00,33.8516,28.443
2020-06-15 11:50:00,29.5924,22.7808
2020-06-15 11:49:00,21.8851,16.0692
2020-06-15 11:48:00,16.865,10.8045
2020-06-15 11:47:00,9.4576,7.4051
