date,VWAP
2020-06-10 09:31:00,5.0282
2020-06-10 09:32:00,5.037
2020-06-10 09:34:00,5.0608
2020-06-10 09:35:00,5.068
2020-06-10 09:36:00,5.0692
2020-06-10 09:37:00,5.07
2020-06-10 09:38:00,5.0722
2020-06-10 09:39:00,5.0739
2020-06-10 09:40:00,5.074
2020-06-10 09:41:00,5.0749
2020-06-10 09:42:00,5.0757
2020-06-10 09:43:00,5.0764
2020-06-10 09:44:00,5.0764
2020-06-10 09:45:00,5.0764
2020-06-10 09:46:00,5.0701
2020-06-10 09:47:00,5.0663
2020-06-10 09:48:00,5.0648
2020-06-10 09:49:00,5.0644
2020-06-10 09:50:00,5.0641
2020-06-10 09:51:00,5.0643
2020-06-10 09:52:00,5.0656
2020-06-10 09:53:00,5.0664
2020-06-10 09:54:00,5.0678
2020-06-10 09:55:00,5.0688
2020-06-10 09:56:00,5.069
2020-06-10 09:57:00,5.0692
2020-06-10 09:58:00,5.069
2020-06-10 09:59:00,5.0687
2020-06-10 10:00:00,5.0689
2020-06-10 10:01:00,5.069
2020-06-10 10:02:00,5.069
2020-06-10 10:03:00,5.0691
2020-06-10 10:04:00,5.0693
2020-06-10 10:05:00,5.0695
2020-06-10 10:06:00,5.0696
2020-06-10 10:07:00,5.07
2020-06-10 10:08:00,5.0745
2020-06-10 10:09:00,5.0789
2020-06-10 10:10:00,5.0859
2020-06-10 10:11:00,5.0901
2020-06-10 10:12:00,5.0926
2020-06-10 10:13:00,5.0951
2020-06-10 10:14:00,5.0972
2020-06-10 10:15:00,5.0988
2020-06-10 10:16:00,5.1003
2020-06-10 10:17:00,5.1025
2020-06-10 10:18:00,5.1033
2020-06-10 10:19:00,5.1044
2020-06-10 10:20:00,5.1056
2020-06-10 10:21:00,5.1085
2020-06-10 10:22:00,5.1137
2020-06-10 10:23:00,5.12
2020-06-10 10:24:00,5.1351
2020-06-10 10:25:00,5.1544
2020-06-10 10:26:00,5.1646
2020-06-10 10:27:00,5.1788
2020-06-10 10:28:00,5.1987
2020-06-10 10:29:00,5.2093
2020-06-10 10:30:00,5.2152
2020-06-10 10:31:00,5.2197
2020-06-10 10:32:00,5.2236
2020-06-10 10:33:00,5.2276
2020-06-10 10:34:00,5.2322
2020-06-10 10:35:00,5.2342
2020-06-10 10:36:00,5.237
2020-06-10 10:37:00,5.2391
2020-06-10 10:38:00,5.2402
2020-06-10 10:39:00,5.2409
2020-06-10 10:40:00,5.2424
2020-06-10 10:41:00,5.2431
2020-06-10 10:42:00,5.2438
2020-06-10 10:43:00,5.2454
2020-06-10 10:44:00,5.246
2020-06-10 10:45:00,5.2465
2020-06-10 10:46:00,5.2474
2020-06-10 10:47:00,5.2481
2020-06-10 10:48:00,5.2486
2020-06-10 10:49:00,5.2489
2020-06-10 10:50:00,5.2494
2020-06-10 10:51:00,5.2519
2020-06-10 10:52:00,5.2551
2020-06-10 10:53:00,5.2579
2020-06-10 10:54:00,5.2619
2020-06-10 10:55:00,5.263
2020-06-10 10:56:00,5.2645
2020-06-10 10:57:00,5.2652
2020-06-10 10:58:00,5.266
