date,Aroon Up,Aroon Down
2020-06-15 16:00:00,100.0,20.0
2020-06-15 15:59:00,98.3333,21.6667
2020-06-15 15:58:00,100.0,23.3333
2020-06-15 15:57:00,98.3333,25.0
2020-06-15 15:56:00,100.0,26.6667
2020-06-15 15:55:00,100.0,28.3333
2020-06-15 15:54:00,100.0,30.0
2020-06-15 15:53:00,100.0,31.6667
2020-06-15 15:52:00,93.3333,33.3333
2020-06-15 15:51:00,95.0,0.0
2020-06-15 15:50:00,96.6667,0.0
2020-06-15 15:49:00,98.3333,1.6667
2020-06-15 15:48:00,0.0,3.3333
2020-06-15 15:47:00,1.6667,5.0
2020-06-15 15:46:00,3.3333,6.6667
2020-06-15 15:45:00,0.0,8.3333
2020-06-15 15:44:00,0.0,10.0
2020-06-15 15:43:00,0.0,11.6667
2020-06-15 15:42:00,1.6667,13.3333
2020-06-15 15:41:00,3.3333,15.0
2020-06-15 15:40:00,5.0,16.6667
2020-06-15 15:39:00,6.6667,18.3333
2020-06-15 15:38:00,8.3333,20.0
2020-06-15 15:37:00,10.0,21.6667
2020-06-15 15:36:00,11.6667,23.3333
2020-06-15 15:35:00,13.3333,25.0
2020-06-15 15:34:00,0.0,26.6667
2020-06-15 15:33:00,1.6667,28.3333
2020-06-15 15:32:00,0.0,30.0
2020-06-15 15:31:00,0.0,31.6667
2020-06-15 15:30:00,1.6667,33.3333
2020-06-15 15:29:00,3.3333,35.0
2020-06-15 15:28:00,5.0,36.6667
2020-06-15 15:27:00,0.0,38.3333
2020-06-15 15:26:00,0.0,40.0
2020-06-15 15:25:00,1.6667,41.6667
2020-06-15 15:24:00,3.3333,43.3333
2020-06-15 15:23:00,5.0,45.0
2020-06-15 15:22:00,6.6667,46.6667
2020-06-15 15:21:00,8.3333,48.3333
2020-06-15 15:20:00,10.0,50.0
2020-06-15 15:19:00,11.6667,51.6667
2020-06-15 15:18:00,13.3333,53.3333
2020-06-15 15:17:00,15.0,55.0
2020-06-15 15:16:00,16.6667,56.6667
2020-06-15 15:15:00,18.3333,58.3333
2020-06-15 15:14:00,20.0,60.0
2020-06-15 15:13:00,21.6667,61.6667
2020-06-15 15:12:00,23.3333,63.3333
2020-06-15 15:11:00,25.0,65.0
2020-06-15 15:10:00,0.0,66.6667
2020-06-15 15:09:00,1.6667,68.3333
2020-06-15 15:08:00,0.0,70.0
2020-06-15 15:07:00,0.0,71.6667
2020-06-15 15:06:00,0.0,73.3333
2020-06-15 15:05:00,1.6667,75.0
2020-06-15 15:04:00,3.3333,76.6667
2020-06-15 15:03:00,5.0,78.3333
2020-06-15 15:02:00,6.6667,80.0
2020-06-15 15:01:00,8.3333,81.6667
2020-06-15 15:00:00,10.0,83.3333
2020-06-15 14:59:00,11.6667,85.0
2020-06-15 14:58:00,13.3333,86.6667
2020-06-15 14:57:00,15.0,88.3333
2020-06-15 14:56:00,16.6667,90.0
2020-06-15 14:55:00,18.3333,91.6667
2020-06-15 14:54:00,20.0,93.3333
2020-06-15 14:53:00,21.6667,95.0
2020-06-15 14:52:00,23.3333,96.6667
2020-06-15 14:51:00,25.0,98.3333
2020-06-15 14:50:00,26.6667,100.0
2020-06-15 14:49:00,28.3333,100.0
2020-06-15 14:48:00,30.0,96.6667
2020-06-15 14:47:00,31.6667,98.3333
2020-06-15 14:46:00,33.3333,100.0
2020-06-15 14:45:00,35.0,10.0
2020-06-15 14:44:00,36.6667,11.6667
2020-06-15 14:43:00,38.3333,13.3333
2020-06-15 14:42:00,40.0,15.0
2020-06-15 14:41:00,41.6667,16.6667
2020-06-15 14:40:00,43.3333,18.3333
2020-06-15 14:39:00,45.0,20.0
2020-06-15 14:38:00,46.6667,21.6667
2020-06-15 14:37:00,48.3333,23.3333
2020-06-15 14:36:00,50.0,25.0
2020-06-15 14:35:00,51.6667,26.6667
2020-06-15 14:34:00,0.0,28.3333
2020-06-15 14:33:00,1.6667,30.0
2020-06-15 14:32:00,3.3333,31.6667
2020-06-15 14:31:00,0.0,33.3333
2020-06-15 14:30:00,0.0,35.0
2020-06-15 14:29:00,1.6667,36.6667
2020-06-15 14:28:00,3.3333,38.3333
2020-06-15 14:27:00,5.0,40.0
2020-06-15 14:26:00,6.6667,41.6667
2020-06-15 14:25:00,8.3333,43.3333
2020-06-15 14:24:00,10.0,45.0
2020-06-15 14:23:00,0.0,46.6667
2020-06-15 14:22:00,1.6667,48.3333
2020-06-15 14:21:00,0.0,50.0
2020-06-15 14:20:00,1.6667,51.6667
2020-06-15 14:19:00,3.3333,53.3333
2020-06-15 14:18:00,5.0,55.0
2020-06-15 14:17:00,6.6667,56.6667
2020-06-15 14:16:00,8.3333,58.3333
2020-06-15 14:15:00,10.0,60.0
2020-06-15 14:14:00,11.6667,61.6667
2020-06-15 14:13:00,13.3333,63.3333
2020-06-15 14:12:00,15.0,65.0
2020-06-15 14:11:00,16.6667,66.6667
2020-06-15 14:10:00,18.3333,68.3333
2020-06-15 14:09:00,20.0,70.0
2020-06-15 14:08:00,21.6667,71.6667
2020-06-15 14:07:00,23.3333,73.3333
2020-06-15 14:06:00,25.0,75.0
2020-06-15 14:05:00,26.6667,76.6667
2020-06-15 14:04:00,28.3333,78.3333
2020-06-15 14:03:00,30.0,80.0
2020-06-15 14:02:00,31.6667,81.6667
2020-06-15 14:01:00,33.3333,83.3333
2020-06-15 14:00:00,35.0,85.0
2020-06-15 13:59:00,36.6667,86.6667
2020-06-15 13:58:00,38.3333,88.3333
2020-06-15 13:57:00,40.0,90.0
2020-06-15 13:56:00,41.6667,91.6667
2020-06-15 13:55:00,43.3333,93.3333
2020-06-15 13:54:00,45.0,95.0
2020-06-15 13:53:00,46.6667,96.6667
2020-06-15 13:52:00,48.3333,98.3333
2020-06-15 13:51:00,50.0,100.0
2020-06-15 13:50:00,51.6667,93.3333
2020-06-15 13:49:00,53.3333,95.0
2020-06-15 13:48:00,55.0,96.6667
2020-06-15 13:47:00,56.6667,98.3333
2020-06-15 13:46:00,58.3333,100.0
2020-06-15 13:45:00,60.0,91.6667
2020-06-15 13:44:00,61.6667,93.3333
2020-06-15 13:43:00,63.3333,95.0
2020-06-15 13:42:00,65.0,96.6667
2020-06-15 13:41:00,66.6667,98.3333
2020-06-15 13:40:00,68.3333,100.0
2020-06-15 13:39:00,70.0,100.0
2020-06-15 13:38:00,71.6667,0.0
2020-06-15 13:37:00,73.3333,1.6667
2020-06-15 13:36:00,75.0,3.3333
2020-06-15 13:35:00,76.6667,5.0
2020-06-15 13:34:00,78.3333,6.6667
2020-06-15 13:33:00,80.0,8.3333
2020-06-15 13:32:00,81.6667,10.0
2020-06-15 13:31:00,83.3333,11.6667
2020-06-15 13:30:00,85.0,13.3333
2020-06-15 13:29:00,86.6667,15.0
2020-06-15 13:28:00,88.3333,16.6667
2020-06-15 13:27:00,90.0,0.0
2020-06-15 13:26:00,91.6667,1.6667
2020-06-15 13:25:00,93.3333,3.3333
2020-06-15 13:24:00,95.0,5.0
2020-06-15 13:23:00,96.6667,6.6667
2020-06-15 13:22:00,98.3333,8.3333
2020-06-15 13:21:00,100.0,10.0
2020-06-15 13:20:00,98.3333,11.6667
2020-06-15 13:19:00,100.0,13.3333
2020-06-15 13:18:00,100.0,15.0
2020-06-15 13:17:00,100.0,16.6667
2020-06-15 13:16:00,100.0,18.3333
2020-06-15 13:15:00,98.3333,20.0
2020-06-15 13:14:00,100.0,21.6667
2020-06-15 13:13:00,100.0,23.3333
2020-06-15 13:12:00,100.0,25.0
2020-06-15 13:11:00,100.0,0.0
2020-06-15 13:10:00,100.0,0.0
2020-06-15 13:09:00,88.3333,1.6667
2020-06-15 13:08:00,90.0,3.3333
2020-06-15 13:07:00,91.6667,5.0
2020-06-15 13:06:00,93.3333,6.6667
2020-06-15 13:05:00,95.0,8.3333
2020-06-15 13:04:00,96.6667,10.0
2020-06-15 13:03:00,98.3333,11.6667
2020-06-15 13:02:00,100.0,13.3333
2020-06-15 13:01:00,96.6667,15.0
2020-06-15 13:00:00,98.3333,16.6667
2020-06-15 12:59:00,100.0,18.3333
2020-06-15 12:58:00,100.0,20.0
2020-06-15 12:57:00,100.0,21.6667
2020-06-15 12:56:00,100.0,23.3333
2020-06-15 12:55:00,100.0,25.0
2020-06-15 12:54:00,100.0,26.6667
2020-06-15 12:53:00,100.0,28.3333
2020-06-15 12:52:00,100.0,30.0
2020-06-15 12:51:00,35.0,0.0
2020-06-15 12:50:00,36.6667,1.6667
2020-06-15 12:49:00,38.3333,3.3333
2020-06-15 12:48:00,40.0,5.0
2020-06-15 12:47:00,0.0,6.6667
2020-06-15 12:46:00,1.6667,8.3333
2020-06-15 12:45:00,3.3333,10.0
2020-06-15 12:44:00,5.0,11.6667
2020-06-15 12:43:00,6.6667,13.3333
2020-06-15 12:42:00,8.3333,15.0
2020-06-15 12:41:00,10.0,16.6667
2020-06-15 12:40:00,11.6667,18.3333
2020-06-15 12:39:00,13.3333,20.0
2020-06-15 12:38:00,15.0,21.6667
2020-06-15 12:37:00,16.6667,23.3333
2020-06-15 12:36:00,18.3333,25.0
2020-06-15 12:35:00,20.0,26.6667
2020-06-15 12:34:00,21.6667,28.3333
2020-06-15 12:33:00,23.3333,30.0
2020-06-15 12:32:00,25.0,31.6667
2020-06-15 12:31:00,26.6667,33.3333
2020-06-15 12:30:00,28.3333,35.0
2020-06-15 12:29:00,30.0,36.6667
2020-06-15 12:28:00,31.6667,38.3333
2020-06-15 12:27:00,33.3333,40.0
2020-06-15 12:26:00,35.0,41.6667
2020-06-15 12:25:00,36.6667,43.3333
2020-06-15 12:24:00,38.3333,0.0
2020-06-15 12:23:00,40.0,1.6667
2020-06-15 12:22:00,41.6667,3.3333
2020-06-15 12:21:00,43.3333,5.0
2020-06-15 12:20:00,45.0,6.6667
2020-06-15 12:19:00,46.6667,8.3333
2020-06-15 12:18:00,48.3333,10.0
2020-06-15 12:17:00,50.0,11.6667
2020-06-15 12:16:00,51.6667,13.3333
2020-06-15 12:15:00,53.3333,15.0
2020-06-15 12:14:00,55.0,16.6667
2020-06-15 12:13:00,56.6667,18.3333
2020-06-15 12:12:00,58.3333,20.0
2020-06-15 12:11:00,60.0,21.6667
2020-06-15 12:10:00,61.6667,0.0
2020-06-15 12:09:00,63.3333,0.0
2020-06-15 12:08:00,65.0,0.0
2020-06-15 12:07:00,66.6667,0.0
2020-06-15 12:06:00,68.3333,1.6667
2020-06-15 12:05:00,70.0,3.3333
2020-06-15 12:04:00,71.6667,0.0
2020-06-15 12:03:00,73.3333,0.0
2020-06-15 12:02:00,75.0,0.0
2020-06-15 12:01:00,76.6667,0.0
2020-06-15 12:00:00,78.3333,0.0
2020-06-15 11:59:00,80.0,1.6667
2020-06-15 11:58:00,81.6667,3.3333
2020-06-15 11:57:00,83.3333,5.0
2020-06-15 11:56:00,85.0,6.6667
2020-06-15 11:55:00,86.6667,8.3333
2020-06-15 11:54:00,88.3333,10.0
2020-06-15 11:53:00,90.0,11.6667
2020-06-15 11:52:00,91.6667,13.3333
2020-06-15 11:51:00,93.3333,15.0
2020-06-15 11:50:00,95.0,16.6667
2020-06-15 11:49:00,96.6667,18.3333
2020-06-15 11:48:00,98.3333,20.0
2020-06-15 11:47:00,100.0,21.6667
2020-06-15 11:46:00,68.3333,23.3333
2020-06-15 11:45:00,70.0,25.0
2020-06-15 11:44:00,71.6667,26.6667
2020-06-15 11:43:00,73.3333,28.3333
2020-06-15 11:42:00,75.0,30.0
2020-06-15 11:41:00,76.6667,31.6667
2020-06-15 11:40:00,78.3333,33.3333
2020-06-15 11:39:00,80.0,35.0
2020-06-15 11:38:00,81.6667,36.6667
2020-06-15 11:37:00,83.3333,38.3333
2020-06-15 11:36:00,85.0,40.0
2020-06-15 11:35:00,86.6667,41.6667
2020-06-15 11:34:00,88.3333,43.3333
2020-06-15 11:33:00,90.0,45.0
2020-06-15 11:32:00,91.6667,46.6667
2020-06-15 11:31:00,0.0,48.3333
2020-06-15 11:30:00,1.6667,50.0
2020-06-15 11:29:00,3.3333,51.6667
2020-06-15 11:28:00,5.0,53.3333
2020-06-15 11:27:00,6.6667,55.0
2020-06-15 11:26:00,8.3333,56.6667
2020-06-15 11:25:00,10.0,58.3333
2020-06-15 11:24:00,11.6667,60.0
2020-06-15 11:23:00,13.3333,61.6667
2020-06-15 11:22:00,15.0,63.3333
2020-06-15 11:21:00,16.6667,65.0
2020-06-15 11:20:00,18.3333,66.6667
2020-06-15 11:19:00,20.0,68.3333
2020-06-15 11:18:00,21.6667,70.0
2020-06-15 11:17:00,23.3333,71.6667
2020-06-15 11:16:00,25.0,73.3333
2020-06-15 11:15:00,26.6667,0.0
2020-06-15 11:14:00,28.3333,0.0
2020-06-15 11:13:00,30.0,0.0
2020-06-15 11:12:00,31.6667,0.0
2020-06-15 11:11:00,33.3333,0.0
2020-06-15 11:10:00,35.0,0.0
2020-06-15 11:09:00,36.6667,0.0
2020-06-15 11:08:00,38.3333,1.6667
2020-06-15 11:07:00,40.0,3.3333
2020-06-15 11:06:00,41.6667,5.0
2020-06-15 11:05:00,43.3333,6.6667
2020-06-15 11:04:00,45.0,8.3333
2020-06-15 11:03:00,46.6667,10.0
2020-06-15 11:02:00,48.3333,0.0
2020-06-15 11:01:00,50.0,1.6667
2020-06-15 11:00:00,51.6667,3.3333
2020-06-15 10:59:00,53.3333,5.0
2020-06-15 10:58:00,55.0,6.6667
2020-06-15 10:57:00,56.6667,8.3333
2020-06-15 10:56:00,58.3333,10.0
2020-06-15 10:55:00,60.0,11.6667
2020-06-15 10:54:00,61.6667,13.3333
2020-06-15 10:53:00,63.3333,15.0
2020-06-15 10:52:00,65.0,16.6667
2020-06-15 10:51:00,66.6667,18.3333
2020-06-15 10:50:00,68.3333,20.0
2020-06-15 10:49:00,70.0,21.6667
2020-06-15 10:48:00,71.6667,23.3333
2020-06-15 10:47:00,73.3333,25.0
2020-06-15 10:45:00,75.0,26.6667
2020-06-15 10:44:00,76.6667,28.3333
2020-06-15 10:43:00,78.3333,30.0
2020-06-15 10:42:00,80.0,31.6667
2020-06-15 10:41:00,81.6667,33.3333
2020-06-15 10:40:00,83.3333,35.0
2020-06-15 10:39:00,85.0,36.6667
2020-06-15 10:38:00,86.6667,0.0
2020-06-15 10:36:00,88.3333,0.0
2020-06-15 10:35:00,90.0,1.6667
2020-06-15 10:34:00,91.6667,3.3333
2020-06-15 10:33:00,93.3333,5.0
2020-06-15 10:32:00,95.0,0.0
2020-06-15 10:31:00,96.6667,1.6667
2020-06-15 10:30:00,98.3333,3.3333
2020-06-15 10:29:00,100.0,5.0
2020-06-15 10:28:00,100.0,6.6667
2020-06-15 10:27:00,83.3333,8.3333
2020-06-15 10:26:00,85.0,10.0
2020-06-15 10:25:00,86.6667,11.6667
2020-06-15 10:24:00,88.3333,13.3333
2020-06-15 10:23:00,90.0,15.0
2020-06-15 10:22:00,91.6667,16.6667
2020-06-15 10:21:00,93.3333,18.3333
2020-06-15 10:20:00,95.0,20.0
2020-06-15 10:19:00,96.6667,21.6667
2020-06-15 10:18:00,98.3333,23.3333
2020-06-15 10:17:00,100.0,25.0
2020-06-15 10:16:00,98.3333,26.6667
2020-06-15 10:15:00,100.0,28.3333
2020-06-15 10:14:00,100.0,30.0
2020-06-15 10:13:00,98.3333,31.6667
2020-06-15 10:12:00,100.0,33.3333
2020-06-15 10:11:00,21.6667,35.0
2020-06-15 10:10:00,23.3333,36.6667
2020-06-15 10:09:00,25.0,38.3333
2020-06-15 10:08:00,26.6667,40.0
2020-06-15 10:07:00,28.3333,41.6667
2020-06-15 10:06:00,30.0,43.3333
2020-06-15 10:05:00,31.6667,45.0
2020-06-15 10:04:00,33.3333,46.6667
2020-06-15 10:03:00,35.0,48.3333
2020-06-15 10:02:00,36.6667,50.0
2020-06-15 10:01:00,38.3333,51.6667
2020-06-15 10:00:00,40.0,53.3333
2020-06-15 09:59:00,41.6667,55.0
2020-06-15 09:58:00,43.3333,56.6667
2020-06-15 09:57:00,45.0,58.3333
2020-06-15 09:56:00,46.6667,60.0
2020-06-15 09:55:00,48.3333,61.6667
2020-06-15 09:54:00,50.0,63.3333
2020-06-15 09:53:00,51.6667,65.0
2020-06-15 09:52:00,53.3333,66.6667
2020-06-15 09:51:00,55.0,68.3333
2020-06-15 09:50:00,56.6667,70.0
2020-06-15 09:49:00,58.3333,71.6667
2020-06-15 09:48:00,60.0,73.3333
2020-06-15 09:47:00,61.6667,75.0
2020-06-15 09:46:00,63.3333,76.6667
2020-06-15 09:45:00,65.0,78.3333
2020-06-15 09:44:00,66.6667,80.0
2020-06-15 09:43:00,68.3333,81.6667
2020-06-15 09:42:00,70.0,83.3333
2020-06-15 09:41:00,71.6667,85.0
2020-06-15 09:40:00,73.3333,86.6667
2020-06-15 09:39:00,75.0,88.3333
2020-06-15 09:38:00,76.6667,90.0
2020-06-15 09:37:00,78.3333,91.6667
2020-06-15 09:36:00,80.0,93.3333
2020-06-15 09:35:00,81.6667,95.0
2020-06-15 09:34:00,83.3333,96.6667
2020-06-15 09:33:00,85.0,98.3333
2020-06-15 09:32:00,86.6667,100.0
2020-06-15 09:31:00,88.3333,100.0
2020-06-12 16:00:00,90.0,0.0
2020-06-12 15:59:00,91.6667,0.0
2020-06-12 15:58:00,93.3333,0.0
2020-06-12 15:57:00,95.0,1.6667
2020-06-12 15:56:00,96.6667,0.0
2020-06-12 15:55:00,98.3333,0.0
2020-06-12 15:54:00,100.0,1.6667
2020-06-12 15:53:00,100.0,3.3333
2020-06-12 15:52:00,100.0,5.0
2020-06-12 15:51:00,100.0,6.6667
2020-06-12 15:50:00,96.6667,8.3333
2020-06-12 15:49:00,98.3333,10.0
2020-06-12 15:48:00,100.0,11.6667
2020-06-12 15:47:00,95.0,13.3333
2020-06-12 15:46:00,96.6667,15.0
2020-06-12 15:45:00,98.3333,16.6667
2020-06-12 15:44:00,100.0,0.0
2020-06-12 15:43:00,100.0,1.6667
2020-06-12 15:42:00,100.0,0.0
2020-06-12 15:41:00,100.0,1.6667
2020-06-12 15:40:00,100.0,3.3333
2020-06-12 15:39:00,100.0,5.0
2020-06-12 15:38:00,100.0,6.6667
2020-06-12 15:37:00,81.6667,8.3333
