date,Real Middle Band,Real Upper Band,Real Lower Band
2020-06-15 16:00:00,4.0109,4.0706,3.9511
2020-06-15 15:59:00,4.01,4.0695,3.9506
2020-06-15 15:58:00,4.0092,4.0689,3.9495
2020-06-15 15:57:00,4.0079,4.0647,3.951
2020-06-15 15:56:00,4.0059,4.0623,3.9495
2020-06-15 15:55:00,4.0048,4.0583,3.9513
2020-06-15 15:54:00,4.0036,4.0534,3.9538
2020-06-15 15:53:00,4.0026,4.0476,3.9576
2020-06-15 15:52:00,4.0016,4.0434,3.9598
2020-06-15 15:51:00,4.0008,4.0417,3.96
2020-06-15 15:50:00,4.0003,4.0414,3.9592
2020-06-15 15:49:00,3.9985,4.0467,3.9503
2020-06-15 15:48:00,3.9977,4.0456,3.9498
2020-06-15 15:47:00,3.9977,4.0456,3.9498
2020-06-15 15:46:00,3.9986,4.0483,3.9488
2020-06-15 15:45:00,3.9987,4.0488,3.9486
2020-06-15 15:44:00,3.9996,4.0532,3.9459
2020-06-15 15:43:00,4.0007,4.0596,3.9418
2020-06-15 15:42:00,4.0025,4.0674,3.9376
2020-06-15 15:41:00,4.0037,4.0726,3.9349
2020-06-15 15:40:00,4.0058,4.0808,3.9308
2020-06-15 15:39:00,4.0075,4.0862,3.9287
2020-06-15 15:38:00,4.009,4.0897,3.9282
2020-06-15 15:37:00,4.0108,4.0938,3.9278
2020-06-15 15:36:00,4.0131,4.1003,3.9259
2020-06-15 15:35:00,4.0156,4.1063,3.925
2020-06-15 15:34:00,4.0174,4.11,3.9248
2020-06-15 15:33:00,4.0199,4.1174,3.9224
2020-06-15 15:32:00,4.0214,4.1198,3.923
2020-06-15 15:31:00,4.0234,4.124,3.9228
2020-06-15 15:30:00,4.0266,4.1332,3.9199
2020-06-15 15:29:00,4.0297,4.1407,3.9187
2020-06-15 15:28:00,4.0329,4.1477,3.9181
2020-06-15 15:27:00,4.0357,4.1544,3.917
2020-06-15 15:26:00,4.0384,4.1618,3.915
2020-06-15 15:25:00,4.0419,4.1735,3.9103
2020-06-15 15:24:00,4.0447,4.1803,3.909
2020-06-15 15:23:00,4.0475,4.1855,3.9095
2020-06-15 15:22:00,4.0496,4.1899,3.9092
2020-06-15 15:21:00,4.052,4.1962,3.9078
2020-06-15 15:20:00,4.0545,4.2022,3.9068
2020-06-15 15:19:00,4.0567,4.207,3.9065
2020-06-15 15:18:00,4.059,4.2104,3.9076
2020-06-15 15:17:00,4.061,4.2135,3.9085
2020-06-15 15:16:00,4.0635,4.2181,3.9089
2020-06-15 15:15:00,4.066,4.2226,3.9094
2020-06-15 15:14:00,4.0685,4.2256,3.9114
2020-06-15 15:13:00,4.0715,4.2293,3.9137
2020-06-15 15:12:00,4.0743,4.2323,3.9164
2020-06-15 15:11:00,4.0778,4.2348,3.9208
2020-06-15 15:10:00,4.0815,4.2385,3.9245
2020-06-15 15:09:00,4.0853,4.2426,3.9281
2020-06-15 15:08:00,4.0884,4.2457,3.931
2020-06-15 15:07:00,4.0913,4.2488,3.9338
2020-06-15 15:06:00,4.095,4.2531,3.9368
2020-06-15 15:05:00,4.0989,4.2605,3.9372
2020-06-15 15:04:00,4.1022,4.2655,3.9389
2020-06-15 15:03:00,4.1053,4.2703,3.9404
2020-06-15 15:02:00,4.109,4.2724,3.9456
2020-06-15 15:01:00,4.1128,4.2766,3.949
2020-06-15 15:00:00,4.1159,4.2769,3.955
2020-06-15 14:59:00,4.1186,4.2764,3.9608
2020-06-15 14:58:00,4.1213,4.275,3.9676
2020-06-15 14:57:00,4.1236,4.2741,3.9732
2020-06-15 14:56:00,4.1271,4.2709,3.9834
2020-06-15 14:55:00,4.1295,4.2701,3.9888
2020-06-15 14:54:00,4.1318,4.269,3.9946
2020-06-15 14:53:00,4.1341,4.2691,3.9992
2020-06-15 14:52:00,4.136,4.2669,4.0052
2020-06-15 14:51:00,4.1378,4.2635,4.0121
2020-06-15 14:50:00,4.1395,4.2592,4.0197
2020-06-15 14:49:00,4.1426,4.246,4.0392
2020-06-15 14:48:00,4.1446,4.2396,4.0496
2020-06-15 14:47:00,4.1458,4.2373,4.0543
2020-06-15 14:46:00,4.1468,4.2353,4.0582
2020-06-15 14:45:00,4.148,4.232,4.064
2020-06-15 14:44:00,4.1487,4.2311,4.0662
2020-06-15 14:43:00,4.149,4.2308,4.0673
2020-06-15 14:42:00,4.15,4.2311,4.0689
2020-06-15 14:41:00,4.1509,4.2307,4.0712
2020-06-15 14:40:00,4.1517,4.2311,4.0722
2020-06-15 14:39:00,4.1533,4.2326,4.0741
2020-06-15 14:38:00,4.1537,4.2318,4.0755
2020-06-15 14:37:00,4.1553,4.2322,4.0784
2020-06-15 14:36:00,4.1573,4.2363,4.0783
2020-06-15 14:35:00,4.1589,4.2389,4.0789
2020-06-15 14:34:00,4.161,4.2407,4.0813
2020-06-15 14:33:00,4.1628,4.2456,4.0801
2020-06-15 14:32:00,4.166,4.2503,4.0817
2020-06-15 14:31:00,4.1687,4.2558,4.0815
2020-06-15 14:30:00,4.1702,4.2604,4.08
2020-06-15 14:29:00,4.1725,4.2686,4.0764
2020-06-15 14:28:00,4.1744,4.274,4.0749
2020-06-15 14:27:00,4.1761,4.2779,4.0742
2020-06-15 14:26:00,4.1777,4.2822,4.0732
2020-06-15 14:25:00,4.1782,4.2838,4.0726
2020-06-15 14:24:00,4.1793,4.2861,4.0725
2020-06-15 14:23:00,4.1813,4.291,4.0716
2020-06-15 14:22:00,4.1835,4.2957,4.0712
2020-06-15 14:21:00,4.1863,4.3064,4.0663
2020-06-15 14:20:00,4.1888,4.3145,4.0632
2020-06-15 14:19:00,4.1913,4.3206,4.0619
2020-06-15 14:18:00,4.1946,4.329,4.0601
2020-06-15 14:17:00,4.1985,4.34,4.0571
2020-06-15 14:16:00,4.2018,4.3496,4.054
2020-06-15 14:15:00,4.204,4.3537,4.0543
2020-06-15 14:14:00,4.2062,4.3564,4.0559
2020-06-15 14:13:00,4.2074,4.3578,4.0571
2020-06-15 14:12:00,4.2094,4.3604,4.0585
