date,CCI
2020-06-10 10:31:00,-105.9598
2020-06-10 10:32:00,-89.0792
2020-06-10 10:33:00,-105.0106
2020-06-10 10:34:00,-97.1206
2020-06-10 10:35:00,-83.8487
2020-06-10 10:36:00,-80.3373
2020-06-10 10:37:00,-73.0782
2020-06-10 10:38:00,-74.7478
2020-06-10 10:39:00,-49.3685
2020-06-10 10:40:00,-34.0743
2020-06-10 10:41:00,-25.1274
2020-06-10 10:42:00,-19.5495
2020-06-10 10:43:00,-33.9596
2020-06-10 10:44:00,-31.6571
2020-06-10 10:45:00,-32.018
2020-06-10 10:46:00,-31.7337
2020-06-10 10:47:00,-30.0417
2020-06-10 10:48:00,-47.89
2020-06-10 10:49:00,-54.4397
2020-06-10 10:50:00,-51.4915
2020-06-10 10:51:00,-53.4222
2020-06-10 10:52:00,-52.1826
2020-06-10 10:53:00,-50.9255
2020-06-10 10:54:00,-53.5808
2020-06-10 10:55:00,-50.1151
2020-06-10 10:56:00,-38.5532
2020-06-10 10:57:00,-28.2724
2020-06-10 10:58:00,-13.9253
2020-06-10 10:59:00,7.7283
2020-06-10 11:00:00,11.1683
2020-06-10 11:01:00,23.5912
2020-06-10 11:02:00,31.2583
2020-06-10 11:03:00,24.4584
2020-06-10 11:04:00,9.2403
2020-06-10 11:05:00,-2.883
2020-06-10 11:06:00,-6.1491
2020-06-10 11:07:00,18.9285
2020-06-10 11:08:00,1.4215
2020-06-10 11:09:00,8.3324
2020-06-10 11:10:00,0.8328
2020-06-10 11:11:00,-3.0516
2020-06-10 11:12:00,0.2767
2020-06-10 11:13:00,-13.0999
2020-06-10 11:14:00,-9.2725
2020-06-10 11:15:00,50.0436
2020-06-10 11:16:00,131.8005
2020-06-10 11:17:00,161.0131
2020-06-10 11:18:00,181.5456
2020-06-10 11:19:00,190.182
2020-06-10 11:20:00,175.8338
2020-06-10 11:21:00,171.852
2020-06-10 11:22:00,169.7727
2020-06-10 11:23:00,132.2055
2020-06-10 11:24:00,109.7285
2020-06-10 11:25:00,61.8524
2020-06-10 11:26:00,50.8756
2020-06-10 11:27:00,53.4355
2020-06-10 11:28:00,80.807
2020-06-10 11:29:00,105.7488
2020-06-10 11:30:00,118.9687
2020-06-10 11:31:00,107.3797
2020-06-10 11:32:00,104.7093
2020-06-10 11:33:00,90.2326
2020-06-10 11:34:00,107.1451
2020-06-10 11:35:00,104.5433
2020-06-10 11:36:00,85.3139
2020-06-10 11:37:00,78.8088
2020-06-10 11:38:00,55.1915
2020-06-10 11:39:00,48.8009
2020-06-10 11:40:00,48.1715
2020-06-10 11:41:00,61.5563
2020-06-10 11:42:00,74.5957
2020-06-10 11:43:00,70.2547
2020-06-10 11:44:00,59.995
2020-06-10 11:45:00,53.2207
2020-06-10 11:46:00,53.1224
2020-06-10 11:47:00,59.8138
2020-06-10 11:48:00,53.106
2020-06-10 11:49:00,56.2971
2020-06-10 11:50:00,73.6843
2020-06-10 11:51:00,125.3691
2020-06-10 11:52:00,154.7035
2020-06-10 11:53:00,150.8695
2020-06-10 11:54:00,158.1055
2020-06-10 11:55:00,175.9315
2020-06-10 11:56:00,265.0301
2020-06-10 11:57:00,329.8227
2020-06-10 11:58:00,339.6707
2020-06-10 11:59:00,302.6038
2020-06-10 12:00:00,231.4015
2020-06-10 12:01:00,170.0989
2020-06-10 12:02:00,184.1073
2020-06-10 12:03:00,205.8577
2020-06-10 12:04:00,198.9549
2020-06-10 12:05:00,195.453
2020-06-10 12:06:00,141.598
2020-06-10 12:07:00,130.2542
2020-06-10 12:08:00,117.5039
2020-06-10 12:09:00,104.6836
2020-06-10 12:10:00,93.5293
2020-06-10 12:11:00,56.2334
2020-06-10 12:12:00,8.5634
2020-06-10 12:13:00,10.6183
2020-06-10 12:14:00,32.2673
2020-06-10 12:15:00,56.7577
2020-06-10 12:16:00,18.7031
2020-06-10 12:17:00,19.1901
2020-06-10 12:18:00,19.2724
2020-06-10 12:19:00,12.3994
2020-06-10 12:20:00,30.1386
2020-06-10 12:21:00,47.3441
2020-06-10 12:22:00,47.4774
2020-06-10 12:23:00,64.613
2020-06-10 12:24:00,69.9923
2020-06-10 12:25:00,70.9318
2020-06-10 12:26:00,75.3659
2020-06-10 12:27:00,47.4419
2020-06-10 12:28:00,43.8163
2020-06-10 12:29:00,62.5432
2020-06-10 12:30:00,74.4359
2020-06-10 12:31:00,82.2708
2020-06-10 12:32:00,62.4125
2020-06-10 12:33:00,37.276
2020-06-10 12:34:00,28.7991
2020-06-10 12:35:00,-2.0263
2020-06-10 12:36:00,1.6617
2020-06-10 12:37:00,-31.0331
2020-06-10 12:38:00,-37.4872
2020-06-10 12:39:00,-48.2842
2020-06-10 12:40:00,-77.6859
2020-06-10 12:41:00,-76.1279
2020-06-10 12:42:00,-63.0827
2020-06-10 12:43:00,-49.4278
2020-06-10 12:44:00,-48.8253
2020-06-10 12:45:00,-31.0229
2020-06-10 12:46:00,-67.7959
2020-06-10 12:47:00,-63.0369
2020-06-10 12:48:00,-64.8659
2020-06-10 12:49:00,-70.9156
2020-06-10 12:50:00,-71.3463
2020-06-10 12:51:00,-78.3624
2020-06-10 12:52:00,-78.0471
2020-06-10 12:53:00,-77.3209
2020-06-10 12:54:00,-95.8355
2020-06-10 12:55:00,-125.2466
2020-06-10 12:56:00,-157.1222
2020-06-10 12:57:00,-149.8844
2020-06-10 12:58:00,-138.5097
2020-06-10 12:59:00,-105.1259
2020-06-10 13:00:00,-63.8394
2020-06-10 13:01:00,-77.8
2020-06-10 13:02:00,-91.6677
2020-06-10 13:03:00,-115.9223
2020-06-10 13:04:00,-131.952
2020-06-10 13:05:00,-142.1486
2020-06-10 13:06:00,-144.864
2020-06-10 13:07:00,-141.9385
2020-06-10 13:08:00,-114.1502
2020-06-10 13:09:00,-109.1413
2020-06-10 13:10:00,-104.6023
2020-06-10 13:11:00,-107.5692
2020-06-10 13:12:00,-101.8565
2020-06-10 13:13:00,-98.4114
2020-06-10 13:14:00,-89.2703
2020-06-10 13:15:00,-91.9668
2020-06-10 13:16:00,-86.4182
2020-06-10 13:17:00,-26.0579
2020-06-10 13:18:00,-18.6407
2020-06-10 13:19:00,-12.3001
2020-06-10 13:20:00,-11.4188
2020-06-10 13:21:00,-10.6573
2020-06-10 13:22:00,-9.074
2020-06-10 13:23:00,-19.4353
2020-06-10 13:24:00,-45.0874
2020-06-10 13:25:00,-48.8669
2020-06-10 13:26:00,-99.6185
2020-06-10 13:27:00,-68.0062
2020-06-10 13:28:00,-55.1646
2020-06-10 13:29:00,-60.4655
2020-06-10 13:30:00,-50.0236
2020-06-10 13:31:00,-81.1432
2020-06-10 13:32:00,-101.2929
2020-06-10 13:33:00,-126.1832
2020-06-10 13:34:00,-110.2356
2020-06-10 13:35:00,-139.5101
2020-06-10 13:36:00,-150.7078
2020-06-10 13:37:00,-145.2968
2020-06-10 13:38:00,-130.8073
2020-06-10 13:39:00,-135.3913
2020-06-10 13:40:00,-129.4895
2020-06-10 13:41:00,-116.3658
2020-06-10 13:42:00,-120.6475
2020-06-10 13:43:00,-112.763
2020-06-10 13:44:00,-106.419
2020-06-10 13:45:00,-104.4407
2020-06-10 13:46:00,-72.012
2020-06-10 13:47:00,64.0621
2020-06-10 13:48:00,122.5796
2020-06-10 13:49:00,69.7428
2020-06-10 13:50:00,76.3353
2020-06-10 13:51:00,123.4733
2020-06-10 13:52:00,150.4951
2020-06-10 13:53:00,169.3657
2020-06-10 13:54:00,159.7887
2020-06-10 13:55:00,129.1694
2020-06-10 13:56:00,131.8727
2020-06-10 13:57:00,72.8388
2020-06-10 13:58:00,69.2217
2020-06-10 13:59:00,-24.8451
2020-06-10 14:00:00,45.0484
2020-06-10 14:01:00,90.2622
2020-06-10 14:02:00,52.8461
2020-06-10 14:03:00,64.2507
2020-06-10 14:04:00,59.4416
2020-06-10 14:05:00,98.4945
2020-06-10 14:06:00,168.5543
2020-06-10 14:07:00,195.363
2020-06-10 14:08:00,201.1559
2020-06-10 14:09:00,51.6737
2020-06-10 14:10:00,30.1086
2020-06-10 14:11:00,16.3195
2020-06-10 14:12:00,55.631
2020-06-10 14:13:00,67.6699
2020-06-10 14:14:00,51.985
2020-06-10 14:15:00,65.313
2020-06-10 14:16:00,87.3058
2020-06-10 14:17:00,94.3261
2020-06-10 14:18:00,106.7959
2020-06-10 14:19:00,110.8137
2020-06-10 14:20:00,80.1721
2020-06-10 14:21:00,31.9175
2020-06-10 14:22:00,-14.1675
2020-06-10 14:23:00,-46.7137
2020-06-10 14:24:00,-34.5467
2020-06-10 14:25:00,-8.4124
2020-06-10 14:26:00,27.6444
2020-06-10 14:27:00,19.6482
2020-06-10 14:28:00,41.047
2020-06-10 14:29:00,71.6556
2020-06-10 14:30:00,62.7097
2020-06-10 14:31:00,60.0121
2020-06-10 14:32:00,65.8373
2020-06-10 14:33:00,67.381
2020-06-10 14:34:00,93.2292
2020-06-10 14:35:00,75.8829
2020-06-10 14:36:00,65.9262
2020-06-10 14:37:00,65.7705
2020-06-10 14:38:00,70.9805
2020-06-10 14:39:00,-0.8096
2020-06-10 14:40:00,-7.9649
2020-06-10 14:41:00,-56.0759
2020-06-10 14:42:00,-115.7602
2020-06-10 14:43:00,-110.5118
2020-06-10 14:44:00,-118.3689
2020-06-10 14:45:00,-142.4183
2020-06-10 14:46:00,-174.5105
2020-06-10 14:47:00,-158.7258
2020-06-10 14:48:00,-113.8965
2020-06-10 14:49:00,-53.9785
2020-06-10 14:50:00,-11.4751
2020-06-10 14:51:00,-29.9272
2020-06-10 14:52:00,-39.6513
2020-06-10 14:53:00,-33.2025
2020-06-10 14:54:00,-13.8805
2020-06-10 14:55:00,5.2692
2020-06-10 14:56:00,-24.5388
2020-06-10 14:57:00,-60.6168
2020-06-10 14:58:00,-35.2597
2020-06-10 14:59:00,-70.391
2020-06-10 15:00:00,-97.7742
2020-06-10 15:01:00,-94.2862
2020-06-10 15:02:00,-126.4223
2020-06-10 15:03:00,-123.5081
2020-06-10 15:04:00,-127.1799
2020-06-10 15:05:00,-185.2392
2020-06-10 15:06:00,-206.9505
2020-06-10 15:07:00,-169.4746
2020-06-10 15:08:00,-163.8822
2020-06-10 15:09:00,-85.0443
2020-06-10 15:10:00,-61.3269
2020-06-10 15:11:00,-59.952
2020-06-10 15:12:00,-38.936
2020-06-10 15:13:00,-5.8988
2020-06-10 15:14:00,5.2978
2020-06-10 15:15:00,11.6874
2020-06-10 15:16:00,17.7848
2020-06-10 15:17:00,-33.7872
2020-06-10 15:18:00,-86.7606
2020-06-10 15:19:00,-50.7617
2020-06-10 15:20:00,-37.256
2020-06-10 15:21:00,-47.5629
2020-06-10 15:22:00,-69.4757
2020-06-10 15:23:00,-97.8085
2020-06-10 15:24:00,-86.1341
2020-06-10 15:25:00,-70.975
2020-06-10 15:26:00,-17.5717
2020-06-10 15:27:00,-79.2091
2020-06-10 15:28:00,-71.2869
2020-06-10 15:29:00,-54.9257
