date,EMA
2020-06-10 09:39:00,4.4911
2020-06-10 09:40:00,4.4642
2020-06-10 09:41:00,4.4512
2020-06-10 09:42:00,4.4598
2020-06-10 09:43:00,4.4599
2020-06-10 09:44:00,4.4621
2020-06-10 09:45:00,4.4594
2020-06-10 09:46:00,4.4506
2020-06-10 09:47:00,4.4329
2020-06-10 09:48:00,4.4145
2020-06-10 09:49:00,4.398
2020-06-10 09:50:00,4.3918
2020-06-10 09:51:00,4.4003
2020-06-10 09:52:00,4.3935
2020-06-10 09:53:00,4.395
2020-06-10 09:54:00,4.3872
2020-06-10 09:55:00,4.3721
2020-06-10 09:56:00,4.356
2020-06-10 09:57:00,4.3225
2020-06-10 09:58:00,4.2725
2020-06-10 09:59:00,4.2553
2020-06-10 10:00:00,4.223
2020-06-10 10:01:00,4.209
2020-06-10 10:02:00,4.1926
2020-06-10 10:03:00,4.1731
2020-06-10 10:04:00,4.1613
2020-06-10 10:05:00,4.1633
2020-06-10 10:06:00,4.1581
2020-06-10 10:07:00,4.1518
2020-06-10 10:08:00,4.1448
2020-06-10 10:09:00,4.1373
2020-06-10 10:10:00,4.1245
2020-06-10 10:11:00,4.0777
2020-06-10 10:12:00,4.0137
2020-06-10 10:13:00,3.9884
2020-06-10 10:14:00,3.9758
2020-06-10 10:15:00,3.9623
2020-06-10 10:16:00,3.9549
2020-06-10 10:17:00,3.9716
2020-06-10 10:18:00,3.969
2020-06-10 10:19:00,3.9703
2020-06-10 10:20:00,3.968
2020-06-10 10:21:00,3.9485
2020-06-10 10:22:00,3.94
2020-06-10 10:23:00,3.9133
2020-06-10 10:24:00,3.9081
2020-06-10 10:25:00,3.8908
2020-06-10 10:26:00,3.8862
2020-06-10 10:27:00,3.8859
2020-06-10 10:28:00,3.8713
2020-06-10 10:29:00,3.8643
2020-06-10 10:30:00,3.8523
2020-06-10 10:31:00,3.853
2020-06-10 10:32:00,3.8616
2020-06-10 10:33:00,3.8457
2020-06-10 10:34:00,3.8511
2020-06-10 10:35:00,3.8553
2020-06-10 10:36:00,3.863
2020-06-10 10:37:00,3.867
2020-06-10 10:38:00,3.8707
2020-06-10 10:39:00,3.8972
2020-06-10 10:40:00,3.9159
2020-06-10 10:41:00,3.9391
2020-06-10 10:42:00,3.9548
2020-06-10 10:43:00,3.9554
2020-06-10 10:44:00,3.9608
2020-06-10 10:45:00,3.9635
2020-06-10 10:46:00,3.9629
2020-06-10 10:47:00,3.9623
2020-06-10 10:48:00,3.9484
2020-06-10 10:49:00,3.9397
2020-06-10 10:50:00,3.9329
2020-06-10 10:51:00,3.9233
2020-06-10 10:52:00,3.9182
2020-06-10 10:53:00,3.9141
2020-06-10 10:54:00,3.909
2020-06-10 10:55:00,3.907
2020-06-10 10:56:00,3.9099
2020-06-10 10:57:00,3.9148
2020-06-10 10:58:00,3.9224
2020-06-10 10:59:00,3.9325
2020-06-10 11:00:00,3.9386
2020-06-10 11:01:00,3.9456
2020-06-10 11:02:00,3.9532
2020-06-10 11:03:00,3.9547
2020-06-10 11:04:00,3.9525
2020-06-10 11:05:00,3.9475
2020-06-10 11:06:00,3.9432
2020-06-10 11:07:00,3.9402
2020-06-10 11:08:00,3.938
2020-06-10 11:09:00,3.9349
2020-06-10 11:10:00,3.9316
