date,SMA
2020-06-10 09:39:00,4.4911
2020-06-10 09:40:00,4.4751
2020-06-10 09:41:00,4.4595
2020-06-10 09:42:00,4.4495
2020-06-10 09:43:00,4.4357
2020-06-10 09:44:00,4.4245
2020-06-10 09:45:00,4.4245
2020-06-10 09:46:00,4.4332
2020-06-10 09:47:00,4.4296
2020-06-10 09:48:00,4.4271
2020-06-10 09:49:00,4.4189
2020-06-10 09:50:00,4.4039
2020-06-10 09:51:00,4.4001
2020-06-10 09:52:00,4.3876
2020-06-10 09:53:00,4.3814
2020-06-10 09:54:00,4.3739
2020-06-10 09:55:00,4.3674
2020-06-10 09:56:00,4.3611
2020-06-10 09:57:00,4.3443
2020-06-10 09:58:00,4.3102
2020-06-10 09:59:00,4.2808
2020-06-10 10:00:00,4.2483
2020-06-10 10:01:00,4.2183
2020-06-10 10:02:00,4.1902
2020-06-10 10:03:00,4.1635
2020-06-10 10:04:00,4.141
2020-06-10 10:05:00,4.1366
2020-06-10 10:06:00,4.1419
2020-06-10 10:07:00,4.1338
2020-06-10 10:08:00,4.135
2020-06-10 10:09:00,4.1289
2020-06-10 10:10:00,4.122
2020-06-10 10:11:00,4.0981
2020-06-10 10:12:00,4.0568
2020-06-10 10:13:00,4.0231
2020-06-10 10:14:00,3.997
2020-06-10 10:15:00,3.9701
2020-06-10 10:16:00,3.9463
2020-06-10 10:17:00,3.9361
2020-06-10 10:18:00,3.9211
2020-06-10 10:19:00,3.9288
2020-06-10 10:20:00,3.9501
2020-06-10 10:21:00,3.9476
2020-06-10 10:22:00,3.9449
2020-06-10 10:23:00,3.933
2020-06-10 10:24:00,3.9282
2020-06-10 10:25:00,3.9032
2020-06-10 10:26:00,3.8919
2020-06-10 10:27:00,3.8807
2020-06-10 10:28:00,3.8632
2020-06-10 10:29:00,3.8582
2020-06-10 10:30:00,3.8457
2020-06-10 10:31:00,3.8501
2020-06-10 10:32:00,3.8503
2020-06-10 10:33:00,3.8453
2020-06-10 10:34:00,3.8453
2020-06-10 10:35:00,3.8434
2020-06-10 10:36:00,3.8522
2020-06-10 10:37:00,3.8573
2020-06-10 10:38:00,3.8664
2020-06-10 10:39:00,3.8832
2020-06-10 10:40:00,3.8945
2020-06-10 10:41:00,3.9232
2020-06-10 10:42:00,3.9407
2020-06-10 10:43:00,3.9516
2020-06-10 10:44:00,3.9629
2020-06-10 10:45:00,3.9744
2020-06-10 10:46:00,3.984
2020-06-10 10:47:00,3.9803
2020-06-10 10:48:00,3.9701
2020-06-10 10:49:00,3.9563
2020-06-10 10:50:00,3.9436
2020-06-10 10:51:00,3.9352
2020-06-10 10:52:00,3.9252
2020-06-10 10:53:00,3.9162
2020-06-10 10:54:00,3.9074
2020-06-10 10:55:00,3.8999
2020-06-10 10:56:00,3.9024
2020-06-10 10:57:00,3.9052
2020-06-10 10:58:00,3.9102
2020-06-10 10:59:00,3.92
2020-06-10 11:00:00,3.9275
2020-06-10 11:01:00,3.9362
2020-06-10 11:02:00,3.9473
2020-06-10 11:03:00,3.9548
2020-06-10 11:04:00,3.9579
2020-06-10 11:05:00,3.9577
2020-06-10 11:06:00,3.9551
2020-06-10 11:07:00,3.9503
2020-06-10 11:08:00,3.9466
2020-06-10 11:09:00,3.9408
2020-06-10 11:10:00,3.9333
2020-06-10 11:11:00,3.9271
2020-06-10 11:12:00,3.924
2020-06-10 11:13:00,3.9215
2020-06-10 11:14:00,3.9199
2020-06-10 11:15:00,3.9249
2020-06-10 11:16:00,3.9361
2020-06-10 11:17:00,3.9482
2020-06-10 11:18:00,3.9644
2020-06-10 11:19:00,3.9819
2020-06-10 11:20:00,3.9976
2020-06-10 11:21:00,4.0151
2020-06-10 11:22:00,4.0331
2020-06-10 11:23:00,4.0394
