date,SlowD,SlowK
2020-06-15 16:00:00,55.1216,39.0953
2020-06-15 15:59:00,68.0648,51.9741
2020-06-15 15:58:00,80.7431,74.2953
2020-06-15 15:57:00,86.231,77.9249
2020-06-15 15:56:00,86.5056,90.009
2020-06-15 15:55:00,73.2408,90.7592
2020-06-15 15:54:00,52.337,78.7487
2020-06-15 15:53:00,33.5319,50.2145
2020-06-15 15:52:00,29.0,28.0477
2020-06-15 15:51:00,29.996,22.3334
2020-06-15 15:50:00,35.5952,36.619
2020-06-15 15:49:00,38.9724,31.0358
2020-06-15 15:48:00,55.2938,39.131
2020-06-15 15:47:00,68.9169,46.7503
2020-06-15 15:46:00,82.2223,80.0002
2020-06-15 15:45:00,80.2778,80.0002
2020-06-15 15:44:00,79.9998,86.6667
2020-06-15 15:43:00,71.9441,74.1664
2020-06-15 15:42:00,64.8145,79.1663
2020-06-15 15:41:00,51.4627,62.4995
2020-06-15 15:40:00,38.148,52.7775
2020-06-15 15:39:00,31.6295,39.111
2020-06-15 15:38:00,35.4126,22.5555
2020-06-15 15:37:00,53.0105,33.2221
2020-06-15 15:36:00,65.3492,50.4602
2020-06-15 15:35:00,65.8368,75.3492
2020-06-15 15:34:00,51.4212,70.2382
2020-06-15 15:33:00,33.1538,51.9231
2020-06-15 15:32:00,21.2763,32.1025
2020-06-15 15:31:00,19.3297,15.4358
2020-06-15 15:30:00,27.9892,16.2905
2020-06-15 15:29:00,36.5918,26.2628
2020-06-15 15:28:00,37.6745,41.4145
2020-06-15 15:27:00,34.2115,42.0982
2020-06-15 15:26:00,34.3668,29.5107
2020-06-15 15:25:00,44.5298,31.0256
2020-06-15 15:24:00,59.7435,42.564
2020-06-15 15:23:00,70.7221,59.9999
2020-06-15 15:22:00,78.7619,76.6665
2020-06-15 15:21:00,79.8571,75.5
2020-06-15 15:20:00,85.0634,84.119
2020-06-15 15:19:00,87.5792,79.9522
2020-06-15 15:18:00,88.6064,91.1189
2020-06-15 15:17:00,81.6335,91.6665
2020-06-15 15:16:00,68.1781,83.0338
2020-06-15 15:15:00,52.3431,70.2001
2020-06-15 15:14:00,34.7262,51.3005
2020-06-15 15:13:00,23.0795,35.5285
2020-06-15 15:12:00,19.4546,17.3495
2020-06-15 15:11:00,22.9678,16.3604
2020-06-15 15:10:00,31.0196,24.654
2020-06-15 15:09:00,40.1613,27.8889
2020-06-15 15:08:00,55.8967,40.5158
2020-06-15 15:07:00,62.8994,52.0792
2020-06-15 15:06:00,65.2487,75.0952
2020-06-15 15:05:00,55.799,61.5239
2020-06-15 15:04:00,52.474,59.1271
2020-06-15 15:03:00,45.7989,46.746
2020-06-15 15:02:00,43.2848,51.549
2020-06-15 15:01:00,34.7908,39.1019
2020-06-15 15:00:00,32.6823,39.2034
2020-06-15 14:59:00,33.1344,26.0671
2020-06-15 14:58:00,48.3931,32.7764
2020-06-15 14:57:00,64.1605,40.5597
2020-06-15 14:56:00,75.1932,71.8431
2020-06-15 14:55:00,70.7325,80.0787
2020-06-15 14:54:00,56.5356,73.6578
2020-06-15 14:53:00,40.1828,58.4609
2020-06-15 14:52:00,26.8666,37.4882
2020-06-15 14:51:00,22.996,24.5991
2020-06-15 14:50:00,23.6759,18.5125
2020-06-15 14:49:00,24.9031,25.8763
2020-06-15 14:48:00,25.2498,26.6388
2020-06-15 14:47:00,30.4441,22.1943
2020-06-15 14:46:00,39.62,26.9163
2020-06-15 14:45:00,51.2034,42.2219
2020-06-15 14:44:00,55.2072,49.722
2020-06-15 14:43:00,52.3591,61.6665
2020-06-15 14:42:00,38.1407,54.2332
2020-06-15 14:41:00,29.8698,41.1777
2020-06-15 14:40:00,32.8951,19.0111
2020-06-15 14:39:00,44.2168,29.4205
2020-06-15 14:38:00,51.9098,50.2538
2020-06-15 14:37:00,46.8251,52.9759
2020-06-15 14:36:00,38.0553,52.4997
2020-06-15 14:35:00,26.4125,34.9997
2020-06-15 14:34:00,22.2698,26.6665
2020-06-15 14:33:00,22.492,17.5713
