date,VWAP
2020-06-10 09:31:00,4.506
2020-06-10 09:32:00,4.508
2020-06-10 09:34:00,4.5207
2020-06-10 09:35:00,4.5241
2020-06-10 09:36:00,4.5266
2020-06-10 09:37:00,4.5244
2020-06-10 09:38:00,4.5158
2020-06-10 09:39:00,4.509
2020-06-10 09:40:00,4.5062
2020-06-10 09:41:00,4.5033
2020-06-10 09:42:00,4.5018
2020-06-10 09:43:00,4.5005
2020-06-10 09:44:00,4.4999
2020-06-10 09:45:00,4.4989
2020-06-10 09:46:00,4.4968
2020-06-10 09:47:00,4.4944
2020-06-10 09:48:00,4.489
2020-06-10 09:49:00,4.4844
2020-06-10 09:50:00,4.4822
2020-06-10 09:51:00,4.4808
2020-06-10 09:52:00,4.4797
2020-06-10 09:53:00,4.479
2020-06-10 09:54:00,4.478
2020-06-10 09:55:00,4.4753
2020-06-10 09:56:00,4.4711
2020-06-10 09:57:00,4.4628
2020-06-10 09:58:00,4.4424
2020-06-10 09:59:00,4.4329
2020-06-10 10:00:00,4.4253
2020-06-10 10:01:00,4.421
2020-06-10 10:02:00,4.4168
2020-06-10 10:03:00,4.4129
2020-06-10 10:04:00,4.408
2020-06-10 10:05:00,4.4049
2020-06-10 10:06:00,4.403
2020-06-10 10:07:00,4.4008
2020-06-10 10:08:00,4.3959
2020-06-10 10:09:00,4.3939
2020-06-10 10:10:00,4.3897
2020-06-10 10:11:00,4.3581
2020-06-10 10:12:00,4.3108
2020-06-10 10:13:00,4.2936
2020-06-10 10:14:00,4.2852
2020-06-10 10:15:00,4.2778
2020-06-10 10:16:00,4.273
2020-06-10 10:17:00,4.2659
2020-06-10 10:18:00,4.262
2020-06-10 10:19:00,4.2604
2020-06-10 10:20:00,4.2575
2020-06-10 10:21:00,4.2529
2020-06-10 10:22:00,4.2471
2020-06-10 10:23:00,4.2396
2020-06-10 10:24:00,4.2344
2020-06-10 10:25:00,4.2286
2020-06-10 10:26:00,4.2261
2020-06-10 10:27:00,4.2218
2020-06-10 10:28:00,4.2158
2020-06-10 10:29:00,4.2117
2020-06-10 10:30:00,4.2067
2020-06-10 10:31:00,4.2033
2020-06-10 10:32:00,4.1987
2020-06-10 10:33:00,4.1936
2020-06-10 10:34:00,4.191
2020-06-10 10:35:00,4.1888
2020-06-10 10:36:00,4.1865
2020-06-10 10:37:00,4.1847
2020-06-10 10:38:00,4.1819
2020-06-10 10:39:00,4.179
2020-06-10 10:40:00,4.1767
2020-06-10 10:41:00,4.1741
2020-06-10 10:42:00,4.1727
2020-06-10 10:43:00,4.1712
2020-06-10 10:44:00,4.1693
2020-06-10 10:45:00,4.1688
2020-06-10 10:46:00,4.1682
2020-06-10 10:47:00,4.167
2020-06-10 10:48:00,4.1657
2020-06-10 10:49:00,4.1649
2020-06-10 10:50:00,4.1633
2020-06-10 10:51:00,4.1616
2020-06-10 10:52:00,4.16
2020-06-10 10:53:00,4.1595
2020-06-10 10:54:00,4.159
2020-06-10 10:55:00,4.158
2020-06-10 10:56:00,4.1572
2020-06-10 10:57:00,4.1566
2020-06-10 10:58:00,4.1562
2020-06-10 10:59:00,4.1555
2020-06-10 11:00:00,4.1551
2020-06-10 11:01:00,4.1547
2020-06-10 11:02:00,4.1544
2020-06-10 11:03:00,4.1536
2020-06-10 11:04:00,4.1531
2020-06-10 11:05:00,4.1516
2020-06-10 11:06:00,4.1511
2020-06-10 11:07:00,4.1504
2020-06-10 11:08:00,4.15
2020-06-10 11:09:00,4.1498
2020-06-10 11:10:00,4.149
2020-06-10 11:11:00,4.1488
2020-06-10 11:12:00,4.1484
2020-06-10 11:13:00,4.1474
2020-06-10 11:14:00,4.1472
2020-06-10 11:15:00,4.1464
2020-06-10 11:16:00,4.1456
2020-06-10 11:17:00,4.1451
2020-06-10 11:18:00,4.1443
2020-06-10 11:19:00,4.144
2020-06-10 11:20:00,4.1437
2020-06-10 11:21:00,4.1435
2020-06-10 11:22:00,4.1433
2020-06-10 11:23:00,4.1429
2020-06-10 11:24:00,4.1426
2020-06-10 11:25:00,4.1419
2020-06-10 11:26:00,4.1416
2020-06-10 11:27:00,4.1412
2020-06-10 11:28:00,4.1408
2020-06-10 11:29:00,4.1405
2020-06-10 11:30:00,4.1401
2020-06-10 11:31:00,4.1399
2020-06-10 11:32:00,4.1398
2020-06-10 11:33:00,4.1396
2020-06-10 11:34:00,4.1395
2020-06-10 11:35:00,4.1395
2020-06-10 11:36:00,4.1392
2020-06-10 11:37:00,4.1391
2020-06-10 11:38:00,4.139
2020-06-10 11:39:00,4.1388
2020-06-10 11:40:00,4.1386
2020-06-10 11:41:00,4.1384
2020-06-10 11:42:00,4.1382
2020-06-10 11:43:00,4.1381
2020-06-10 11:44:00,4.1379
2020-06-10 11:45:00,4.1378
2020-06-10 11:46:00,4.1377
2020-06-10 11:47:00,4.1376
2020-06-10 11:48:00,4.1374
2020-06-10 11:49:00,4.1373
2020-06-10 11:50:00,4.1371
2020-06-10 11:51:00,4.1367
2020-06-10 11:52:00,4.1364
2020-06-10 11:53:00,4.1363
2020-06-10 11:54:00,4.1361
2020-06-10 11:55:00,4.136
2020-06-10 11:56:00,4.1363
2020-06-10 11:57:00,4.1374
2020-06-10 11:58:00,4.1381
2020-06-10 11:59:00,4.1388
2020-06-10 12:00:00,4.1389
2020-06-10 12:01:00,4.139
2020-06-10 12:02:00,4.1391
2020-06-10 12:03:00,4.1393
2020-06-10 12:04:00,4.1395
2020-06-10 12:05:00,4.1397
2020-06-10 12:06:00,4.1398
2020-06-10 12:07:00,4.1398
2020-06-10 12:08:00,4.1399
2020-06-10 12:09:00,4.1399
2020-06-10 12:10:00,4.1399
2020-06-10 12:11:00,4.1399
2020-06-10 12:12:00,4.1395
2020-06-10 12:13:00,4.1394
2020-06-10 12:14:00,4.1393
2020-06-10 12:15:00,4.1393
2020-06-10 12:16:00,4.1392
2020-06-10 12:17:00,4.1391
2020-06-10 12:18:00,4.1391
2020-06-10 12:19:00,4.139
2020-06-10 12:20:00,4.1389
2020-06-10 12:21:00,4.1389
2020-06-10 12:22:00,4.1389
2020-06-10 12:23:00,4.1389
2020-06-10 12:24:00,4.139
2020-06-10 12:25:00,4.139
2020-06-10 12:26:00,4.139
2020-06-10 12:27:00,4.139
2020-06-10 12:28:00,4.139
2020-06-10 12:29:00,4.139
2020-06-10 12:30:00,4.1391
2020-06-10 12:31:00,4.1392
2020-06-10 12:32:00,4.1392
2020-06-10 12:33:00,4.1392
2020-06-10 12:34:00,4.1392
2020-06-10 12:35:00,4.1391
2020-06-10 12:36:00,4.1391
2020-06-10 12:37:00,4.139
2020-06-10 12:38:00,4.139
2020-06-10 12:39:00,4.1388
2020-06-10 12:40:00,4.1388
2020-06-10 12:41:00,4.1387
2020-06-10 12:42:00,4.1386
2020-06-10 12:43:00,4.1385
2020-06-10 12:44:00,4.1385
2020-06-10 12:45:00,4.1385
2020-06-10 12:46:00,4.1384
2020-06-10 12:47:00,4.1384
2020-06-10 12:48:00,4.1384
2020-06-10 12:49:00,4.1384
2020-06-10 12:50:00,4.1382
2020-06-10 12:51:00,4.1382
2020-06-10 12:52:00,4.1382
2020-06-10 12:53:00,4.1382
2020-06-10 12:54:00,4.1382
2020-06-10 12:55:00,4.138
2020-06-10 12:56:00,4.1378
2020-06-10 12:57:00,4.1376
2020-06-10 12:58:00,4.1376
2020-06-10 12:59:00,4.1374
2020-06-10 13:00:00,4.1373
2020-06-10 13:01:00,4.1373
2020-06-10 13:02:00,4.1373
2020-06-10 13:03:00,4.1372
2020-06-10 13:04:00,4.137
2020-06-10 13:05:00,4.137
2020-06-10 13:06:00,4.1366
2020-06-10 13:07:00,4.1365
2020-06-10 13:08:00,4.1365
2020-06-10 13:09:00,4.1364
2020-06-10 13:10:00,4.1364
2020-06-10 13:11:00,4.1363
2020-06-10 13:12:00,4.1363
2020-06-10 13:13:00,4.1362
2020-06-10 13:14:00,4.1362
2020-06-10 13:15:00,4.1362
2020-06-10 13:16:00,4.1361
2020-06-10 13:17:00,4.136
2020-06-10 13:18:00,4.136
2020-06-10 13:19:00,4.136
2020-06-10 13:20:00,4.136
2020-06-10 13:21:00,4.1359
2020-06-10 13:22:00,4.1359
2020-06-10 13:23:00,4.1359
2020-06-10 13:24:00,4.1358
2020-06-10 13:25:00,4.1358
2020-06-10 13:26:00,4.1356
2020-06-10 13:27:00,4.1355
2020-06-10 13:28:00,4.1355
2020-06-10 13:29:00,4.1355
2020-06-10 13:30:00,4.1355
2020-06-10 13:31:00,4.1354
2020-06-10 13:32:00,4.1353
2020-06-10 13:33:00,4.1353
2020-06-10 13:34:00,4.1352
2020-06-10 13:35:00,4.1349
2020-06-10 13:36:00,4.1347
2020-06-10 13:37:00,4.1345
2020-06-10 13:38:00,4.1338
2020-06-10 13:39:00,4.1337
2020-06-10 13:40:00,4.1337
2020-06-10 13:41:00,4.1335
2020-06-10 13:42:00,4.1335
2020-06-10 13:43:00,4.1334
2020-06-10 13:44:00,4.1333
2020-06-10 13:45:00,4.1332
2020-06-10 13:46:00,4.133
2020-06-10 13:47:00,4.1328
2020-06-10 13:48:00,4.1327
2020-06-10 13:49:00,4.1327
2020-06-10 13:50:00,4.1326
2020-06-10 13:51:00,4.1325
2020-06-10 13:52:00,4.1324
2020-06-10 13:53:00,4.1324
2020-06-10 13:54:00,4.1323
2020-06-10 13:55:00,4.1323
2020-06-10 13:56:00,4.1323
2020-06-10 13:57:00,4.1322
2020-06-10 13:58:00,4.1321
2020-06-10 13:59:00,4.132
2020-06-10 14:00:00,4.132
2020-06-10 14:01:00,4.132
2020-06-10 14:02:00,4.1319
2020-06-10 14:03:00,4.1318
2020-06-10 14:04:00,4.1318
2020-06-10 14:05:00,4.1317
2020-06-10 14:06:00,4.1317
2020-06-10 14:07:00,4.1317
2020-06-10 14:08:00,4.1317
