date,Real Middle Band,Real Upper Band,Real Lower Band
2020-01-13 10:30:00,45.3021,45.9746,44.6297
2020-01-13 10:31:00,45.3074,45.9676,44.6473
2020-01-13 10:32:00,45.3123,45.9634,44.6613
2020-01-13 10:33:00,45.303,45.9487,44.6573
2020-01-13 10:34:00,45.2932,45.9305,44.6559
2020-01-13 10:35:00,45.2754,45.8721,44.6788
2020-01-13 10:36:00,45.2627,45.8573,44.6681
2020-01-13 10:37:00,45.2491,45.8371,44.6612
2020-01-13 10:38:00,45.2336,45.8008,44.6664
2020-01-13 10:39:00,45.2148,45.7433,44.6862
2020-01-13 10:40:00,45.1948,45.7066,44.6829
2020-01-13 10:41:00,45.1716,45.6702,44.673
2020-01-13 10:42:00,45.1553,45.6411,44.6694
2020-01-13 10:43:00,45.1481,45.639,44.6573
2020-01-13 10:44:00,45.138,45.6295,44.6465
2020-01-13 10:45:00,45.1239,45.6019,44.6458
2020-01-13 10:46:00,45.1112,45.5771,44.6453
2020-01-13 10:47:00,45.1035,45.5653,44.6416
2020-01-13 10:48:00,45.101,45.5684,44.6337
2020-01-13 10:49:00,45.0979,45.5734,44.6223
2020-01-13 10:50:00,45.0905,45.5874,44.5936
2020-01-13 10:51:00,45.083,45.6058,44.5603
2020-01-13 10:52:00,45.0804,45.6115,44.5492
2020-01-13 10:53:00,45.079,45.6141,44.544
2020-01-13 10:54:00,45.0781,45.615,44.5413
2020-01-13 10:55:00,45.0704,45.6227,44.518
2020-01-13 10:56:00,45.0608,45.6233,44.4984
2020-01-13 10:57:00,45.0531,45.6218,44.4844
2020-01-13 10:58:00,45.0482,45.6205,44.476
2020-01-13 10:59:00,45.0451,45.6213,44.4688
2020-01-13 11:01:00,45.0409,45.6177,44.4641
2020-01-13 11:02:00,45.0404,45.6177,44.4631
2020-01-13 11:04:00,45.0365,45.6174,44.4556
2020-01-13 11:05:00,45.0297,45.6099,44.4495
2020-01-13 11:06:00,45.0249,45.6075,44.4423
2020-01-13 11:07:00,45.0196,45.6042,44.435
2020-01-13 11:08:00,45.0111,45.6001,44.4222
2020-01-13 11:09:00,45.0016,45.5963,44.4068
2020-01-13 11:10:00,44.9845,45.5806,44.3884
2020-01-13 11:11:00,44.968,45.5692,44.3668
2020-01-13 11:12:00,44.9489,45.5479,44.3498
2020-01-13 11:13:00,44.9322,45.5521,44.3123
2020-01-13 11:14:00,44.9152,45.5325,44.298
2020-01-13 11:15:00,44.8977,45.5252,44.2702
2020-01-13 11:16:00,44.8848,45.5216,44.248
2020-01-13 11:17:00,44.8697,45.5066,44.2327
2020-01-13 11:18:00,44.852,45.479,44.225
2020-01-13 11:19:00,44.8349,45.4507,44.219
2020-01-13 11:20:00,44.8175,45.4123,44.2228
2020-01-13 11:21:00,44.8045,45.3816,44.2274
2020-01-13 11:22:00,44.7916,45.3498,44.2335
2020-01-13 11:23:00,44.7784,45.3126,44.2441
2020-01-13 11:24:00,44.7661,45.2757,44.2565
2020-01-13 11:25:00,44.7542,45.2445,44.2639
2020-01-13 11:26:00,44.745,45.2232,44.2668
2020-01-13 11:27:00,44.7355,45.2037,44.2673
2020-01-13 11:28:00,44.7266,45.1846,44.2687
2020-01-13 11:29:00,44.7193,45.1714,44.2671
2020-01-13 11:30:00,44.7111,45.1522,44.2699
2020-01-13 11:31:00,44.7035,45.1353,44.2717
2020-01-13 11:32:00,44.698,45.1197,44.2762
2020-01-13 11:33:00,44.6911,45.101,44.2812
2020-01-13 11:34:00,44.6834,45.0755,44.2913
2020-01-13 11:35:00,44.6781,45.0546,44.3016
2020-01-13 11:36:00,44.6745,45.0371,44.3118
2020-01-13 11:37:00,44.6716,45.023,44.3201
2020-01-13 11:38:00,44.6741,45.0347,44.3136
2020-01-13 11:39:00,44.6769,45.0474,44.3064
2020-01-13 11:40:00,44.6814,45.0721,44.2908
2020-01-13 11:41:00,44.6855,45.0916,44.2794
2020-01-13 11:42:00,44.6912,45.1081,44.2742
2020-01-13 11:43:00,44.7005,45.1302,44.2708
2020-01-13 11:44:00,44.707,45.1522,44.2618
2020-01-13 11:45:00,44.713,45.1749,44.251
2020-01-13 11:46:00,44.7179,45.1913,44.2446
2020-01-13 11:47:00,44.7231,45.2074,44.2388
2020-01-13 11:48:00,44.7293,45.2295,44.2292
2020-01-13 11:49:00,44.7369,45.2622,44.2115
2020-01-13 11:50:00,44.7487,45.3075,44.1899
2020-01-13 11:51:00,44.7619,45.352,44.1718
2020-01-13 11:52:00,44.7788,45.3979,44.1598
2020-01-13 11:53:00,44.7952,45.4276,44.1629
2020-01-13 11:54:00,44.8109,45.4673,44.1544
2020-01-13 11:55:00,44.8263,45.5106,44.142
2020-01-13 11:56:00,44.8406,45.5559,44.1253
2020-01-13 11:57:00,44.8577,45.5948,44.1206
2020-01-13 11:58:00,44.8757,45.6419,44.1095
2020-01-13 11:59:00,44.895,45.701,44.089
2020-01-13 12:00:00,44.9132,45.758,44.0683
2020-01-13 12:01:00,44.9312,45.8089,44.0536
2020-01-13 12:02:00,44.948,45.8604,44.0356
2020-01-13 12:03:00,44.964,45.9038,44.0243
2020-01-13 12:04:00,44.9779,45.9315,44.0243
2020-01-13 12:05:00,44.9924,45.9635,44.0213
2020-01-13 12:06:00,45.007,45.9928,44.0211
2020-01-13 12:07:00,45.0231,46.027,44.0192
2020-01-13 12:08:00,45.0405,46.0565,44.0245
2020-01-13 12:09:00,45.0595,46.0867,44.0323
2020-01-13 12:10:00,45.0827,46.1184,44.047
2020-01-13 12:11:00,45.1073,46.1504,44.0641
2020-01-13 12:12:00,45.1323,46.1784,44.0862
2020-01-13 12:13:00,45.1611,46.2037,44.1186
2020-01-13 12:14:00,45.1859,46.2296,44.1423
2020-01-13 12:15:00,45.2135,46.2482,44.1787
2020-01-13 12:16:00,45.2401,46.2711,44.2092
2020-01-13 12:17:00,45.2661,46.2918,44.2405
2020-01-13 12:18:00,45.2915,46.3075,44.2756
2020-01-13 12:19:00,45.315,46.3153,44.3147
2020-01-13 12:20:00,45.336,46.3189,44.3531
2020-01-13 12:21:00,45.3564,46.3296,44.3831
2020-01-13 12:22:00,45.3789,46.3456,44.4123
2020-01-13 12:23:00,45.4008,46.358,44.4435
2020-01-13 12:24:00,45.4225,46.3713,44.4738
2020-01-13 12:25:00,45.445,46.3795,44.5106
2020-01-13 12:26:00,45.4672,46.3862,44.5481
2020-01-13 12:27:00,45.4899,46.3871,44.5926
2020-01-13 12:28:00,45.513,46.3887,44.6374
2020-01-13 12:29:00,45.5363,46.3867,44.6859
2020-01-13 12:30:00,45.5618,46.3923,44.7313
2020-01-13 12:31:00,45.5866,46.3904,44.7827
2020-01-13 12:32:00,45.6104,46.3959,44.8249
2020-01-13 12:33:00,45.6344,46.3911,44.8778
2020-01-13 12:34:00,45.6595,46.388,44.931
2020-01-13 12:35:00,45.6853,46.3999,44.9708
2020-01-13 12:36:00,45.7079,46.4105,45.0053
2020-01-13 12:37:00,45.7311,46.4212,45.041
2020-01-13 12:38:00,45.7506,46.4303,45.0708
2020-01-13 12:39:00,45.7705,46.4412,45.0998
2020-01-13 12:40:00,45.7878,46.4565,45.1191
2020-01-13 12:41:00,45.8041,46.4606,45.1475
2020-01-13 12:42:00,45.8225,46.4557,45.1894
2020-01-13 12:43:00,45.8413,46.4568,45.2259
2020-01-13 12:44:00,45.86,46.4594,45.2607
2020-01-13 12:45:00,45.8787,46.4654,45.292
2020-01-13 12:46:00,45.9012,46.4747,45.3276
2020-01-13 12:47:00,45.9248,46.4863,45.3634
2020-01-13 12:48:00,45.9479,46.5063,45.3895
2020-01-13 12:49:00,45.9708,46.5482,45.3935
2020-01-13 12:50:00,45.9904,46.5791,45.4016
2020-01-13 12:51:00,46.012,46.6208,45.4032
2020-01-13 12:52:00,46.0319,46.6555,45.4084
