date,SlowD,SlowK
2020-01-13 09:39:00,62.821,57.3041
2020-01-13 09:40:00,54.1703,49.771
2020-01-13 09:41:00,55.123,58.2939
2020-01-13 09:42:00,47.8187,35.3914
2020-01-13 09:43:00,38.7789,22.6515
2020-01-13 09:44:00,22.5022,9.4637
2020-01-13 09:45:00,20.5043,29.3976
2020-01-13 09:46:00,29.5049,49.6534
2020-01-13 09:47:00,43.7417,52.1743
2020-01-13 09:48:00,44.6894,32.2404
2020-01-13 09:49:00,33.1987,15.1814
2020-01-13 09:50:00,19.5313,11.172
2020-01-13 09:51:00,13.8777,15.2796
2020-01-13 09:52:00,12.4838,11.0
2020-01-13 09:53:00,11.1903,7.2914
2020-01-13 09:54:00,11.9258,17.4862
2020-01-13 09:55:00,25.199,50.8195
2020-01-13 09:56:00,49.7582,80.969
2020-01-13 09:57:00,76.5856,97.9681
2020-01-13 09:58:00,88.8483,87.6077
2020-01-13 09:59:00,85.288,70.2882
2020-01-13 10:00:00,75.1343,67.5071
2020-01-13 10:01:00,64.5536,55.8654
2020-01-13 10:02:00,61.05,59.7774
2020-01-13 10:03:00,60.0778,64.5904
2020-01-13 10:04:00,65.8156,73.0788
2020-01-13 10:05:00,70.9648,75.225
2020-01-13 10:06:00,72.8413,70.22
2020-01-13 10:07:00,72.8205,73.0165
2020-01-13 10:08:00,74.8142,81.206
2020-01-13 10:09:00,76.4898,75.2467
2020-01-13 10:10:00,77.9807,77.4893
2020-01-13 10:11:00,68.2726,52.0818
2020-01-13 10:12:00,59.0731,47.6483
2020-01-13 10:13:00,43.0621,29.4563
2020-01-13 10:14:00,34.4003,26.0963
2020-01-13 10:15:00,25.4601,20.8276
2020-01-13 10:16:00,30.8525,45.6336
2020-01-13 10:17:00,45.6325,70.4362
2020-01-13 10:18:00,66.8058,84.3476
2020-01-13 10:19:00,74.7741,69.5384
2020-01-13 10:20:00,68.8263,52.5929
2020-01-13 10:21:00,52.1246,34.2423
2020-01-13 10:22:00,36.6259,23.0423
2020-01-13 10:23:00,24.2543,15.4784
2020-01-13 10:24:00,16.0972,9.7708
2020-01-13 10:25:00,11.045,7.8859
2020-01-13 10:26:00,8.5534,8.0034
2020-01-13 10:27:00,7.7466,7.3504
2020-01-13 10:28:00,9.4594,13.0244
2020-01-13 10:29:00,13.8165,21.0747
2020-01-13 10:30:00,21.2582,29.6756
2020-01-13 10:31:00,29.2761,37.0781
2020-01-13 10:32:00,39.229,50.9332
2020-01-13 10:33:00,46.0814,50.233
2020-01-13 10:34:00,49.0131,45.8731
2020-01-13 10:35:00,41.8953,29.5798
2020-01-13 10:36:00,32.2383,21.262
2020-01-13 10:37:00,21.688,14.2221
2020-01-13 10:38:00,17.947,18.357
2020-01-13 10:39:00,19.4083,25.6457
2020-01-13 10:40:00,22.2663,22.7961
2020-01-13 10:41:00,20.1324,11.9552
2020-01-13 10:42:00,17.8698,18.858
2020-01-13 10:43:00,22.7133,37.3266
2020-01-13 10:44:00,39.1488,61.2618
2020-01-13 10:45:00,56.8686,72.0172
2020-01-13 10:46:00,70.4951,78.2063
2020-01-13 10:47:00,76.8356,80.2834
2020-01-13 10:48:00,72.3488,58.5567
2020-01-13 10:49:00,56.7778,31.4934
2020-01-13 10:50:00,32.6857,8.0068
2020-01-13 10:51:00,17.7516,13.7544
2020-01-13 10:52:00,17.637,31.1497
2020-01-13 10:53:00,32.8755,53.7223
2020-01-13 10:54:00,51.8432,70.6575
2020-01-13 10:55:00,65.2163,71.2691
2020-01-13 10:56:00,68.0154,62.1197
2020-01-13 10:57:00,62.1255,52.9878
2020-01-13 10:58:00,58.2862,59.7511
2020-01-13 10:59:00,61.4651,71.6563
2020-01-13 11:01:00,70.7531,80.8518
2020-01-13 11:02:00,76.8783,78.1267
2020-01-13 11:04:00,73.3553,61.0873
2020-01-13 11:05:00,62.6189,48.6427
2020-01-13 11:06:00,47.8028,33.6782
2020-01-13 11:07:00,37.8778,31.3125
2020-01-13 11:08:00,29.0548,22.1737
2020-01-13 11:09:00,25.5418,23.1392
2020-01-13 11:10:00,20.0158,14.7343
2020-01-13 11:11:00,16.2095,10.7549
2020-01-13 11:12:00,10.1402,4.9313
2020-01-13 11:13:00,7.0411,5.437
2020-01-13 11:14:00,10.9567,22.5019
2020-01-13 11:15:00,18.5265,27.6407
2020-01-13 11:16:00,33.2037,49.4685
2020-01-13 11:17:00,43.7396,54.1095
2020-01-13 11:18:00,57.9045,70.1356
2020-01-13 11:19:00,64.7667,70.0552
2020-01-13 11:20:00,72.7776,78.142
2020-01-13 11:21:00,77.0602,82.9834
2020-01-13 11:22:00,81.9106,84.6064
2020-01-13 11:23:00,81.5592,77.0877
2020-01-13 11:24:00,79.1904,75.8772
2020-01-13 11:25:00,74.6606,71.017
2020-01-13 11:26:00,70.2435,63.8363
2020-01-13 11:27:00,59.9521,45.0028
2020-01-13 11:28:00,47.9249,34.9356
2020-01-13 11:29:00,35.3546,26.1255
2020-01-13 11:30:00,32.8342,37.4415
2020-01-13 11:31:00,36.1425,44.8603
2020-01-13 11:32:00,50.7861,70.0565
2020-01-13 11:33:00,61.824,70.5553
2020-01-13 11:34:00,72.6111,77.2217
2020-01-13 11:35:00,74.5163,75.7721
2020-01-13 11:36:00,78.99,83.9762
2020-01-13 11:37:00,82.3113,87.1857
2020-01-13 11:38:00,85.953,86.6972
2020-01-13 11:39:00,87.1572,87.5887
2020-01-13 11:40:00,89.3699,93.8238
2020-01-13 11:41:00,90.3513,89.6414
2020-01-13 11:42:00,86.4452,75.8703
2020-01-13 11:43:00,73.5823,55.2351
2020-01-13 11:44:00,59.3917,47.0698
2020-01-13 11:45:00,53.5672,58.3966
2020-01-13 11:46:00,54.7224,58.7009
2020-01-13 11:47:00,56.5702,52.6131
2020-01-13 11:48:00,54.5578,52.3594
2020-01-13 11:49:00,58.8498,71.5771
2020-01-13 11:50:00,71.4828,90.5119
2020-01-13 11:51:00,85.0117,92.946
2020-01-13 11:52:00,91.083,89.791
2020-01-13 11:53:00,85.8543,74.826
2020-01-13 11:54:00,77.7408,68.6056
2020-01-13 11:55:00,69.4257,64.8456
2020-01-13 11:56:00,70.5366,78.1587
2020-01-13 11:57:00,73.928,78.7797
2020-01-13 11:58:00,80.8911,85.7349
2020-01-13 11:59:00,83.078,84.7194
2020-01-13 12:00:00,85.5144,86.0888
2020-01-13 12:01:00,81.933,74.9908
2020-01-13 12:02:00,77.3285,70.9059
2020-01-13 12:03:00,69.2169,61.7539
2020-01-13 12:04:00,58.3906,42.5119
2020-01-13 12:05:00,43.8802,27.3748
2020-01-13 12:06:00,30.1679,20.617
2020-01-13 12:07:00,28.2205,36.6697
2020-01-13 12:08:00,33.36,42.7934
2020-01-13 12:09:00,44.7081,54.6612
2020-01-13 12:10:00,54.5276,66.1282
2020-01-13 12:11:00,67.2388,80.9271
2020-01-13 12:12:00,75.9198,80.704
2020-01-13 12:13:00,80.8415,80.8934
2020-01-13 12:14:00,78.2929,73.2814
2020-01-13 12:15:00,74.2635,68.6158
2020-01-13 12:16:00,67.7655,61.3992
2020-01-13 12:17:00,62.382,57.1308
2020-01-13 12:18:00,56.7428,51.6984
2020-01-13 12:19:00,46.5625,30.8583
2020-01-13 12:20:00,34.2996,20.342
2020-01-13 12:21:00,25.8039,26.2116
2020-01-13 12:22:00,34.312,56.3823
2020-01-13 12:23:00,52.9834,76.3563
2020-01-13 12:24:00,74.8148,91.7059
2020-01-13 12:25:00,85.4558,88.3053
2020-01-13 12:26:00,89.1962,87.5775
2020-01-13 12:27:00,79.5562,62.7859
2020-01-13 12:28:00,70.8617,62.2218
2020-01-13 12:29:00,62.4103,62.2233
2020-01-13 12:30:00,71.112,88.891
2020-01-13 12:31:00,77.5815,81.6301
2020-01-13 12:32:00,84.2653,82.2749
2020-01-13 12:33:00,77.0978,67.3886
2020-01-13 12:34:00,74.7408,74.5591
2020-01-13 12:35:00,72.1215,74.4168
2020-01-13 12:36:00,75.3211,76.9873
2020-01-13 12:37:00,75.1945,74.1794
2020-01-13 12:38:00,71.1144,62.1766
2020-01-13 12:39:00,64.1166,55.9939
2020-01-13 12:40:00,54.6211,45.6927
2020-01-13 12:41:00,45.2876,34.1762
2020-01-13 12:42:00,35.2558,25.8986
2020-01-13 12:43:00,30.5795,31.6636
2020-01-13 12:44:00,38.0311,56.5312
2020-01-13 12:45:00,55.7785,79.1408
2020-01-13 12:46:00,75.8053,91.7441
2020-01-13 12:47:00,87.6202,91.9757
2020-01-13 12:48:00,92.4872,93.7419
2020-01-13 12:49:00,92.1904,90.8537
2020-01-13 12:50:00,89.3142,83.3472
2020-01-13 12:51:00,85.7052,82.9148
2020-01-13 12:52:00,81.1036,77.049
2020-01-13 12:53:00,72.0818,56.2817
2020-01-13 12:54:00,54.9526,31.527
2020-01-13 12:55:00,35.0583,17.3662
2020-01-13 12:56:00,32.6685,49.1122
2020-01-13 12:57:00,47.291,75.3948
2020-01-13 12:58:00,72.3715,92.6075
2020-01-13 12:59:00,83.5334,82.5979
2020-01-13 13:00:00,84.2672,77.5962
2020-01-13 13:01:00,78.5969,75.5966
2020-01-13 13:02:00,69.7491,56.0546
2020-01-13 13:03:00,55.6025,35.1562
2020-01-13 13:04:00,35.0972,14.0807
2020-01-13 13:05:00,21.0462,13.9016
2020-01-13 13:06:00,13.7642,13.3102
2020-01-13 13:07:00,12.1172,9.1398
2020-01-13 13:08:00,14.1856,20.1069
2020-01-13 13:09:00,23.566,41.4514
2020-01-13 13:10:00,42.5696,66.1504
2020-01-13 13:11:00,60.2205,73.0596
2020-01-13 13:12:00,69.3409,68.8126
2020-01-13 13:13:00,66.8304,58.6189
2020-01-13 13:14:00,60.1694,53.0766
2020-01-13 13:15:00,52.5286,45.8903
2020-01-13 13:16:00,47.5945,43.8167
2020-01-13 13:17:00,41.682,35.3389
2020-01-13 13:18:00,37.8082,34.2691
2020-01-13 13:19:00,38.5091,45.9193
2020-01-13 13:20:00,46.0312,57.905
2020-01-13 13:21:00,57.9404,69.997
2020-01-13 13:22:00,66.0199,70.1577
2020-01-13 13:23:00,72.9227,78.6134
2020-01-13 13:24:00,75.3613,77.3128
2020-01-13 13:25:00,78.3322,79.0703
2020-01-13 13:26:00,71.6748,58.6413
2020-01-13 13:27:00,57.8779,35.922
2020-01-13 13:28:00,38.3052,20.3522
2020-01-13 13:29:00,25.509,20.2527
2020-01-13 13:30:00,23.8283,30.8798
2020-01-13 13:31:00,31.2614,42.6516
2020-01-13 13:32:00,43.38,56.6085
2020-01-13 13:33:00,58.1788,75.2763
2020-01-13 13:34:00,67.2086,69.7411
2020-01-13 13:35:00,65.5348,51.5872
2020-01-13 13:36:00,47.9455,22.5082
2020-01-13 13:37:00,32.4456,23.2414
2020-01-13 13:38:00,26.4499,33.6001
2020-01-13 13:39:00,34.1265,45.538
2020-01-13 13:40:00,41.5548,45.5263
2020-01-13 13:41:00,43.587,39.6966
2020-01-13 13:42:00,38.5295,30.3656
2020-01-13 13:43:00,32.3939,27.1194
2020-01-13 13:44:00,32.1731,39.0344
2020-01-13 13:45:00,38.2002,48.4467
2020-01-13 13:46:00,50.9295,65.3074
2020-01-13 13:47:00,63.0613,75.4297
2020-01-13 13:48:00,76.5063,88.7817
2020-01-13 13:49:00,82.4999,83.2884
2020-01-13 13:50:00,85.732,85.126
2020-01-13 13:51:00,86.0668,89.7861
2020-01-13 13:52:00,88.9888,92.0545
2020-01-13 13:53:00,90.3175,89.1118
2020-01-13 13:54:00,79.3565,56.9033
2020-01-13 13:55:00,59.1611,31.4684
2020-01-13 13:56:00,32.7691,9.9356
2020-01-13 13:57:00,18.1194,12.9541
2020-01-13 13:58:00,13.1876,16.673
2020-01-13 13:59:00,17.51,22.9029
2020-01-13 14:00:00,20.8914,23.0984
2020-01-13 14:01:00,21.0126,17.0366
2020-01-13 14:02:00,14.8313,4.3589
2020-01-13 14:03:00,9.4036,6.8153
2020-01-13 14:04:00,9.4686,17.2315
2020-01-13 14:05:00,18.7927,32.3312
2020-01-13 14:06:00,31.7065,45.557
2020-01-13 14:07:00,42.9375,50.9242
2020-01-13 14:08:00,51.4665,57.9183
2020-01-13 14:09:00,51.7077,46.2805
2020-01-13 14:10:00,48.7448,42.0355
2020-01-13 14:11:00,45.7608,48.9664
2020-01-13 14:12:00,51.5954,63.7843
2020-01-13 14:13:00,64.1141,79.5917
2020-01-13 14:14:00,74.2895,79.4924
2020-01-13 14:15:00,82.0277,86.9991
