date,MACD_Signal,MACD,MACD_Hist
2020-01-13 10:04:00,-0.0226,0.0195,0.0421
2020-01-13 10:05:00,-0.0127,0.0266,0.0393
2020-01-13 10:06:00,-0.0041,0.0306,0.0346
2020-01-13 10:07:00,0.0028,0.0301,0.0274
2020-01-13 10:08:00,0.0083,0.0307,0.0223
2020-01-13 10:09:00,0.0122,0.0276,0.0154
2020-01-13 10:10:00,0.0155,0.0288,0.0133
2020-01-13 10:11:00,0.0182,0.0287,0.0105
2020-01-13 10:12:00,0.0191,0.0226,0.0036
2020-01-13 10:13:00,0.0184,0.0157,-0.0027
2020-01-13 10:14:00,0.0156,0.0044,-0.0112
2020-01-13 10:15:00,0.0106,-0.0096,-0.0201
2020-01-13 10:16:00,0.0048,-0.018,-0.0228
2020-01-13 10:17:00,-0.001,-0.0244,-0.0234
2020-01-13 10:18:00,-0.0063,-0.0276,-0.0213
2020-01-13 10:19:00,-0.0114,-0.0314,-0.0201
2020-01-13 10:20:00,-0.0167,-0.0382,-0.0215
2020-01-13 10:21:00,-0.0245,-0.0556,-0.0311
2020-01-13 10:22:00,-0.0328,-0.066,-0.0332
2020-01-13 10:23:00,-0.0406,-0.0719,-0.0313
2020-01-13 10:24:00,-0.0488,-0.0815,-0.0327
2020-01-13 10:25:00,-0.0558,-0.084,-0.0282
2020-01-13 10:26:00,-0.0623,-0.0883,-0.026
2020-01-13 10:27:00,-0.0681,-0.0914,-0.0233
2020-01-13 10:28:00,-0.0727,-0.0912,-0.0184
2020-01-13 10:29:00,-0.0776,-0.0972,-0.0195
2020-01-13 10:30:00,-0.0816,-0.0976,-0.016
2020-01-13 10:31:00,-0.0856,-0.1016,-0.0159
2020-01-13 10:32:00,-0.0909,-0.1123,-0.0213
2020-01-13 10:33:00,-0.0963,-0.1178,-0.0215
2020-01-13 10:34:00,-0.1005,-0.1174,-0.0168
2020-01-13 10:35:00,-0.1043,-0.1195,-0.0152
2020-01-13 10:36:00,-0.1067,-0.1163,-0.0095
2020-01-13 10:37:00,-0.1074,-0.11,-0.0026
2020-01-13 10:38:00,-0.1052,-0.0964,0.0087
2020-01-13 10:39:00,-0.1014,-0.0861,0.0152
2020-01-13 10:40:00,-0.0981,-0.085,0.0131
2020-01-13 10:41:00,-0.095,-0.0824,0.0126
2020-01-13 10:42:00,-0.0913,-0.0766,0.0147
2020-01-13 10:43:00,-0.0871,-0.0704,0.0167
2020-01-13 10:44:00,-0.0825,-0.064,0.0185
2020-01-13 10:45:00,-0.0776,-0.0582,0.0195
2020-01-13 10:46:00,-0.0729,-0.0538,0.0191
2020-01-13 10:47:00,-0.068,-0.0487,0.0193
2020-01-13 10:48:00,-0.0636,-0.046,0.0176
2020-01-13 10:49:00,-0.0583,-0.037,0.0213
2020-01-13 10:50:00,-0.0525,-0.0295,0.0231
2020-01-13 10:51:00,-0.0474,-0.027,0.0204
2020-01-13 10:52:00,-0.0419,-0.0198,0.0221
2020-01-13 10:53:00,-0.0369,-0.0167,0.0202
2020-01-13 10:54:00,-0.0313,-0.0089,0.0224
2020-01-13 10:55:00,-0.0253,-0.0011,0.0241
2020-01-13 10:56:00,-0.0194,0.0038,0.0232
2020-01-13 10:57:00,-0.0144,0.0056,0.02
2020-01-13 10:58:00,-0.0104,0.0057,0.0161
2020-01-13 10:59:00,-0.0077,0.003,0.0107
2020-01-13 11:04:00,-0.0029,0.0164,0.0193
2020-01-13 11:05:00,0.0036,0.0294,0.0258
2020-01-13 11:06:00,0.01,0.0357,0.0257
2020-01-13 11:07:00,0.017,0.0451,0.0281
2020-01-13 11:08:00,0.0238,0.0511,0.0273
2020-01-13 11:09:00,0.0308,0.0588,0.028
2020-01-13 11:10:00,0.0387,0.0702,0.0315
2020-01-13 11:11:00,0.0466,0.0782,0.0316
2020-01-13 11:12:00,0.0551,0.0893,0.0342
2020-01-13 11:13:00,0.065,0.1045,0.0395
2020-01-13 11:14:00,0.0743,0.1115,0.0372
2020-01-13 11:15:00,0.0823,0.1143,0.032
2020-01-13 11:16:00,0.0889,0.1151,0.0263
2020-01-13 11:17:00,0.0945,0.1169,0.0224
2020-01-13 11:18:00,0.0984,0.1142,0.0158
2020-01-13 11:19:00,0.1,0.1063,0.0063
2020-01-13 11:20:00,0.1001,0.1006,0.0005
2020-01-13 11:21:00,0.099,0.0945,-0.0045
2020-01-13 11:22:00,0.096,0.0843,-0.0118
2020-01-13 11:23:00,0.0922,0.0769,-0.0153
2020-01-13 11:24:00,0.0872,0.0671,-0.0201
2020-01-13 11:25:00,0.0818,0.0601,-0.0217
2020-01-13 11:26:00,0.0756,0.0509,-0.0247
2020-01-13 11:27:00,0.0694,0.0446,-0.0248
2020-01-13 11:28:00,0.0639,0.0416,-0.0222
2020-01-13 11:29:00,0.0587,0.0379,-0.0207
2020-01-13 11:30:00,0.0548,0.0394,-0.0154
2020-01-13 11:31:00,0.0517,0.0394,-0.0123
2020-01-13 11:32:00,0.0495,0.0405,-0.009
2020-01-13 11:33:00,0.0497,0.0505,0.0008
2020-01-13 11:34:00,0.05,0.0514,0.0013
2020-01-13 11:35:00,0.0502,0.0507,0.0005
2020-01-13 11:36:00,0.0494,0.0464,-0.003
2020-01-13 11:37:00,0.0475,0.04,-0.0075
2020-01-13 11:38:00,0.0455,0.0374,-0.0081
2020-01-13 11:39:00,0.044,0.0378,-0.0062
2020-01-13 11:40:00,0.0435,0.0416,-0.0019
2020-01-13 11:41:00,0.0434,0.0433,-0.0002
2020-01-13 11:42:00,0.0436,0.0441,0.0006
2020-01-13 11:43:00,0.044,0.0455,0.0015
2020-01-13 11:44:00,0.0441,0.0449,0.0007
2020-01-13 11:45:00,0.0446,0.0466,0.002
2020-01-13 11:46:00,0.0453,0.0479,0.0026
2020-01-13 11:47:00,0.0457,0.0475,0.0018
2020-01-13 11:48:00,0.0459,0.0467,0.0008
2020-01-13 11:49:00,0.0458,0.0451,-0.0006
2020-01-13 11:50:00,0.045,0.0418,-0.0032
2020-01-13 11:51:00,0.0436,0.0383,-0.0053
2020-01-13 11:52:00,0.0421,0.0359,-0.0062
2020-01-13 11:53:00,0.0405,0.0343,-0.0062
2020-01-13 11:54:00,0.0386,0.0308,-0.0078
2020-01-13 11:57:00,0.0366,0.0287,-0.0079
2020-01-13 11:58:00,0.035,0.0285,-0.0065
2020-01-13 11:59:00,0.0348,0.0343,-0.0006
2020-01-13 12:00:00,0.0368,0.0445,0.0077
2020-01-13 12:01:00,0.0399,0.0524,0.0125
2020-01-13 12:02:00,0.0441,0.0608,0.0167
2020-01-13 12:03:00,0.0485,0.0663,0.0178
2020-01-13 12:04:00,0.0537,0.0746,0.0209
2020-01-13 12:05:00,0.0584,0.0771,0.0187
2020-01-13 12:06:00,0.062,0.0762,0.0142
2020-01-13 12:07:00,0.0641,0.0727,0.0085
2020-01-13 12:08:00,0.0654,0.0704,0.005
2020-01-13 12:09:00,0.0659,0.068,0.0021
2020-01-13 12:10:00,0.0661,0.067,0.0009
2020-01-13 12:11:00,0.0682,0.0766,0.0084
2020-01-13 12:12:00,0.0716,0.0853,0.0137
2020-01-13 12:13:00,0.0749,0.0879,0.013
2020-01-13 12:14:00,0.0768,0.0846,0.0077
2020-01-13 12:15:00,0.0789,0.0873,0.0084
2020-01-13 12:16:00,0.0805,0.0869,0.0064
2020-01-13 12:17:00,0.0819,0.0873,0.0054
2020-01-13 12:18:00,0.083,0.0873,0.0043
2020-01-13 12:19:00,0.0832,0.0839,0.0008
2020-01-13 12:20:00,0.0827,0.0807,-0.0019
2020-01-13 12:21:00,0.083,0.0841,0.0011
2020-01-13 12:22:00,0.083,0.083,0.0
2020-01-13 12:23:00,0.0828,0.0823,-0.0005
2020-01-13 12:24:00,0.0826,0.0817,-0.0009
2020-01-13 12:25:00,0.0826,0.0827,0.0
2020-01-13 12:26:00,0.0825,0.0821,-0.0004
2020-01-13 12:27:00,0.0814,0.0771,-0.0043
2020-01-13 12:28:00,0.0791,0.0699,-0.0092
2020-01-13 12:29:00,0.076,0.0635,-0.0125
2020-01-13 12:30:00,0.0732,0.0619,-0.0113
2020-01-13 12:31:00,0.0719,0.0666,-0.0053
2020-01-13 12:32:00,0.0716,0.0707,-0.001
2020-01-13 12:33:00,0.0719,0.073,0.0011
2020-01-13 12:34:00,0.0722,0.0733,0.0011
2020-01-13 12:35:00,0.0723,0.0728,0.0005
2020-01-13 12:36:00,0.0723,0.0722,-0.0001
2020-01-13 12:37:00,0.0709,0.0654,-0.0055
2020-01-13 12:38:00,0.0681,0.0569,-0.0112
2020-01-13 12:39:00,0.064,0.0476,-0.0164
2020-01-13 12:40:00,0.0589,0.0385,-0.0204
2020-01-13 12:41:00,0.0544,0.0366,-0.0178
2020-01-13 12:42:00,0.0506,0.0355,-0.0152
2020-01-13 12:43:00,0.0476,0.0356,-0.012
2020-01-13 12:44:00,0.0453,0.0361,-0.0092
2020-01-13 12:45:00,0.0435,0.0363,-0.0073
2020-01-13 12:46:00,0.0419,0.0356,-0.0064
2020-01-13 12:47:00,0.0409,0.0369,-0.004
2020-01-13 12:48:00,0.0402,0.0373,-0.0029
2020-01-13 12:49:00,0.0396,0.0371,-0.0025
2020-01-13 12:50:00,0.0388,0.0357,-0.0031
2020-01-13 12:51:00,0.0382,0.0359,-0.0023
2020-01-13 12:52:00,0.0378,0.0363,-0.0016
2020-01-13 12:53:00,0.0376,0.0368,-0.0008
2020-01-13 12:54:00,0.0375,0.037,-0.0005
2020-01-13 12:55:00,0.0376,0.0382,0.0006
2020-01-13 12:56:00,0.0378,0.0385,0.0007
2020-01-13 12:57:00,0.038,0.0386,0.0006
2020-01-13 12:58:00,0.0381,0.0383,0.0003
2020-01-13 12:59:00,0.0378,0.0369,-0.0009
2020-01-13 13:00:00,0.0372,0.0345,-0.0026
2020-01-13 13:01:00,0.0363,0.0331,-0.0033
2020-01-13 13:02:00,0.0352,0.0308,-0.0045
2020-01-13 13:03:00,0.034,0.029,-0.005
2020-01-13 13:04:00,0.0333,0.0305,-0.0028
2020-01-13 13:05:00,0.0327,0.0301,-0.0025
2020-01-13 13:06:00,0.0319,0.0287,-0.0032
2020-01-13 13:07:00,0.0297,0.0208,-0.0088
2020-01-13 13:08:00,0.0266,0.0145,-0.0122
2020-01-13 13:09:00,0.024,0.0134,-0.0106
2020-01-13 13:10:00,0.0224,0.0163,-0.0062
2020-01-13 13:11:00,0.0207,0.0136,-0.0071
2020-01-13 13:12:00,0.0196,0.0153,-0.0043
2020-01-13 13:13:00,0.019,0.0169,-0.0022
2020-01-13 13:14:00,0.0188,0.0179,-0.0009
2020-01-13 13:15:00,0.0187,0.0182,-0.0005
2020-01-13 13:16:00,0.0182,0.0161,-0.002
2020-01-13 13:17:00,0.0175,0.0147,-0.0027
2020-01-13 13:18:00,0.017,0.0152,-0.0019
2020-01-13 13:19:00,0.0167,0.0152,-0.0014
2020-01-13 13:20:00,0.0171,0.0187,0.0016
2020-01-13 13:21:00,0.0194,0.0288,0.0094
2020-01-13 13:22:00,0.023,0.0376,0.0145
2020-01-13 13:23:00,0.0273,0.0444,0.0171
2020-01-13 13:24:00,0.0313,0.0473,0.016
2020-01-13 13:25:00,0.0349,0.0494,0.0145
2020-01-13 13:26:00,0.0379,0.05,0.0121
2020-01-13 13:27:00,0.0406,0.0512,0.0106
2020-01-13 13:28:00,0.043,0.0527,0.0097
2020-01-13 13:29:00,0.0455,0.0553,0.0098
2020-01-13 13:30:00,0.0479,0.0578,0.0098
2020-01-13 13:31:00,0.0503,0.06,0.0096
2020-01-13 13:32:00,0.053,0.0638,0.0108
2020-01-13 13:33:00,0.0556,0.0661,0.0104
2020-01-13 13:34:00,0.0576,0.0655,0.0079
2020-01-13 13:35:00,0.0585,0.0619,0.0035
2020-01-13 13:36:00,0.0582,0.0568,-0.0013
2020-01-13 13:37:00,0.0573,0.0537,-0.0036
2020-01-13 13:38:00,0.0562,0.0519,-0.0043
2020-01-13 13:39:00,0.0549,0.0499,-0.005
2020-01-13 13:40:00,0.0538,0.0494,-0.0044
2020-01-13 13:41:00,0.0528,0.0488,-0.004
2020-01-13 13:42:00,0.0519,0.0482,-0.0037
2020-01-13 13:43:00,0.051,0.0474,-0.0036
2020-01-13 13:44:00,0.0493,0.0424,-0.0068
2020-01-13 13:45:00,0.0466,0.0359,-0.0107
2020-01-13 13:46:00,0.0439,0.0333,-0.0107
2020-01-13 13:47:00,0.0416,0.0325,-0.0092
2020-01-13 13:48:00,0.0394,0.0307,-0.0088
2020-01-13 13:49:00,0.0372,0.0281,-0.0091
2020-01-13 13:50:00,0.0352,0.0274,-0.0078
2020-01-13 13:51:00,0.0335,0.0269,-0.0067
2020-01-13 13:52:00,0.0323,0.0274,-0.0049
2020-01-13 13:53:00,0.0312,0.0267,-0.0045
2020-01-13 13:54:00,0.03,0.0254,-0.0046
2020-01-13 13:55:00,0.0291,0.0253,-0.0038
2020-01-13 13:56:00,0.0275,0.021,-0.0065
2020-01-13 13:57:00,0.0255,0.0174,-0.0081
2020-01-13 13:58:00,0.0231,0.0135,-0.0096
2020-01-13 13:59:00,0.0206,0.0108,-0.0099
2020-01-13 14:00:00,0.0175,0.0049,-0.0126
2020-01-13 14:01:00,0.0145,0.0026,-0.0119
2020-01-13 14:02:00,0.0111,-0.0022,-0.0134
2020-01-13 14:03:00,0.0075,-0.007,-0.0145
2020-01-13 14:04:00,0.0044,-0.0082,-0.0126
2020-01-13 14:05:00,0.0029,-0.003,-0.0059
2020-01-13 14:06:00,0.0032,0.0045,0.0013
2020-01-13 14:07:00,0.0047,0.0104,0.0058
2020-01-13 14:08:00,0.0071,0.0169,0.0098
2020-01-13 14:09:00,0.0098,0.0207,0.0109
2020-01-13 14:10:00,0.0129,0.025,0.0121
2020-01-13 14:11:00,0.0164,0.0308,0.0144
2020-01-13 14:12:00,0.0207,0.0379,0.0171
2020-01-13 14:13:00,0.025,0.0421,0.0171
2020-01-13 14:14:00,0.0292,0.0458,0.0166
2020-01-13 14:15:00,0.0328,0.0473,0.0145
2020-01-13 14:16:00,0.0355,0.0464,0.0109
2020-01-13 14:17:00,0.0373,0.0444,0.0071
2020-01-13 14:18:00,0.0374,0.0379,0.0005
2020-01-13 14:19:00,0.0366,0.0336,-0.0031
2020-01-13 14:20:00,0.0353,0.0302,-0.0051
2020-01-13 14:21:00,0.034,0.0284,-0.0055
2020-01-13 14:22:00,0.0328,0.0283,-0.0045
2020-01-13 14:23:00,0.0322,0.0295,-0.0027
2020-01-13 14:24:00,0.0317,0.0297,-0.002
2020-01-13 14:25:00,0.0316,0.0315,-0.0002
2020-01-13 14:26:00,0.0318,0.0325,0.0007
2020-01-13 14:27:00,0.0327,0.0362,0.0035
2020-01-13 14:28:00,0.0345,0.0417,0.0072
2020-01-13 14:29:00,0.0367,0.0453,0.0087
2020-01-13 14:30:00,0.0385,0.046,0.0075
2020-01-13 14:31:00,0.0392,0.042,0.0028
2020-01-13 14:32:00,0.0389,0.0376,-0.0013
2020-01-13 14:33:00,0.0378,0.0333,-0.0045
2020-01-13 14:34:00,0.0362,0.0299,-0.0063
2020-01-13 14:35:00,0.0344,0.027,-0.0074
2020-01-13 14:36:00,0.0321,0.0232,-0.009
2020-01-13 14:37:00,0.0298,0.0207,-0.0091
2020-01-13 14:38:00,0.0276,0.0186,-0.009
2020-01-13 14:39:00,0.0258,0.0187,-0.0071
2020-01-13 14:40:00,0.0245,0.0192,-0.0052
2020-01-13 14:41:00,0.0235,0.0196,-0.0039
2020-01-13 14:42:00,0.0233,0.0224,-0.0009
2020-01-13 14:43:00,0.0228,0.0211,-0.0017
2020-01-13 14:44:00,0.0213,0.0151,-0.0062
2020-01-13 14:45:00,0.0191,0.0103,-0.0088
2020-01-13 14:46:00,0.0161,0.0039,-0.0121
2020-01-13 14:47:00,0.0122,-0.0031,-0.0153
2020-01-13 14:48:00,0.0083,-0.0073,-0.0156
2020-01-13 14:49:00,0.0044,-0.0114,-0.0157
2020-01-13 14:50:00,0.0001,-0.0172,-0.0173
2020-01-13 14:51:00,-0.0047,-0.024,-0.0192
2020-01-13 14:52:00,-0.0101,-0.0318,-0.0216
2020-01-13 14:53:00,-0.0161,-0.0399,-0.0238
2020-01-13 14:54:00,-0.0205,-0.0383,-0.0178
2020-01-13 14:55:00,-0.0235,-0.0355,-0.012
2020-01-13 14:56:00,-0.0257,-0.0344,-0.0087
2020-01-13 14:57:00,-0.027,-0.0319,-0.005
2020-01-13 14:58:00,-0.0268,-0.026,0.0007
2020-01-13 14:59:00,-0.0261,-0.0235,0.0026
2020-01-13 15:00:00,-0.0248,-0.0197,0.0052
