date,SMA
2020-01-13 09:38:00,161.9799
2020-01-13 09:39:00,161.9275
2020-01-13 09:40:00,161.8987
2020-01-13 09:41:00,161.8788
2020-01-13 09:42:00,161.85
2020-01-13 09:43:00,161.8238
2020-01-13 09:44:00,161.7988
2020-01-13 09:45:00,161.7888
2020-01-13 09:46:00,161.7625
2020-01-13 09:47:00,161.7481
2020-01-13 09:48:00,161.7408
2020-01-13 09:49:00,161.739
2020-01-13 09:50:00,161.7402
2020-01-13 09:51:00,161.7415
2020-01-13 09:52:00,161.739
2020-01-13 09:53:00,161.724
2020-01-13 09:54:00,161.7258
2020-01-13 09:55:00,161.7284
2020-01-13 09:56:00,161.7419
2020-01-13 09:57:00,161.7582
2020-01-13 09:58:00,161.7769
2020-01-13 09:59:00,161.8119
2020-01-13 10:00:00,161.8382
2020-01-13 10:01:00,161.8626
2020-01-13 10:02:00,161.8838
2020-01-13 10:03:00,161.9069
2020-01-13 10:04:00,161.9319
2020-01-13 10:05:00,161.9556
2020-01-13 10:06:00,161.9669
2020-01-13 10:07:00,161.9606
2020-01-13 10:08:00,161.9644
2020-01-13 10:09:00,161.9625
2020-01-13 10:10:00,161.9625
2020-01-13 10:11:00,161.965
2020-01-13 10:12:00,161.9513
2020-01-13 10:13:00,161.9344
2020-01-13 10:14:00,161.9125
2020-01-13 10:15:00,161.8863
2020-01-13 10:16:00,161.8615
2020-01-13 10:17:00,161.8414
2020-01-13 10:18:00,161.8177
2020-01-13 10:19:00,161.7927
2020-01-13 10:20:00,161.7699
2020-01-13 10:21:00,161.7307
2020-01-13 10:22:00,161.7043
2020-01-13 10:23:00,161.6882
2020-01-13 10:24:00,161.6593
2020-01-13 10:25:00,161.6368
2020-01-13 10:26:00,161.6068
2020-01-13 10:27:00,161.578
2020-01-13 10:28:00,161.5583
2020-01-13 10:29:00,161.5469
2020-01-13 10:30:00,161.5364
2020-01-13 10:31:00,161.5163
2020-01-13 10:32:00,161.4913
2020-01-13 10:33:00,161.4625
2020-01-13 10:34:00,161.4442
2020-01-13 10:35:00,161.421
2020-01-13 10:36:00,161.401
2020-01-13 10:37:00,161.396
2020-01-13 10:38:00,161.3976
2020-01-13 10:39:00,161.4045
2020-01-13 10:40:00,161.4126
2020-01-13 10:41:00,161.4195
2020-01-13 10:42:00,161.4253
2020-01-13 10:43:00,161.4384
2020-01-13 10:44:00,161.4472
2020-01-13 10:45:00,161.4522
2020-01-13 10:46:00,161.4444
2020-01-13 10:47:00,161.4403
2020-01-13 10:48:00,161.4459
2020-01-13 10:49:00,161.4603
2020-01-13 10:50:00,161.4703
2020-01-13 10:51:00,161.4731
2020-01-13 10:52:00,161.4825
2020-01-13 10:53:00,161.4876
2020-01-13 10:54:00,161.502
2020-01-13 10:55:00,161.5173
2020-01-13 10:56:00,161.5346
2020-01-13 10:57:00,161.5389
2020-01-13 10:58:00,161.5402
2020-01-13 10:59:00,161.5436
2020-01-13 11:01:00,161.5468
2020-01-13 11:02:00,161.5512
2020-01-13 11:03:00,161.5606
2020-01-13 11:04:00,161.5737
2020-01-13 11:05:00,161.5919
2020-01-13 11:06:00,161.6076
2020-01-13 11:07:00,161.6338
2020-01-13 11:08:00,161.6626
2020-01-13 11:09:00,161.6894
2020-01-13 11:10:00,161.7286
2020-01-13 11:11:00,161.7548
2020-01-13 11:12:00,161.7835
2020-01-13 11:13:00,161.8199
2020-01-13 11:14:00,161.8559
2020-01-13 11:15:00,161.8816
2020-01-13 11:16:00,161.9091
2020-01-13 11:17:00,161.9347
2020-01-13 11:18:00,161.9466
2020-01-13 11:19:00,161.9517
2020-01-13 11:20:00,161.9504
2020-01-13 11:21:00,161.9367
2020-01-13 11:22:00,161.9219
2020-01-13 11:23:00,161.9126
2020-01-13 11:24:00,161.8976
2020-01-13 11:25:00,161.8812
2020-01-13 11:26:00,161.8643
2020-01-13 11:27:00,161.8605
2020-01-13 11:28:00,161.8526
2020-01-13 11:29:00,161.8456
2020-01-13 11:30:00,161.853
2020-01-13 11:31:00,161.8567
2020-01-13 11:32:00,161.873
2020-01-13 11:33:00,161.8969
2020-01-13 11:34:00,161.9156
2020-01-13 11:35:00,161.9269
2020-01-13 11:36:00,161.9348
2020-01-13 11:37:00,161.9387
2020-01-13 11:38:00,161.9394
2020-01-13 11:39:00,161.9456
2020-01-13 11:40:00,161.9506
2020-01-13 11:41:00,161.9444
2020-01-13 11:42:00,161.9481
2020-01-13 11:43:00,161.955
2020-01-13 11:44:00,161.965
2020-01-13 11:45:00,161.9831
2020-01-13 11:46:00,161.9975
2020-01-13 11:47:00,162.0063
2020-01-13 11:48:00,162.0088
2020-01-13 11:49:00,162.0119
2020-01-13 11:50:00,162.0125
2020-01-13 11:51:00,162.0106
2020-01-13 11:52:00,162.0119
2020-01-13 11:53:00,162.0099
2020-01-13 11:54:00,162.0042
2020-01-13 11:55:00,162.0018
2020-01-13 11:56:00,162.0005
2020-01-13 11:57:00,161.9983
2020-01-13 11:58:00,162.0014
2020-01-13 11:59:00,162.0149
2020-01-13 12:00:00,162.0368
2020-01-13 12:01:00,162.058
2020-01-13 12:02:00,162.0868
2020-01-13 12:03:00,162.113
2020-01-13 12:04:00,162.1455
2020-01-13 12:05:00,162.1746
2020-01-13 12:06:00,162.1977
2020-01-13 12:07:00,162.208
2020-01-13 12:08:00,162.2107
2020-01-13 12:09:00,162.2134
2020-01-13 12:10:00,162.214
2020-01-13 12:11:00,162.2327
2020-01-13 12:12:00,162.2472
2020-01-13 12:13:00,162.2614
2020-01-13 12:14:00,162.272
2020-01-13 12:15:00,162.2957
2020-01-13 12:16:00,162.3148
2020-01-13 12:17:00,162.3362
2020-01-13 12:18:00,162.3562
2020-01-13 12:19:00,162.3549
2020-01-13 12:20:00,162.3511
2020-01-13 12:21:00,162.3632
2020-01-13 12:22:00,162.3776
2020-01-13 12:23:00,162.3838
2020-01-13 12:24:00,162.3938
2020-01-13 12:25:00,162.405
2020-01-13 12:26:00,162.4143
2020-01-13 12:27:00,162.4218
2020-01-13 12:28:00,162.425
2020-01-13 12:29:00,162.4175
2020-01-13 12:30:00,162.4209
2020-01-13 12:31:00,162.4327
2020-01-13 12:32:00,162.4452
2020-01-13 12:33:00,162.454
2020-01-13 12:34:00,162.4621
2020-01-13 12:35:00,162.476
2020-01-13 12:36:00,162.4948
2020-01-13 12:37:00,162.5048
2020-01-13 12:38:00,162.5045
2020-01-13 12:39:00,162.4908
2020-01-13 12:40:00,162.4733
2020-01-13 12:41:00,162.4645
2020-01-13 12:42:00,162.4583
2020-01-13 12:43:00,162.4541
2020-01-13 12:44:00,162.4501
2020-01-13 12:45:00,162.4551
2020-01-13 12:46:00,162.4632
2020-01-13 12:47:00,162.4781
2020-01-13 12:48:00,162.4943
2020-01-13 12:49:00,162.5018
2020-01-13 12:50:00,162.5068
2020-01-13 12:51:00,162.5121
2020-01-13 12:52:00,162.5172
2020-01-13 12:53:00,162.5231
2020-01-13 12:54:00,162.5298
2020-01-13 12:55:00,162.5354
2020-01-13 12:56:00,162.541
2020-01-13 12:57:00,162.5471
2020-01-13 12:58:00,162.5546
2020-01-13 12:59:00,162.5584
2020-01-13 13:00:00,162.5598
2020-01-13 13:01:00,162.562
2020-01-13 13:02:00,162.5621
2020-01-13 13:03:00,162.5605
2020-01-13 13:04:00,162.5643
2020-01-13 13:05:00,162.5656
2020-01-13 13:06:00,162.5656
2020-01-13 13:07:00,162.5569
2020-01-13 13:08:00,162.5494
2020-01-13 13:09:00,162.5464
2020-01-13 13:10:00,162.5514
2020-01-13 13:11:00,162.5482
2020-01-13 13:12:00,162.5464
2020-01-13 13:13:00,162.547
2020-01-13 13:14:00,162.5489
2020-01-13 13:15:00,162.5602
2020-01-13 13:16:00,162.5683
2020-01-13 13:17:00,162.5707
