date,SlowD,SlowK
2020-01-13 09:39:00,57.9924,56.9439
2020-01-13 09:40:00,52.7039,31.943
2020-01-13 09:41:00,29.629,-0.0
2020-01-13 09:42:00,11.5582,2.7316
2020-01-13 09:43:00,3.9146,9.012
2020-01-13 09:44:00,15.8727,35.8743
2020-01-13 09:45:00,37.1208,66.476
2020-01-13 09:46:00,64.2197,90.3089
2020-01-13 09:47:00,79.916,82.9633
2020-01-13 09:48:00,75.3758,52.8552
2020-01-13 09:49:00,52.8535,22.7419
2020-01-13 09:50:00,31.6237,19.2741
2020-01-13 09:51:00,24.3561,31.0524
2020-01-13 09:52:00,34.9619,54.5592
2020-01-13 09:53:00,52.0721,70.6048
2020-01-13 09:54:00,71.3662,88.9345
2020-01-13 09:55:00,80.1815,81.0051
2020-01-13 09:56:00,82.9778,78.9936
2020-01-13 09:57:00,79.1345,77.4047
2020-01-13 09:58:00,83.853,95.1606
2020-01-13 09:59:00,90.3255,98.4111
2020-01-13 10:00:00,93.5095,86.9569
2020-01-13 10:01:00,86.2775,73.4646
2020-01-13 10:02:00,74.7037,63.6895
2020-01-13 10:03:00,64.9464,57.6849
2020-01-13 10:04:00,62.3321,65.6219
2020-01-13 10:05:00,64.7855,71.0496
2020-01-13 10:06:00,71.6685,78.334
2020-01-13 10:07:00,68.5033,56.1264
2020-01-13 10:08:00,60.0857,45.7966
2020-01-13 10:09:00,44.8485,32.6225
2020-01-13 10:10:00,42.5616,49.2657
2020-01-13 10:11:00,43.9776,50.0445
2020-01-13 10:12:00,46.9863,41.6486
2020-01-13 10:13:00,37.9852,22.2624
2020-01-13 10:14:00,23.0037,5.1001
2020-01-13 10:15:00,11.2175,6.2899
2020-01-13 10:16:00,6.9132,9.3495
2020-01-13 10:17:00,9.9109,14.0932
2020-01-13 10:18:00,16.0907,24.8293
2020-01-13 10:19:00,23.7317,32.2726
2020-01-13 10:20:00,27.7033,26.0081
2020-01-13 10:21:00,24.1825,14.2667
2020-01-13 10:22:00,16.5532,9.3847
2020-01-13 10:23:00,14.2673,19.1506
2020-01-13 10:24:00,16.6886,21.5305
2020-01-13 10:25:00,21.8102,24.7495
2020-01-13 10:26:00,23.874,25.3419
2020-01-13 10:27:00,27.376,32.0368
2020-01-13 10:28:00,31.3404,36.6426
2020-01-13 10:29:00,31.7409,26.5435
2020-01-13 10:30:00,31.6849,31.8686
2020-01-13 10:31:00,25.3867,17.7481
2020-01-13 10:32:00,23.2874,20.2456
2020-01-13 10:33:00,18.0002,16.0069
2020-01-13 10:34:00,22.4208,31.0101
2020-01-13 10:35:00,28.6176,38.8357
2020-01-13 10:36:00,40.0006,50.156
2020-01-13 10:37:00,51.1219,64.374
2020-01-13 10:38:00,66.8251,85.9453
2020-01-13 10:39:00,80.7958,92.0682
2020-01-13 10:40:00,83.1824,71.5335
2020-01-13 10:41:00,71.213,50.0372
2020-01-13 10:42:00,53.7907,39.8013
2020-01-13 10:43:00,46.0361,48.2699
2020-01-13 10:44:00,49.4878,60.3923
2020-01-13 10:45:00,60.0251,71.4131
2020-01-13 10:46:00,69.1046,75.5083
2020-01-13 10:47:00,75.4792,79.5161
2020-01-13 10:48:00,75.3535,71.036
