date,Aroon Down,Aroon Up
2020-01-13 10:31:00,0.0,65.0
2020-01-13 10:32:00,31.6667,63.3333
2020-01-13 10:33:00,30.0,61.6667
2020-01-13 10:34:00,28.3333,60.0
2020-01-13 10:35:00,26.6667,58.3333
2020-01-13 10:36:00,25.0,56.6667
2020-01-13 10:37:00,23.3333,55.0
2020-01-13 10:38:00,21.6667,53.3333
2020-01-13 10:39:00,20.0,51.6667
2020-01-13 10:40:00,18.3333,100.0
2020-01-13 10:41:00,16.6667,98.3333
2020-01-13 10:42:00,15.0,96.6667
2020-01-13 10:43:00,13.3333,95.0
2020-01-13 10:44:00,11.6667,93.3333
2020-01-13 10:45:00,10.0,91.6667
2020-01-13 10:46:00,8.3333,90.0
2020-01-13 10:47:00,6.6667,88.3333
2020-01-13 10:48:00,5.0,86.6667
2020-01-13 10:49:00,3.3333,85.0
2020-01-13 10:50:00,1.6667,83.3333
2020-01-13 10:51:00,0.0,81.6667
2020-01-13 10:52:00,0.0,80.0
2020-01-13 10:53:00,3.3333,78.3333
2020-01-13 10:54:00,1.6667,76.6667
2020-01-13 10:55:00,0.0,75.0
2020-01-13 10:56:00,0.0,73.3333
2020-01-13 10:57:00,0.0,71.6667
2020-01-13 10:58:00,0.0,70.0
2020-01-13 10:59:00,1.6667,68.3333
2020-01-13 11:04:00,0.0,66.6667
2020-01-13 11:05:00,0.0,65.0
2020-01-13 11:06:00,0.0,63.3333
2020-01-13 11:07:00,0.0,61.6667
2020-01-13 11:08:00,0.0,60.0
2020-01-13 11:09:00,68.3333,58.3333
2020-01-13 11:10:00,66.6667,56.6667
2020-01-13 11:11:00,65.0,55.0
2020-01-13 11:12:00,63.3333,53.3333
2020-01-13 11:13:00,61.6667,51.6667
2020-01-13 11:14:00,60.0,50.0
2020-01-13 11:15:00,58.3333,48.3333
2020-01-13 11:16:00,56.6667,100.0
2020-01-13 11:17:00,55.0,100.0
2020-01-13 11:18:00,53.3333,98.3333
2020-01-13 11:19:00,51.6667,100.0
2020-01-13 11:20:00,50.0,100.0
2020-01-13 11:21:00,48.3333,100.0
2020-01-13 11:22:00,46.6667,100.0
2020-01-13 11:23:00,45.0,98.3333
2020-01-13 11:24:00,43.3333,96.6667
2020-01-13 11:25:00,41.6667,100.0
2020-01-13 11:26:00,40.0,100.0
2020-01-13 11:27:00,38.3333,98.3333
2020-01-13 11:28:00,36.6667,96.6667
2020-01-13 11:29:00,35.0,95.0
2020-01-13 11:30:00,33.3333,93.3333
2020-01-13 11:31:00,31.6667,100.0
2020-01-13 11:32:00,30.0,100.0
2020-01-13 11:33:00,28.3333,98.3333
2020-01-13 11:34:00,26.6667,96.6667
2020-01-13 11:35:00,25.0,95.0
2020-01-13 11:36:00,23.3333,93.3333
2020-01-13 11:37:00,21.6667,100.0
2020-01-13 11:38:00,20.0,100.0
2020-01-13 11:39:00,18.3333,100.0
2020-01-13 11:40:00,16.6667,100.0
2020-01-13 11:41:00,15.0,98.3333
2020-01-13 11:42:00,13.3333,96.6667
2020-01-13 11:43:00,11.6667,95.0
2020-01-13 11:44:00,10.0,93.3333
2020-01-13 11:45:00,8.3333,91.6667
2020-01-13 11:46:00,6.6667,90.0
2020-01-13 11:47:00,5.0,88.3333
2020-01-13 11:48:00,3.3333,86.6667
2020-01-13 11:49:00,1.6667,85.0
2020-01-13 11:50:00,0.0,83.3333
2020-01-13 11:51:00,0.0,81.6667
2020-01-13 11:52:00,18.3333,80.0
2020-01-13 11:53:00,16.6667,78.3333
2020-01-13 11:54:00,15.0,76.6667
2020-01-13 11:57:00,13.3333,75.0
2020-01-13 11:58:00,11.6667,73.3333
2020-01-13 11:59:00,10.0,100.0
