date,SlowD,SlowK
2020-01-13 09:39:00,63.0081,70.4137
2020-01-13 09:40:00,66.5865,72.5696
2020-01-13 09:41:00,65.1166,52.3666
2020-01-13 09:42:00,47.9898,19.0333
2020-01-13 09:43:00,27.4188,10.8564
2020-01-13 09:44:00,16.7763,20.4393
2020-01-13 09:45:00,22.5248,36.2786
2020-01-13 09:46:00,37.5966,56.0719
2020-01-13 09:47:00,52.9331,66.4488
2020-01-13 09:48:00,60.2348,58.1838
2020-01-13 09:49:00,57.5857,48.1244
2020-01-13 09:50:00,47.5982,36.4864
2020-01-13 09:51:00,39.0855,32.6457
2020-01-13 09:52:00,33.8058,32.2854
2020-01-13 09:53:00,35.6561,42.0373
2020-01-13 09:54:00,42.6407,53.5995
2020-01-13 09:55:00,46.9404,45.1845
2020-01-13 09:56:00,46.3768,40.3464
2020-01-13 09:57:00,43.1977,44.0622
2020-01-13 09:58:00,50.1514,66.0457
2020-01-13 09:59:00,62.428,77.1762
2020-01-13 10:00:00,76.5718,86.4934
2020-01-13 10:01:00,80.8372,78.842
2020-01-13 10:02:00,82.8444,83.1977
2020-01-13 10:03:00,80.5268,79.5407
2020-01-13 10:04:00,83.1048,86.576
2020-01-13 10:05:00,83.3141,83.8255
2020-01-13 10:06:00,87.3823,91.7453
2020-01-13 10:07:00,86.6608,84.4115
2020-01-13 10:08:00,87.6084,86.6684
2020-01-13 10:09:00,85.3108,84.8527
2020-01-13 10:10:00,82.4757,75.906
2020-01-13 10:11:00,72.9182,57.9958
2020-01-13 10:12:00,55.4771,32.5297
2020-01-13 10:13:00,41.3164,33.4238
2020-01-13 10:14:00,36.2894,42.9146
2020-01-13 10:15:00,42.6059,51.4791
2020-01-13 10:16:00,51.6101,60.4365
2020-01-13 10:17:00,59.8987,67.7803
2020-01-13 10:18:00,64.0982,64.0777
2020-01-13 10:19:00,58.4425,43.4696
2020-01-13 10:20:00,42.3289,19.4395
2020-01-13 10:21:00,25.2986,12.9867
2020-01-13 10:22:00,14.6196,11.4326
2020-01-13 10:23:00,16.6694,25.5889
2020-01-13 10:24:00,27.317,44.9295
2020-01-13 10:25:00,46.377,68.6128
2020-01-13 10:26:00,62.6923,74.5346
2020-01-13 10:27:00,69.2838,64.7041
2020-01-13 10:28:00,64.2457,53.4985
2020-01-13 10:29:00,58.9403,58.6184
2020-01-13 10:30:00,62.869,76.4901
2020-01-13 10:31:00,75.3687,90.9975
2020-01-13 10:32:00,86.935,93.3174
2020-01-13 10:33:00,90.3332,86.6847
2020-01-13 10:34:00,82.143,66.427
2020-01-13 10:35:00,66.7178,47.0418
2020-01-13 10:36:00,52.0809,42.774
2020-01-13 10:37:00,43.2661,39.9826
