date,VWAP
2020-01-13 09:31:00,496.263
2020-01-13 09:32:00,496.5496
2020-01-13 09:33:00,497.3976
2020-01-13 09:34:00,498.0192
2020-01-13 09:35:00,498.313
2020-01-13 09:36:00,498.4862
2020-01-13 09:37:00,498.6411
2020-01-13 09:38:00,498.8067
2020-01-13 09:39:00,498.9603
2020-01-13 09:40:00,499.0702
2020-01-13 09:41:00,499.1159
2020-01-13 09:42:00,499.1116
2020-01-13 09:43:00,499.081
2020-01-13 09:44:00,499.0723
2020-01-13 09:45:00,499.071
2020-01-13 09:46:00,499.1616
2020-01-13 09:47:00,499.1716
2020-01-13 09:48:00,499.1707
2020-01-13 09:49:00,499.1803
2020-01-13 09:50:00,499.1875
2020-01-13 09:51:00,499.1414
2020-01-13 09:52:00,499.1245
2020-01-13 09:53:00,499.1224
2020-01-13 09:54:00,499.115
2020-01-13 09:55:00,499.1061
2020-01-13 09:56:00,499.0977
2020-01-13 09:57:00,499.0939
2020-01-13 09:58:00,499.1309
2020-01-13 09:59:00,499.1585
2020-01-13 10:00:00,499.1969
2020-01-13 10:01:00,499.2216
2020-01-13 10:02:00,499.2858
2020-01-13 10:03:00,499.3066
2020-01-13 10:04:00,499.3659
2020-01-13 10:05:00,499.4198
2020-01-13 10:06:00,499.5656
2020-01-13 10:07:00,499.6864
2020-01-13 10:08:00,499.7517
2020-01-13 10:09:00,499.8438
2020-01-13 10:10:00,499.9112
2020-01-13 10:11:00,499.9419
2020-01-13 10:12:00,499.9851
2020-01-13 10:13:00,500.0148
2020-01-13 10:14:00,500.0508
2020-01-13 10:15:00,500.0751
2020-01-13 10:16:00,500.1007
2020-01-13 10:17:00,500.1546
2020-01-13 10:18:00,500.1956
2020-01-13 10:19:00,500.2401
2020-01-13 10:20:00,500.2604
2020-01-13 10:21:00,500.2789
2020-01-13 10:22:00,500.3002
2020-01-13 10:23:00,500.3165
2020-01-13 10:24:00,500.3332
2020-01-13 10:25:00,500.3496
2020-01-13 10:26:00,500.3615
2020-01-13 10:27:00,500.3719
2020-01-13 10:28:00,500.3951
2020-01-13 10:29:00,500.4248
2020-01-13 10:30:00,500.4574
2020-01-13 10:31:00,500.49
2020-01-13 10:32:00,500.5136
2020-01-13 10:33:00,500.5352
2020-01-13 10:34:00,500.5605
2020-01-13 10:35:00,500.5735
2020-01-13 10:36:00,500.5974
2020-01-13 10:37:00,500.6177
2020-01-13 10:38:00,500.6231
2020-01-13 10:39:00,500.6481
2020-01-13 10:40:00,500.7354
