date,Real Upper Band,Real Lower Band,Real Middle Band
2020-01-13 10:30:00,162.1173,161.4813,161.7993
2020-01-13 10:31:00,162.0924,161.4785,161.7855
2020-01-13 10:32:00,162.0988,161.4505,161.7746
2020-01-13 10:33:00,162.1073,161.4251,161.7662
2020-01-13 10:34:00,162.1077,161.4062,161.7569
2020-01-13 10:35:00,162.1114,161.3836,161.7475
2020-01-13 10:36:00,162.11,161.3667,161.7384
2020-01-13 10:37:00,162.1064,161.353,161.7297
2020-01-13 10:38:00,162.0959,161.3474,161.7216
2020-01-13 10:39:00,162.0929,161.3385,161.7157
2020-01-13 10:40:00,162.0957,161.3239,161.7098
2020-01-13 10:41:00,162.0987,161.3113,161.705
2020-01-13 10:42:00,162.0998,161.3008,161.7003
2020-01-13 10:43:00,162.1004,161.2913,161.6958
2020-01-13 10:44:00,162.0989,161.2821,161.6905
2020-01-13 10:45:00,162.0971,161.2732,161.6851
2020-01-13 10:46:00,162.0949,161.2642,161.6795
2020-01-13 10:47:00,162.0937,161.2562,161.6749
2020-01-13 10:48:00,162.0938,161.2477,161.6707
2020-01-13 10:49:00,162.0928,161.2433,161.6681
2020-01-13 10:50:00,162.0907,161.2384,161.6646
2020-01-13 10:51:00,162.0894,161.2318,161.6606
2020-01-13 10:52:00,162.0872,161.2278,161.6575
2020-01-13 10:53:00,162.0845,161.2226,161.6535
2020-01-13 10:54:00,162.0795,161.2198,161.6496
2020-01-13 10:55:00,162.0761,161.2175,161.6468
2020-01-13 10:56:00,162.0708,161.2151,161.6429
2020-01-13 10:57:00,162.0649,161.2122,161.6385
2020-01-13 10:58:00,162.0552,161.2102,161.6327
2020-01-13 10:59:00,162.038,161.2109,161.6244
2020-01-13 11:04:00,162.0266,161.2143,161.6204
2020-01-13 11:05:00,162.0158,161.2181,161.6169
2020-01-13 11:06:00,162.0006,161.2236,161.6121
2020-01-13 11:07:00,161.9893,161.2282,161.6088
2020-01-13 11:08:00,161.9723,161.2362,161.6043
2020-01-13 11:09:00,161.9568,161.2442,161.6005
2020-01-13 11:10:00,161.9464,161.2501,161.5983
2020-01-13 11:11:00,161.9394,161.254,161.5967
2020-01-13 11:12:00,161.936,161.256,161.596
2020-01-13 11:13:00,161.9444,161.2508,161.5976
2020-01-13 11:14:00,161.9442,161.2509,161.5976
2020-01-13 11:15:00,161.9434,161.2514,161.5974
2020-01-13 11:16:00,161.9481,161.2487,161.5984
2020-01-13 11:17:00,161.957,161.2436,161.6003
2020-01-13 11:18:00,161.967,161.2386,161.6028
2020-01-13 11:19:00,161.9756,161.2353,161.6055
2020-01-13 11:20:00,161.9842,161.2317,161.608
2020-01-13 11:21:00,161.9923,161.2285,161.6104
2020-01-13 11:22:00,161.996,161.2271,161.6115
2020-01-13 11:23:00,162.0016,161.2251,161.6134
2020-01-13 11:24:00,162.0069,161.2239,161.6154
2020-01-13 11:25:00,162.016,161.2247,161.6204
2020-01-13 11:26:00,162.0226,161.2257,161.6241
2020-01-13 11:27:00,162.0298,161.2261,161.628
2020-01-13 11:28:00,162.0388,161.2281,161.6335
2020-01-13 11:29:00,162.0468,161.2291,161.6379
2020-01-13 11:30:00,162.058,161.2302,161.6441
2020-01-13 11:31:00,162.0682,161.2324,161.6503
2020-01-13 11:32:00,162.0791,161.2337,161.6564
2020-01-13 11:33:00,162.0968,161.2354,161.6661
2020-01-13 11:34:00,162.1087,161.2388,161.6738
2020-01-13 11:35:00,162.1186,161.246,161.6823
2020-01-13 11:36:00,162.1222,161.2616,161.6919
2020-01-13 11:37:00,162.1244,161.2772,161.7008
2020-01-13 11:38:00,162.1288,161.2901,161.7095
2020-01-13 11:39:00,162.1324,161.3067,161.7195
2020-01-13 11:40:00,162.1397,161.3197,161.7297
