date,VWAP
2020-01-13 09:31:00,162.1012
2020-01-13 09:32:00,162.0984
2020-01-13 09:33:00,162.0771
2020-01-13 09:34:00,162.0669
2020-01-13 09:35:00,162.0556
2020-01-13 09:36:00,162.0467
2020-01-13 09:37:00,162.0413
2020-01-13 09:38:00,162.0378
2020-01-13 09:39:00,162.0282
2020-01-13 09:40:00,162.0147
2020-01-13 09:41:00,161.9993
2020-01-13 09:42:00,161.986
2020-01-13 09:43:00,161.9571
2020-01-13 09:44:00,161.951
2020-01-13 09:45:00,161.9504
2020-01-13 09:46:00,161.9407
2020-01-13 09:47:00,161.9361
2020-01-13 09:48:00,161.9322
2020-01-13 09:49:00,161.9278
2020-01-13 09:50:00,161.9218
2020-01-13 09:51:00,161.9187
2020-01-13 09:52:00,161.9148
2020-01-13 09:53:00,161.9121
2020-01-13 09:54:00,161.9099
2020-01-13 09:55:00,161.9065
2020-01-13 09:56:00,161.9049
2020-01-13 09:57:00,161.904
2020-01-13 09:58:00,161.9034
2020-01-13 09:59:00,161.9045
2020-01-13 10:00:00,161.9063
2020-01-13 10:01:00,161.9068
2020-01-13 10:02:00,161.9078
2020-01-13 10:03:00,161.9087
2020-01-13 10:04:00,161.9097
2020-01-13 10:05:00,161.9104
2020-01-13 10:06:00,161.9115
2020-01-13 10:07:00,161.9122
2020-01-13 10:08:00,161.9126
2020-01-13 10:09:00,161.9131
2020-01-13 10:10:00,161.9136
2020-01-13 10:11:00,161.9141
2020-01-13 10:12:00,161.9141
2020-01-13 10:13:00,161.9137
2020-01-13 10:14:00,161.9126
2020-01-13 10:15:00,161.9106
2020-01-13 10:16:00,161.9088
2020-01-13 10:17:00,161.9067
2020-01-13 10:18:00,161.9051
2020-01-13 10:19:00,161.9032
2020-01-13 10:20:00,161.9018
2020-01-13 10:21:00,161.8975
2020-01-13 10:22:00,161.8935
2020-01-13 10:23:00,161.8895
2020-01-13 10:24:00,161.8858
2020-01-13 10:25:00,161.8831
2020-01-13 10:26:00,161.8759
2020-01-13 10:27:00,161.8726
2020-01-13 10:28:00,161.8687
2020-01-13 10:29:00,161.8644
2020-01-13 10:30:00,161.8604
2020-01-13 10:31:00,161.8568
2020-01-13 10:32:00,161.8454
2020-01-13 10:33:00,161.8404
2020-01-13 10:34:00,161.8355
2020-01-13 10:35:00,161.8321
2020-01-13 10:36:00,161.8277
2020-01-13 10:37:00,161.8236
2020-01-13 10:38:00,161.8185
2020-01-13 10:39:00,161.8159
2020-01-13 10:40:00,161.8124
2020-01-13 10:41:00,161.8095
2020-01-13 10:42:00,161.8064
2020-01-13 10:43:00,161.8039
2020-01-13 10:44:00,161.8016
2020-01-13 10:45:00,161.7997
2020-01-13 10:46:00,161.7982
2020-01-13 10:47:00,161.7969
2020-01-13 10:48:00,161.795
2020-01-13 10:49:00,161.7929
2020-01-13 10:50:00,161.7906
2020-01-13 10:51:00,161.7891
2020-01-13 10:52:00,161.7874
2020-01-13 10:53:00,161.7854
2020-01-13 10:54:00,161.7842
2020-01-13 10:55:00,161.7822
2020-01-13 10:56:00,161.7807
2020-01-13 10:57:00,161.7794
2020-01-13 10:58:00,161.7774
2020-01-13 10:59:00,161.7759
2020-01-13 11:04:00,161.7721
2020-01-13 11:05:00,161.7714
2020-01-13 11:06:00,161.7709
2020-01-13 11:07:00,161.7705
2020-01-13 11:08:00,161.7703
2020-01-13 11:09:00,161.7702
2020-01-13 11:10:00,161.7706
2020-01-13 11:11:00,161.7713
2020-01-13 11:12:00,161.7718
2020-01-13 11:13:00,161.7736
2020-01-13 11:14:00,161.7756
2020-01-13 11:15:00,161.7767
2020-01-13 11:16:00,161.7776
2020-01-13 11:17:00,161.7784
2020-01-13 11:18:00,161.78
2020-01-13 11:19:00,161.7813
2020-01-13 11:20:00,161.7818
2020-01-13 11:21:00,161.7823
2020-01-13 11:22:00,161.7826
