date,Real Upper Band,Real Lower Band,Real Middle Band
2020-01-13 10:30:00,506.0016,497.1868,501.5942
2020-01-13 10:31:00,506.077,497.331,501.704
2020-01-13 10:32:00,506.0926,497.5689,501.8307
2020-01-13 10:33:00,506.1909,497.5724,501.8816
2020-01-13 10:34:00,506.2437,497.5659,501.9048
2020-01-13 10:35:00,506.3205,497.5925,501.9565
2020-01-13 10:36:00,506.4159,497.6195,502.0177
2020-01-13 10:37:00,506.4761,497.6815,502.0788
2020-01-13 10:38:00,506.5376,497.683,502.1103
2020-01-13 10:39:00,506.6238,497.6743,502.149
2020-01-13 10:40:00,506.7047,497.6928,502.1988
2020-01-13 10:41:00,506.7288,497.7653,502.247
2020-01-13 10:42:00,506.7163,497.9528,502.3346
2020-01-13 10:43:00,506.7163,498.1084,502.4123
2020-01-13 10:44:00,506.6888,498.2679,502.4784
2020-01-13 10:45:00,506.693,498.3055,502.4993
2020-01-13 10:46:00,506.6891,498.3632,502.5261
2020-01-13 10:47:00,506.6662,498.5046,502.5854
2020-01-13 10:48:00,506.6261,498.6806,502.6534
2020-01-13 10:49:00,506.6185,498.7914,502.7049
2020-01-13 10:50:00,506.5851,498.9428,502.7639
2020-01-13 10:51:00,506.4048,499.3379,502.8714
2020-01-13 10:52:00,506.3454,499.5594,502.9524
2020-01-13 10:53:00,506.2595,499.8093,503.0344
2020-01-13 10:54:00,506.1253,500.1198,503.1225
2020-01-13 10:55:00,505.894,500.5459,503.22
2020-01-13 10:56:00,505.6254,500.9997,503.3125
2020-01-13 10:57:00,505.4053,501.3823,503.3938
2020-01-13 10:58:00,505.3468,501.5219,503.4343
2020-01-13 10:59:00,505.2268,501.7265,503.4767
2020-01-13 11:01:00,505.1536,501.8987,503.5262
2020-01-13 11:02:00,505.0619,502.0746,503.5683
2020-01-13 11:03:00,505.0071,502.1858,503.5964
2020-01-13 11:04:00,504.929,502.3404,503.6347
2020-01-13 11:05:00,504.9339,502.3716,503.6527
2020-01-13 11:06:00,504.9355,502.4066,503.6711
2020-01-13 11:07:00,504.8846,502.4177,503.6511
2020-01-13 11:08:00,504.901,502.4133,503.6572
2020-01-13 11:09:00,504.925,502.4016,503.6633
2020-01-13 11:10:00,504.8799,502.4192,503.6496
2020-01-13 11:11:00,504.9111,502.4124,503.6617
2020-01-13 11:12:00,504.9539,502.3946,503.6742
2020-01-13 11:13:00,505.0046,502.3908,503.6977
2020-01-13 11:14:00,505.0189,502.3865,503.7027
2020-01-13 11:15:00,505.0211,502.3858,503.7035
2020-01-13 11:16:00,505.1756,502.3065,503.741
2020-01-13 11:17:00,505.2562,502.2659,503.761
2020-01-13 11:18:00,505.3687,502.2002,503.7844
2020-01-13 11:19:00,505.5398,502.11,503.8249
2020-01-13 11:20:00,505.7198,502.0467,503.8832
2020-01-13 11:21:00,505.9685,501.9439,503.9562
2020-01-13 11:22:00,506.1741,501.8783,504.0262
2020-01-13 11:23:00,506.3508,501.8679,504.1093
2020-01-13 11:24:00,506.5556,501.8011,504.1783
2020-01-13 11:25:00,506.8021,501.7078,504.255
2020-01-13 11:26:00,506.9968,501.6561,504.3264
2020-01-13 11:27:00,507.1542,501.6307,504.3925
2020-01-13 11:28:00,507.2905,501.6406,504.4655
2020-01-13 11:29:00,507.3444,501.6817,504.513
2020-01-13 11:30:00,507.4676,501.6595,504.5636
2020-01-13 11:31:00,507.6637,501.5842,504.624
2020-01-13 11:32:00,507.7943,501.5479,504.6711
2020-01-13 11:33:00,507.9539,501.4965,504.7252
2020-01-13 11:34:00,508.1279,501.4464,504.7872
2020-01-13 11:35:00,508.3159,501.4045,504.8602
2020-01-13 11:36:00,508.4909,501.3728,504.9319
2020-01-13 11:37:00,508.6791,501.3233,505.0012
2020-01-13 11:38:00,508.9222,501.263,505.0926
2020-01-13 11:39:00,509.1835,501.1887,505.1861
2020-01-13 11:40:00,509.3945,501.1326,505.2635
2020-01-13 11:41:00,509.5771,501.1058,505.3414
2020-01-13 11:42:00,509.7847,501.1156,505.4502
2020-01-13 11:43:00,509.966,501.1241,505.545
2020-01-13 11:44:00,510.1624,501.1297,505.646
2020-01-13 11:45:00,510.2553,501.2218,505.7386
2020-01-13 11:46:00,510.3479,501.3513,505.8496
2020-01-13 11:47:00,510.3838,501.5192,505.9515
2020-01-13 11:48:00,510.4975,501.6176,506.0575
