date,MACD_Signal,MACD_Hist,MACD
2020-01-13 10:04:00,-0.1875,0.5741,0.3866
2020-01-13 10:05:00,-0.0449,0.5702,0.5253
2020-01-13 10:06:00,0.1147,0.6385,0.7532
2020-01-13 10:07:00,0.2703,0.6224,0.8927
2020-01-13 10:08:00,0.4207,0.6015,1.0222
2020-01-13 10:09:00,0.5651,0.5779,1.143
2020-01-13 10:10:00,0.684,0.4755,1.1596
2020-01-13 10:11:00,0.7806,0.3864,1.167
2020-01-13 10:12:00,0.8452,0.2582,1.1034
2020-01-13 10:13:00,0.8972,0.2079,1.1051
2020-01-13 10:14:00,0.9396,0.1699,1.1096
2020-01-13 10:15:00,0.9608,0.0845,1.0452
2020-01-13 10:16:00,0.9747,0.0557,1.0304
2020-01-13 10:17:00,0.9856,0.0436,1.0292
2020-01-13 10:18:00,0.9819,-0.0146,0.9673
2020-01-13 10:19:00,0.9529,-0.1162,0.8367
2020-01-13 10:20:00,0.905,-0.1914,0.7137
2020-01-13 10:21:00,0.846,-0.2361,0.6099
2020-01-13 10:22:00,0.7698,-0.3048,0.465
2020-01-13 10:23:00,0.7014,-0.2737,0.4276
2020-01-13 10:24:00,0.641,-0.2416,0.3993
2020-01-13 10:25:00,0.5871,-0.2156,0.3715
2020-01-13 10:26:00,0.5378,-0.1971,0.3407
2020-01-13 10:27:00,0.4869,-0.2037,0.2832
2020-01-13 10:28:00,0.4416,-0.1812,0.2604
2020-01-13 10:29:00,0.4154,-0.1045,0.3109
2020-01-13 10:30:00,0.4081,-0.0295,0.3785
2020-01-13 10:31:00,0.4143,0.0249,0.4392
2020-01-13 10:32:00,0.428,0.0548,0.4828
2020-01-13 10:33:00,0.441,0.0519,0.4928
2020-01-13 10:34:00,0.4452,0.0172,0.4624
2020-01-13 10:35:00,0.4435,-0.0071,0.4364
2020-01-13 10:36:00,0.4438,0.0013,0.445
2020-01-13 10:37:00,0.4353,-0.0342,0.4011
2020-01-13 10:38:00,0.4242,-0.0441,0.3801
2020-01-13 10:39:00,0.4203,-0.0158,0.4045
2020-01-13 10:40:00,0.4155,-0.0193,0.3962
2020-01-13 10:41:00,0.3892,-0.1048,0.2844
2020-01-13 10:42:00,0.3588,-0.1219,0.2369
2020-01-13 10:43:00,0.326,-0.1313,0.1947
2020-01-13 10:44:00,0.2815,-0.178,0.1035
2020-01-13 10:45:00,0.2211,-0.2416,-0.0205
2020-01-13 10:46:00,0.1509,-0.2808,-0.1299
2020-01-13 10:47:00,0.0904,-0.2419,-0.1516
2020-01-13 10:48:00,0.0414,-0.1958,-0.1544
2020-01-13 10:49:00,0.0027,-0.1548,-0.1521
2020-01-13 10:50:00,-0.0292,-0.1277,-0.1569
2020-01-13 10:51:00,-0.0457,-0.0661,-0.1118
2020-01-13 10:52:00,-0.0489,-0.0127,-0.0616
2020-01-13 10:53:00,-0.0433,0.0225,-0.0208
2020-01-13 10:54:00,-0.0324,0.0436,0.0113
2020-01-13 10:55:00,-0.0196,0.0512,0.0316
2020-01-13 10:56:00,-0.0077,0.0477,0.04
2020-01-13 10:57:00,0.006,0.0545,0.0605
2020-01-13 10:58:00,0.0097,0.0151,0.0248
2020-01-13 10:59:00,0.0042,-0.0221,-0.0179
2020-01-13 11:04:00,0.0054,0.0047,0.01
2020-01-13 11:05:00,0.0141,0.0348,0.0489
2020-01-13 11:06:00,0.0266,0.0499,0.0765
2020-01-13 11:07:00,0.0348,0.0328,0.0675
2020-01-13 11:08:00,0.0529,0.0724,0.1253
